Symbol,Latest Quarter,Sales QoQ %,Sales YoY %,Profit QoQ %,Profit YoY %,OPM Latest %,OPM Prev Year %,Profit Growth Streak (Qtrs)
RELIANCE.NS,Jun-26,5.24,27.02,12.66,-24.65,15,18,0
RELIGARE.NS,Jun-26,-4.62,26.44,-148.96,-687.5,-2.1,0.8,0
RENUKA.NS,Jun-26,-16.8,5.47,-108.26,4.55,-3.6,-4.3,1
RHIM.NS,Jun-26,8.8,5.62,112.55,85.71,14,11,1
RITES.NS,Jun-26,-30.73,8.57,-29.5,7.69,22,23,1
RKFORGE.NS,Jun-26,0,19.9,-16.07,291.67,18,14,1
ROUTE.NS,Jun-26,1.86,9.61,-39.47,16.95,9,9,3
RPOWER.NS,Jun-26,3.66,3.71,113.16,44.44,29,30,1
RRKABEL.NS,Jun-26,6.88,53.86,22.02,127.78,9,7,6
RSL.NS,Jun-26,20.39,32.33,53.85,81.82,9,9,3
RTNINDIA.NS,Jun-26,10.19,-19.15,113.64,-97.01,2.1,26,0
RTNPOWER.NS,Jun-26,1.4,-2.8,6.98,453.85,16,12,1
RUBICON.NS,Jun-26,3.89,51.7,10.39,97.67,24,22,4
RVNL.NS,Jun-26,-35.47,10.54,-12.09,19.4,4.3,1.4,1
SAATVIKGL.NS,Jun-26,-68.21,-44.2,-91.13,-95.49,6.62,19.33,0
SAFARI.NS,Jun-26,24.52,11.55,29.73,-4,13,15,0
SAGILITY.NS,Jun-26,-3.01,27.55,-15.89,45.64,22,22,8
SAIL.NS,Jun-26,-14.82,1.25,-10.41,120.67,16,11,3
SAILIFE.NS,Jun-26,-7.97,11.69,-29.81,21.67,27,24,7
SAIPARENT.NS,Jun-26,-9.73,0,-39.82,0,13.16,0,0
SAMBHV.NS,Jun-26,6.86,30.95,7.55,67.65,13,13,4
SAMHI.NS,Jun-26,-11.59,12.13,-93.73,31.58,32,33,9
SAMMAANCAP.NS,Jun-26,21.65,-31.17,103,-27.25,0,0,0
SANDUMA.NS,Jun-26,-9,21.15,-3.39,36.53,25,26,2
SANOFICONR.NS,Jun-26,3.06,6.79,1.47,13.11,38,32,5
SANSERA.NS,Jun-26,2.2,33.29,-29.27,38.1,19,17,9
SAPPHIRE.NS,Jun-26,12.5,14.67,207.69,800,16,15,1
SARDAEN.NS,Jun-26,28.23,-1.53,208.39,9.38,41,38,2
SAREGAMA.NS,Jun-26,-8.01,27.54,-29.73,40.54,35,27,2
SBFC.NS,Mar-25,8.08,29.39,6.82,27.03,0,0,4
SBICARD.NS,Jun-26,2.17,3.36,9.03,19.42,0,0,4
SBIFUNDS.NS,Jun-26,1.23,0,38.8,0,80,0,0
SBILIFE.NS,Jun-26,1038.22,18.83,-9.94,22.05,1.6,1.7,1
SBIN.NS,Jun-26,3.94,8.36,22.49,13.56,0,0,5
SCHAEFFLER.NS,Jun-26,6.77,17.34,3.16,13.59,18,18,9
SCHNEIDER.NS,Jun-26,10.34,4.66,-45.45,-70.73,5,11,0
SCI.NS,Jun-26,22.08,40.35,52.84,74.86,45,37,3
SEDEMAC.NS,Jun-26,7.64,72.22,3.12,266.67,19,16,1
SENCO.NS,Jun-26,53.03,67.36,-35.67,-3.81,7,10,0
SFL.NS,Jun-26,-1.71,25.7,-32.61,785.71,11,9,3
SHADOWFAX.NS,Jun-26,9.78,64.81,16.07,712.5,7,3.1,3
SHAILY.NS,Jun-26,18.57,13.77,20,17.07,30,28,9
SHAKTIPUMP.NS,Jun-26,0.12,38.1,36.84,-46.39,10,23,0
SHANTIGOLD.NS,Jun-26,8.65,0,-3.85,0,10,0,0
SHARDACROP.NS,Jun-26,-47.99,9.04,-72.41,-38.46,17,22,0
SHAREINDIA.NS,Jun-26,7.69,31.38,113.79,47.62,45,40,3
SHILPAMED.NS,Jun-26,6.64,45.17,-6.48,114.89,29,28,5
SHREECEM.NS,Jun-26,2.16,18.03,0.57,-17.55,20,25,0
SHREEJISPG.NS,Jun-26,11.17,29.81,10,18.92,30,37,1
SHRINGARMS.NS,Jun-26,-24.52,64.56,0,17.24,9,12,5
SHRIPISTON.NS,Jun-26,1.24,53.06,-6.92,9.63,18,20,9
SHRIRAMFIN.NS,Jun-26,7.09,16.16,14.3,59.94,0,0,2
SHYAMMETL.NS,Jun-26,4.1,23.44,12.5,20.62,14,13,5
SIEMENS.NS,Jun-26,2.08,14.75,479.19,406.62,9,13,1
SIGNATURE.NS,Jun-26,-50.14,-36.26,-101.48,-150,-8,3.8,0
SJVN.NS,Jun-26,-6.82,52.02,290.68,-1.32,61,77,0
SKFINDIA.NS,Jun-26,-1.18,-54.17,410,-47.46,15,13,0
SKFINDUS.NS,Jun-26,2.64,18.27,-47.9,-13.89,9,11,0
SKIPPER.NS,Jun-26,-21.42,4.47,-26.92,26.67,11,10,9
SKYGOLD.NS,Jun-26,5.28,77.98,15.38,138.64,8,6,9
SMARTWORKS.NS,Jun-26,5,44.06,-23.53,425,63,64,5
SMLMAH.NS,Jun-26,6.68,13.24,18.52,-4.48,10,12,0
SOBHA.NS,Jun-26,-35.71,50,-44.57,264.29,6,2.8,2
SOLARINDS.NS,Jun-26,20.14,70.29,19.78,88.67,28,25,9
SOLARWORLD.NS,Jun-26,-71.54,146.81,-80.64,-26.41,6.56,12.65,0
SONACOMS.NS,Jun-26,3.42,52.34,-4.28,46.72,23,24,2
SONATSOFTW.NS,Jun-26,29.3,10.59,-16.92,-0.92,5,5,0
SOUTHBANK.NS,Jun-26,2.7,11.26,-7.13,17.39,0,0,9
SPARC.NS,Jun-26,-97.84,300,-101.19,59.62,-85,-540,2
SPLPETRO.NS,Jun-26,6.79,22.33,40.83,190.24,19,8,1
SRF.NS,Jun-26,9.06,31.79,30.41,75.69,25,22,7
STAR.NS,Jun-26,-4.38,12.95,27.91,55.66,18,19,4
STARCEMENT.NS,Jun-26,-19.68,3.4,-49.66,-24.49,21,25,0
STARHEALTH.NS,Jun-26,18.8,13.16,395.5,25.57,14,12,2
STLTECH.NS,Jun-26,32.55,87.44,233.9,1870,20,13,7
STUDDS.NS,Jun-26,1.19,14.09,-42.86,-40,12,20,0
STYL.NS,Jun-26,-6.93,20.9,-26.83,62.16,23,23,3
STYRENIX.NS,Jun-26,22.4,7.1,89.04,165.38,22,10,2
SUBROS.NS,Jun-26,-1.71,17.54,-14.29,2.44,8,9,9
SUDARSCHEM.NS,Jun-26,-5.3,5.38,25.61,87.27,10,8,2
SUDEEPPHRM.NS,Jun-26,-13.19,26.4,-16.33,32.26,35,35,3
SUMICHEM.NS,Jun-26,55.41,0.57,93.69,20.79,22,21,2
SUNDARMFIN.NS,Jun-26,3.28,12.56,14.8,33.89,0,0,6
SUNPHARMA.NS,Jun-26,4.71,10.46,7.05,26.52,29,31,4
SUNTECK.NS,Jun-26,-43.36,2.13,-33.33,27.27,35,25,5
SUNTV.NS,Jun-26,65.12,13.02,166.81,17.01,50,48,1
SUPREMEIND.NS,Jun-26,-22.96,4.18,-35.25,39.11,15,12,2
SUPRIYA.NS,Jun-26,-31.41,31.03,-67.57,-31.43,25,36,0
SURYAROSNI.NS,Jun-26,-5.41,27.48,-38.78,76.47,5,4.3,1
SUZLON.NS,Jun-26,-30.29,22.25,-72.62,-5.86,16,19,0
SWANCORP.NS,Jun-26,16.55,-16.41,-114.34,-233.33,-0.4,2.2,0
SWIGGY.NS,Jun-26,6.72,37.31,1.12,33.92,-10,-19,2
SWSOLAR.NS,Jun-26,-18.29,-9.76,-62.68,35.9,5,4.8,2
SYNGENE.NS,Jun-26,-28.99,-15.84,-106.09,-110.38,12.34,23.6,0
SYRMA.NS,Jun-26,8.46,68.33,-10.92,112,10,9,8
TANLA.NS,Jun-26,4.07,17.77,5.97,20.34,16,16,3
TARC.NS,Jun-26,3.83,185.53,1050,-57.41,19,-159,0
TARIL.NS,Jun-26,-26.95,8.13,-29.67,-4.48,16,17,0
TATACAP.NS,Jun-26,8.11,15.09,11.05,56.39,0,0,3
TATACHEM.NS,Jun-26,23.76,14.41,102.84,-81.01,13,17,0
TATACOMM.NS,Jun-26,0.44,10.45,-49.81,-31.58,19,19,0
TATACONSUM.NS,Jun-26,-1.56,11.93,0.71,28.61,14,13,6
TATAELXSI.NS,Mar-15,4.52,8.96,7.14,36.36,20,22,8
TATAINVEST.NS,Jun-26,280,4.83,125,-1.37,92,92,0
TATAPOWER.NS,Jun-26,27.86,5.63,-1.06,11.01,20,20,9
TATASTEEL.NS,Jun-26,-3.91,14.32,-19.56,18.83,15,14,6
TATATECH.NS,Jun-26,5.92,33.84,-11.27,6.47,16,16,2
TBOTEK.NS,Jun-26,13.76,81.21,38.33,31.75,15,14,6
TCS.NS,Jun-26,2.23,13.93,-2.64,4.69,26,27,2
TDPOWERSYS.NS,Jun-26,8.66,72.04,19.44,72,19,19,9
TECHM.NS,Jun-26,4.22,17.68,9.59,31.62,17,14,3
TECHNOE.NS,Jun-26,-37.62,19.77,-19.13,-31.62,16,18,0
TEGA.NS,Jun-26,226.94,383.99,-351.16,-408.57,3.2,16,0
TEJASNET.NS,Jun-26,20.72,99.01,4.27,-4.12,-25,-67,0
TENNIND.NS,Jun-26,-0.45,20.14,-1.2,-1.79,16,18,0
TEXRAIL.NS,Jun-26,-35.13,-16.9,-13.79,72.41,8,8,2
THANGAMAYL.NS,Jun-26,-6.09,71.12,-40.56,84.78,5,6,4
THELEELA.NS,Jun-26,-27.27,28,-71.51,444.44,36,37,5
THERMAX.NS,Jun-26,-32.82,6.72,-90.98,-85.43,3,10,0
THOMASCOOK.NS,Jun-26,18.13,-13.12,106.45,-13.51,4.5,5,0
THYROCARE.NS,Jun-26,7.14,24.35,4.08,34.21,32,30,9
TI.NS,Jun-26,10.22,155.75,313.33,-64.04,16,23,0
TIINDIA.NS,Jun-26,0,17.07,25.64,-2.97,9,10,0
TIMETECHNO.NS,Jun-26,0.95,25.13,-11.94,21.65,13,14,9
TIMKEN.NS,Jun-26,-13.49,14.72,-24.05,11.11,19,18,1
TIPSMUSIC.NS,Jun-26,2.88,21.59,-25.42,-4.35,50,64,0
TITAGARH.NS,Jun-26,-12.57,12.67,-1.85,70.97,12,9,2
TITAN.NS,Jun-26,-20.67,29.25,50.72,62.88,14,11,6
TMB.NS,Jun-26,7.23,19.91,10.16,35.08,0,0,9
TMCV.NS,Jun-26,-20.81,19.3,42.55,82.96,16,12,2
TMPV.NS,Jun-26,-9.15,9.26,-85.39,-78.54,6,9,0
TORNTPHARM.NS,Jun-26,17.25,54.85,55.49,3.28,34,32,1
TORNTPOWER.NS,Jun-26,26.82,2.76,100,-10.78,19,19,0
TRANSRAILL.NS,Jun-26,-6.82,4.58,12.5,1.89,12,12,1
