Symbol,Latest Quarter,Sales QoQ %,Sales YoY %,Profit QoQ %,Profit YoY %,OPM Latest %,OPM Prev Year %,Profit Growth Streak (Qtrs)
AJANTPHARM.NS,Jun-26,14.35,24.79,25.09,30.98,26,27,9
AKUMS.NS,Jun-26,0.78,13.96,24.69,55.38,15,13,1
ALIVUS.NS,Jun-26,-7.11,6.31,-1.84,31.15,33,29,7
ALKEM.NS,Jun-26,3.8,10.95,107.57,-22.01,20,22,0
ALKYLAMINE.NS,Mar-20,-8.56,-0.84,-18.33,157.89,29,16,4
ALLTIME.NS,Jun-26,10.96,2.53,33.33,-7.69,14,18,0
ALOKINDS.NS,Jun-26,1.02,6.55,28.5,19.77,6,2.1,1
ALPINETEX.NS,Jun-26,0,0,0,0,13.9,0,0
AMAGI.NS,Jun-26,10.08,32.42,0,750,7,-0.4,3
AMBER.NS,Jun-26,-6.26,12.72,-98.09,-97.08,8.01,7.24,0
AMBUJACEM.NS,Jun-26,-12.97,-7.67,-64.46,-36.6,17,19,0
ANANDRATHI.NS,Jun-26,11.81,17.52,58.25,73.4,34,47,9
ANANTRAJ.NS,Jun-26,-2.47,6.59,0,18.25,29,25,9
ANGELONE.NS,Jun-26,-1.99,25.33,-27.81,102.63,34,24,2
ANTHEM.NS,Jun-26,-31.59,-22.59,-36.84,-11.76,36,35,0
ANUP.NS,Jun-26,-39.74,-28.52,-97.85,-97.83,7.56,23.03,0
ANURAS.NS,Jun-26,2.99,34.77,-8.93,6.25,25,26,1
APARINDS.NS,Jun-26,-0.18,29.13,84.58,77.57,11,9,6
APLAPOLLO.NS,Jun-26,-10.56,8.45,-25.71,10.97,7,7,7
APLLTD.NS,Jun-26,16.34,25.66,-14.85,11.69,15,16,2
APOLLO.NS,Jun-26,-14.33,87.31,-32.43,38.89,21,31,9
APOLLOHOSP.NS,Jun-26,6.63,20.58,10.71,38.32,16,15,9
APOLLOTYRE.NS,Jun-26,0.85,12.76,-44.69,2584.62,12,13,3
APTUS.NS,Jun-26,4.53,15.38,0,19.18,0,0,9
ARE&M.NS,Jun-26,19.2,23.93,-39.17,15.76,10,11,2
ARSSBL.NS,Jun-26,-3.91,22.39,-45.24,0,40,37,0
ARVIND.NS,Jun-26,-2.04,24.68,-64.85,5.45,10,9,2
ARVINDFASN.NS,Jun-26,-6.37,15.45,-57.58,12,12,12,2
ASAHIINDIA.NS,Jun-26,4.36,14.97,12.03,170.91,23,16,2
ASHAPURMIN.NS,Jun-26,-17.93,19.17,-10.74,-5.26,11,13,0
ASHOKA.NS,Jun-26,-23.23,-20.51,-13.61,-44.05,17,32,0
ASHOKLEY.NS,Jun-26,-24.21,11.62,-51.63,1.52,18,19,8
ASIANPAINT.NS,Jun-26,14,17.93,31.56,39.57,21,18,2
ASKAUTOLTD.NS,Jun-26,18.4,52.41,18.06,28.79,12,13,9
ASTERDM.NS,Jun-26,10.91,21.61,-81.17,-69.15,20,19,0
ASTRAL.NS,Jun-26,-24.43,15.94,-43.66,51.9,15,14,2
ASTRAMICRO.NS,Jun-26,-63.73,-11.5,-88.68,-25,19,20,0
ATGL.NS,Jun-26,12.65,27.19,-15.48,-13.94,15,21,0
ATHERENERG.NS,Jun-26,3.57,0,49,0,-2.7,0,0
ATLANTAELE.NS,Jun-26,-37.7,47.94,-53.92,51.61,17,15,3
ATUL.NS,Jun-26,10.66,25.03,20.38,92.42,21,16,9
AUBANK.NS,Jun-26,5.66,21.13,-4.33,37.01,0,0,3
AURIONPRO.NS,Jun-26,3.47,6.23,-26.23,-11.76,17,20,0
AUROPHARMA.NS,Jun-26,3.35,16.29,12.05,25.24,21,20,4
AVALON.NS,Jun-26,0.83,49.85,-14.63,150,12,9,8
AVANTIFEED.NS,Jun-26,29.43,18.31,-16.55,-37.63,6,13,0
AVL.NS,Jun-26,90.88,26.91,250,40,10,10,9
AWFIS.NS,Jun-26,3.66,26.87,4.35,140,38,38,3
AWL.NS,Jun-26,-6.6,17.52,19.8,47.48,3.5,2.1,2
AXISBANK.NS,Jun-26,4.01,9.87,0.37,22.15,0,0,3
AXISCADES.NS,Jun-26,67.89,94.68,0,-171.43,4.7,7,0
AYE.NS,Jun-26,-7.38,17.78,-13.95,138.71,0,0,3
AZAD.NS,Jun-26,6.79,26.28,-5.41,20.69,37,36,9
BAJAJ-AUTO.NS,Jun-26,21.63,65.15,-8.68,44.3,21,21,5
BAJAJELEC.NS,Jun-26,-12.18,2.25,170.59,4700,7,3.1,1
BAJAJFINSV.NS,Jun-26,9.2,19.13,20.49,18.16,41,41,2
BAJAJHFL.NS,Jun-26,5.51,17.09,6.88,22.64,0,0,9
BAJAJHLDNG.NS,Jun-26,545.9,21.23,5.08,-22.72,87,87,0
BAJFINANCE.NS,Jun-26,7.22,18.65,9.51,27.62,0,0,2
BALAMINES.NS,Jun-26,15.44,27.37,20,110.81,25,15,2
BALKRISIND.NS,Jun-26,17.8,25.18,50.84,56.6,22,18,1
BALRAMCHIN.NS,Jun-26,2.06,6.16,-72.5,-15.38,7,9,0
BALUFORGE.NS,Jun-26,14.02,29.18,0,15.79,28,31,9
BANCOINDIA.NS,Jun-26,7.73,22.06,-17.01,10.91,18,19,1
BANDHANBNK.NS,Jun-26,3.74,2.83,-5.99,34.95,0,0,2
BANKBARODA.NS,Jun-26,1.74,6.84,-68.68,-47.71,0,0,0
BANKINDIA.NS,Jun-26,2.68,8.83,6.96,80.45,0,0,4
BATAINDIA.NS,Jun-26,18.24,3.93,3100,23.08,21,21,1
BAYERCROP.NS,Dec-06,8.52,0,112.5,0,7,0,0
BBOX.NS,Jun-26,1.6,23.86,-13.85,19.15,9,8,2
BBTC.NS,Jun-26,5.62,8,-25.35,17.07,16,15,6
BDL.NS,Jun-26,19.17,130.65,5.31,561.11,15,-18,1
BECTORFOOD.NS,Jun-26,12.96,16.07,11.43,25.81,13,12,3
BEL.NS,Jun-26,-45.75,24.93,-52.61,8.88,25,28,9
BELRISE.NS,Jun-26,-0.27,12.56,-6.15,8.93,12,12,6
BEML.NS,Jun-26,-54.29,29.34,-115,57.81,0.2,-8,1
BERGEPAINT.NS,Jun-26,24.97,11.97,20.9,28.57,17,17,2
BHARATCOAL.NS,Jun-26,9.26,-3.58,-351.85,-138.42,-1.8,5,0
BHARATFORG.NS,Jun-26,2.47,18.7,-138.63,-131.69,15,17,0
BHARTIARTL.NS,Jun-26,5.7,18.35,8.27,34.9,57,56,1
BHARTIHEXA.NS,Jun-26,3.98,10.91,7.83,22.96,53,51,1
BHEL.NS,Jun-26,-37.47,40.3,-70.78,182.68,7,-10,4
BIKAJI.NS,Jun-26,1.8,12.4,5.36,0,13,15,0
BIOCON.NS,Jun-26,-4.01,9.99,-31.16,53.93,20,19,1
BIRET.NS,Jun-26,1.46,51.71,309.26,67.42,72,70,1
BIRLACORPN.NS,Jun-26,-6.7,7.82,-60.68,-3.33,13,14,0
BLACKBUCK.NS,Jun-26,10.27,41.67,-36.36,23.53,24,28,1
BLS.NS,Jun-26,9.33,25.32,8.02,11.6,28,29,9
BLUEDART.NS,Jun-26,8.15,14.98,79.59,79.59,16,14,1
BLUEJET.NS,Jun-26,24.68,-17.46,21.88,-14.29,33,34,0
BLUESTARCO.NS,Jun-26,-17.04,13.28,-54.63,-14.88,5,7,0
BLUESTONE.NS,Jun-26,8.13,49.56,-80.89,117.15,14.5,11.11,5
BMWVENTLTD.NS,Jun-26,-16.46,25.57,0,37.5,3.4,4,1
BORORENEW.NS,Jun-26,-7.73,17,-48.52,142.86,31,18,4
BOSCHLTD.NS,Jun-26,4.96,21.99,23.86,-36.74,14,13,0
BPCL.NS,Jun-26,27.44,34.41,-133.3,-127.39,-2.7,9,0
BRIGADE.NS,Jun-26,-23.46,-12.88,13.61,37.34,32,25,1
BRIGHOTEL.NS,Jun-26,-6.62,2.42,-32,142.86,33,33,5
BRITANNIA.NS,Jun-26,5.95,8.18,-12.79,14.04,17,16,7
BSE.NS,Jun-26,0.13,63.47,9.81,62.27,67,65,8
BSOFT.NS,Jun-26,2.22,7.32,-8.52,51.89,16,12,3
CAMPUS.NS,Jun-22,-3.98,22.91,-27.5,190,18,24,1
CAMS.NS,Jun-26,0,11.58,1.6,17.59,46,43,3
CANBK.NS,Jun-26,3.51,4.55,13.27,60.28,0,0,1
CANFINHOME.NS,Jun-26,2.05,7.45,-22.54,19.64,0,0,9
CANHLIFE.NS,Jun-26,216.67,19.8,-20,21.74,0,0.2,2
CAPILLARY.NS,Jun-26,34.12,42.66,-122.02,-1373.33,15.7,9.92,0
CAPLIPOINT.NS,Jun-26,1.67,19.61,3.47,18.54,35,35,9
CARBORUNIV.NS,Jun-26,2.07,17.06,300,33.33,9,10,1
CARTRADE.NS,Jun-26,-0.99,16.18,-19.72,21.28,31,25,9
CASTROLIND.NS,Jun-26,21.1,24.98,43.8,42.62,26,23,2
CCAVENUE.NS,Jun-26,7.63,109.38,-4.49,46.55,3.7,6,4
CCL.NS,Jun-26,-1.96,13.64,1.74,62.5,16,15,6
CDSL.NS,Jun-26,11.41,13.13,47.5,15.69,47,50,1
CEATLTD.NS,Jun-26,2.35,22.36,-98.36,-96.43,8.45,10.97,0
CELLO.NS,Jun-26,-19.42,-0.38,-18.89,-9.88,19,21,0
CEMPRO.NS,Jun-26,-8.48,5.63,-41.74,2.92,10,9,9
CENTRALBK.NS,Jun-26,0.29,12.79,77.14,3.19,0,0,1
CENTURYPLY.NS,Jun-26,4.62,33.53,5.06,56.6,13,11,5
CERA.NS,Jun-25,-27.37,5.24,-45.35,0,13,14,0
CESC.NS,Jun-26,33.91,5.44,-8.71,3.71,16,17,5
CGCL.NS,Jun-26,13.79,56.97,24.73,101.71,0,0,9
CGPOWER.NS,Jun-26,-4.68,14,-15.15,15.36,12,13,6
CHALET.NS,Jun-26,-8.24,-42.79,-47.24,-57.64,46,40,0
CHAMBLFERT.NS,Jun-26,80.5,-11.78,210.06,-4.55,16,13,0
CHENNPETRO.NS,Jun-26,62.75,84.78,-27.5,2677.5,6,0.7,4
CHOICEIN.NS,Jun-26,0.98,31.91,-10.29,27.08,34,36,6
CHOLAFIN.NS,Jun-26,5.22,21.87,0.67,45.52,0,0,9
CHOLAHLDNG.NS,Jun-26,7.22,19.56,10.02,41.98,0,0,9
CIEINDIA.NS,Jun-26,0.34,10.64,-5.22,15.69,15,14,4
CIPLA.NS,Jun-26,8.84,2.33,44.75,-39.16,17,26,0
CLEAN.NS,Jun-26,7.63,10.29,25.86,4.29,36,41,1
CLEANMAX.NS,Jun-26,49.37,106.97,22.22,423.53,51,66,3
CMLL.NS,Jun-26,14.86,0,-55.22,0,17,0,0
CMPDI.NS,Jun-26,-41.84,-35,-38.3,-58.12,30,45,0
CMRGREEN.NS,Jun-26,32.05,91.95,3.03,195.65,4.3,3,1
CMSINFO.NS,Jun-26,0.32,1.28,6.33,-10.64,27,25,0
COALINDIA.NS,Jun-26,-0.51,7.77,-18.87,0.71,26,29,2
COCHINSHIP.NS,Jun-26,-26.28,2.34,-45.29,-19.68,18,23,0
COFORGE.NS,Jun-26,24.22,49.24,-20.12,49.44,19,16,8
COHANCE.NS,Jun-26,-31.83,-23.13,-662.5,-197.83,0.3,20,0
COLPAL.NS,Jun-26,0.5,11.79,-2.83,6.85,30,32,1
CONCOR.NS,Jun-26,-4.55,0.28,1.89,0.75,21,20,1
CONCORDBIO.NS,Jun-26,-21.17,25.98,-34.09,31.82,32,30,1
CORDELIA.NS,Jun-26,23.38,0,27.78,0,24,0,0
COROMANDEL.NS,Jun-26,35.99,15.95,232.17,-23.9,9,11,0
CORONA.NS,Jun-26,19.55,21.61,33.33,30.43,22,20,2
CPPLUS.NS,Jun-26,-1.41,89.46,-15.98,330.3,15,8,3
CRAFTSMAN.NS,Jun-26,9.25,36.32,30.17,115.71,16,15,5
CRAMC.NS,Jun-26,39.42,19.83,85.37,24.59,70,68,1
CREDITACC.NS,Jun-26,11.65,21.87,45,721.67,0,0,3
CRISIL.NS,Jun-26,1.61,27.52,-7.3,25.58,29,28,8
CRIZAC.NS,Jun-26,-48.72,-4.29,-37.84,0,30,29,0
CROMPTON.NS,Jun-26,-2.1,11.86,126.93,15.32,10,10,1
CSBBANK.NS,Jun-26,7.16,23.63,-25.74,26.05,0,0,8
CSM.NS,Jun-26,-29.34,-28.45,-189.03,-258.32,-17.82,16.94,0
CUB.NS,Jun-26,6.95,23.68,6.39,25.16,0,0,9
CUMMINSIND.NS,Jun-26,13.78,17.85,-6.16,0.83,18,21,2
CUPID.NS,Jun-26,29.17,158.33,22.22,193.33,39,28,5
CYIENT.NS,Jun-26,7.73,21.26,65.15,-30.57,13,13,0
DABUR.NS,Jun-26,23.9,10.54,61.88,15.35,20,20,5
DALBHARAT.NS,Jun-26,-8.36,6.99,-51.27,-51.39,21,24,0
DATAMATICS.NS,Jun-26,-0.96,9.83,60,44,20,16,1
DATAPATTNS.NS,Jun-26,-66.38,17.17,-84.06,-15.38,27,32,0
DBCORP.NS,Jun-26,4.86,8.05,62.9,24.69,23,20,2
DBL.NS,Jun-26,3.39,-9.24,3.23,-52.77,18,20,0
DBREALTY.NS,Jun-26,27.48,-86.82,97.74,-109.69,20.81,-3.56,0
DCBBANK.NS,Jun-26,4.04,9.37,3.4,35.67,0,0,9
DCMSHRIRAM.NS,Jun-26,11.62,9.26,86.79,507.89,9,9,2
DEEPAKFERT.NS,Jun-26,8.14,22.45,252.52,100.82,26,19,1
DEEPAKNTR.NS,Jun-26,21.6,36.4,56.82,208.04,21,10,3
DELHIVERY.NS,Jun-26,2.84,27.77,-55.56,-64.84,4.8,6,0
DEVYANI.NS,Jun-26,10.02,16.51,270,750,16,15,2
DIACABS.NS,Jun-26,-0.86,128.48,1.75,262.5,11,10,4
DIVISLAB.NS,Jun-26,8.8,27.8,20.11,65.5,41,30,2
DIXON.NS,Jun-26,47.92,21.13,140.94,156.43,3,3.8,1
DLF.NS,Jun-26,-29.44,-52.89,-37.43,4.06,12,13,1
DMART.NS,Jun-26,6.28,14.88,31.1,11.25,8,8,4
DOMS.NS,Jun-26,11.09,19.4,-22.41,-23.73,12,18,0
DRREDDY.NS,Jun-26,7.34,-5.51,97.29,-69.08,11,25,0
DYNAMATECH.NS,Jun-26,-1.85,14.56,61.54,90.91,13,10,1
EBGNG.NS,Jun-26,-36.81,32.05,-30.95,52.63,12,10,5
ECLERX.NS,Jun-26,4.07,23.21,-13.68,15.49,23,24,6
EDELWEISS.NS,Jun-26,21.38,3.65,1.52,30.1,25,35,1
EICHERMOT.NS,Jun-26,9.08,31.54,-3.75,21.41,24,24,9
EIDPARRY.NS,Jun-26,14.41,3.42,208.71,-32.76,8,9,0
EIEL.NS,Jun-26,-15.93,48.96,-16.67,7.14,21,27,1
EIHOTEL.NS,Jun-26,-26.59,14.46,-51.81,224.32,25,28,1
ELECON.NS,Jun-26,-30.16,6.11,1066.67,-60,21,27,0
ELECTCAST.NS,Jun-26,-4.49,-8.47,200,-46.07,7,11,0
ELGIEQUIP.NS,Jun-26,-4.58,22.49,-19.53,19.77,15,14,6
ELLEN.NS,Jun-26,13.79,17.86,52.17,84.21,38,37,9
EMAMILTD.NS,Jun-26,12.32,14.93,-2.8,-15.24,22,23,0
EMBASSY.NS,Jun-26,2.99,17.08,145.35,25.81,77,77,1
EMBDL.NS,Jun-26,-36.55,-68.14,27.55,-40.96,-60,-1.6,0
EMCURE.NS,Jun-26,4.45,22.8,19.67,35.81,21,20,9
EMIL.NS,Jun-26,26.45,39.1,202.5,450,10,6,2
EMMVEE.NS,Jun-26,-10.52,51.36,-3.06,102.13,35,34,4
ENDURANCE.NS,Jun-26,5.6,30.01,-11.23,8.41,12,13,9
ENGINERSIN.NS,Jun-26,-11.45,-5.75,-19.39,143.08,15,8,1
ENRIN.NS,Jun-26,3.84,39.27,17.6,67.68,24,19,5
ENTERO.NS,Jun-26,1.57,38.18,15.56,73.33,5,3.6,9
EPACKPEB.NS,Jun-26,-22.29,24.07,-40,12.5,9,10,5
EPL.NS,Jun-26,6.77,25.27,-1.94,0,19,20,0
EQUITASBNK.NS,Jun-26,6.75,18.86,-13.62,182.14,0,0,4
ERIS.NS,Jun-26,15.32,12.94,-48.75,14.4,34,36,6
ESCORTS.NS,Jun-26,8.09,28.32,20.25,-72.37,11,13,0
ETERNAL.NS,Jun-26,16.88,182,-47.13,268,2.9,1.6,3
ETHOSLTD.NS,Jun-26,11.59,33.53,26.09,52.63,13,13,1
EUREKAFORB.NS,Jun-26,2.34,15.13,11.76,46.15,10,10,2
EUROPRATIK.NS,Jun-26,10.75,58.46,-9.09,122.22,26,34,3
EXCELSOFT.NS,Jun-26,-1.11,44.04,-44.4,57.24,16.25,18.02,1
EXIDEIND.NS,Jun-26,16.75,17.74,61.75,27.64,11,11,3
FABTECH.NS,Jun-26,-52.7,10.25,-80.92,168.68,5.65,-9.13,2
FACT.NS,Dec-25,-3.74,65.23,-423.81,-950,-2.7,3.3,0
FEDERALBNK.NS,Jun-26,-1.07,9.94,-6.47,36.91,0,0,3
FEDFINA.NS,Jun-26,8.77,29.59,12.87,52,0,0,6
FIEMIND.NS,Jun-26,3.2,17.6,-8.45,12.07,13,14,9
FINCABLES.NS,Jun-26,3.18,44.2,11.16,52.76,12,10,4
FINPIPE.NS,Jun-26,-32.72,-15.24,-55.94,17.35,12,9,4
FIRSTCRY.NS,Jun-26,-2.64,13.04,8.33,34.33,2.8,1.8,2
FIVESTAR.NS,Jun-26,1.47,5.34,0.74,1.88,0,0,1
FLUOROCHEM.NS,Jun-26,16,23.97,119,20.33,27,27,1
FORCEMOT.NS,Jun-26,-4.31,6.23,-22.22,23.3,13,14,1
FORTIS.NS,Jun-26,7.61,17.44,0.74,2.25,21,23,2
FRACTAL.NS,Jun-26,2.93,20,-37.93,89.47,13,11,3
FSL.NS,Jun-26,5.5,22.86,-19.02,-1.78,17,16,0
GABRIEL.NS,Jun-26,3.26,15.56,-9.24,2.86,9,10,2
GAEL.NS,Jun-26,8.66,23.47,31.11,172.31,15,7,2
GAIL.NS,Jun-26,15.8,16.67,215.4,96.1,17,10,1
GALLANTT.NS,Jun-26,-4.9,1.6,0.81,-28.74,16,22,0
GANESHCP.NS,Jun-26,-13.3,-6.9,30,30,11,10,4
GAUDIUMIVF.NS,Jun-26,-36.14,9.12,-78.71,-42.02,12.54,29,0
GEMAROMA.NS,Jun-26,-10.47,12.8,-879.21,-198.62,3.34,16.96,0
GESHIP.NS,Jun-26,32.69,66.94,25.38,159.72,67,54,4
GHCL.NS,Mar-26,4.49,1.28,9.43,-22.67,22,28,0
GICRE.NS,Jun-26,10.62,-1.52,-31.15,-31.09,14,18,0
GILLETTE.NS,Jun-26,-1.14,10.75,-17.62,8.9,29,30,9
GKENERGY.NS,Jun-26,5.87,55.38,1.69,62.16,16,18,3
GKSL.NS,Jun-26,12.13,124.71,10.37,-1.48,24.41,56.49,0
GLAND.NS,Jun-26,3.27,19.52,-13.62,47.44,27,24,5
GLAXO.NS,Jun-26,-5.73,16.52,-14.75,15.61,31,31,9
GLENMARK.NS,Jun-26,6.55,23.1,60.47,927.66,20,18,4
GLOTTIS.NS,Jun-26,19.9,0,0,0,7,0,0
GMDCLTD.NS,Jun-26,11.43,23.74,-15.98,-0.61,21,23,0
GMMPFAUDLR.NS,Jun-26,-2.01,16.35,46.67,120,10,13,2
GMRAIRPORT.NS,Jun-26,0.74,23.78,-63,208.03,37,36,2
GMRP&UI.NS,Jun-26,-14.92,3.46,69.3,-400,26,24,0
GNFC.NS,Jun-26,1.36,39.79,-21.21,275.9,18,1.9,2
GODFRYPHLP.NS,Jun-26,-32.51,-18.84,-62,-44.38,15,23,0
GODIGIT.NS,Jun-26,-10.48,8.54,-42.28,-37.68,4.7,7,0
GODREJAGRO.NS,Jun-26,22.37,9.22,25.49,-14.09,8,10,0
GODREJCP.NS,Jun-26,8.33,15.37,11.73,11.73,19,19,2
GODREJIND.NS,Jun-26,-29.19,22.15,-37.81,-27.86,11,9,0
GODREJPROP.NS,Jun-26,-85.37,16.32,-45.89,-41.64,-58,-62,0
GOKEX.NS,Jun-26,7.95,20.71,22.22,7.32,10,10,1
GOKULAGRO.NS,Jun-26,-14.81,7.27,3.36,70.83,3.9,2.7,9
GPIL.NS,Jun-26,8.7,32.28,-20.71,2.78,19,24,2
GPPL.NS,Jun-26,4.73,32.8,4.23,42.31,64,59,4
GRANULES.NS,Jun-26,0.41,22.07,-10.89,59.29,23,20,4
GRAPHITE.NS,Jun-26,3.19,26.62,262.86,28.57,17,6,1
GRASIM.NS,Jun-26,-4.67,21.43,4.4,38.79,23,22,6
GRAVITA.NS,Jun-26,25.75,41.83,15.22,13.98,7,10,1
GREAVESCOT.NS,Jun-26,-2.61,30.68,180,-70.46,5.78,7.64,0
GRINDWELL.NS,Jun-26,-4.63,14.22,-3.36,22.34,20,18,5
GROWW.NS,Jun-26,-0.27,66.04,7.14,94.44,65,53,2
GRSE.NS,Jun-26,-14.35,38.55,-42.9,44.17,8,9,9
GRWRHITECH.NS,Jun-26,6.03,27.88,23.15,60.24,27,22,2
GSFC.NS,Jun-26,36.08,64.06,205.77,14.39,6,9,1
GSPCROP.NS,Jun-26,-3.98,2.39,30,13.04,11,11,1
GVT&D.NS,Jun-26,12.16,38.05,3.12,24.74,25,29,9
HAL.NS,Jun-26,-60.44,14.44,-62.11,14.88,28,27,4
HAPPSTMNDS.NS,Jun-26,4.14,14.36,11.48,19.3,19,17,2
HATHWAY.NS,Jun-26,3.48,6.6,127.27,-19.35,13,17,0
HAVELLS.NS,Jun-26,-2.79,19.49,-59.89,-16.67,7,9,0
HBLENGINE.NS,Jun-26,5.63,5.98,70.31,-23.78,23,32,0
HCC.NS,Jun-26,0.1,-8.98,-13.56,0,11,16,0
HCG.NS,Jun-26,6.6,13.38,300,166.67,18,18,1
HCLTECH.NS,Jun-26,1.76,13.94,3.03,20.34,20,20,2
HDBFS.NS,Mar-25,2.94,0,12.5,0,0,0,0
HDFCAMC.NS,Jun-26,4.56,13.64,34.35,11.9,77,80,1
HDFCBANK.NS,Jun-26,3.89,3.67,-3.28,19.27,0,0,4
HDFCLIFE.NS,Jun-26,69.73,14.58,22.94,11.5,1.5,1.5,2
HEG.NS,Jun-26,12.94,11.09,207.02,16.19,22,17,1
HEMIPROP.NS,Jun-26,-42.31,-37.5,-86.05,-21.21,-1080,-945.83,0
HERITGFOOD.NS,Jun-26,15.54,17.68,4.17,-39.02,4.6,6,0
HEROMOTOCO.NS,Jun-26,1.14,34.93,-3.8,-16.88,13,15,0
HEXAGON.NS,Jun-26,-9.33,-2.07,-25.96,3.99,11.25,11.88,1
HEXT.NS,Jun-26,6.42,17.91,-6.25,-13.16,16,12,0
HFCL.NS,Jun-26,4.99,119.86,33.7,948.28,22,3.3,3
HGINFRA.NS,Jun-26,-22.85,-25.71,-152.94,-145.45,28,18,0
HILINFRA.NS,Jun-26,10.43,170.91,-87.8,-85.26,1.25,10.3,0
HINDALCO.NS,Jun-26,8.56,32.06,170.04,75.15,16,12,1
HINDCOPPER.NS,Jun-26,-19.03,81.4,-20.72,162.69,54,41,6
HINDPETRO.NS,Jun-26,22.31,26.85,-302.23,-398.35,-11,7,0
HINDUNILVR.NS,Jun-26,6.05,10.05,-10.49,-3.18,23,23,0
HINDZINC.NS,Jun-26,1.5,76.9,8.66,144.81,59,50,4
HOMEFIRST.NS,Jun-26,7.39,18.5,7.38,34.45,0,0,9
HONASA.NS,Jun-26,15.07,27.06,30.43,119.51,15,8,5
HONAUT.NS,Jun-26,1.95,1.78,-5.62,20.8,14,12,2
HSCL.NS,Jun-26,11.18,28.09,9.62,27.37,20,22,9
HUDCO.NS,Jun-26,4.32,26.56,-57.04,35.08,0,0,2
HYUNDAI.NS,Jun-26,-13.64,-0.48,-29.22,-35.06,9,13,0
ICICIAMC.NS,Jun-26,1.43,17.51,25.49,23.09,72,71,3
ICICIBANK.NS,Jun-26,5.34,6.44,3.79,12.59,0,0,2
ICICIGI.NS,Jun-26,3.85,10.82,-26.33,-46.05,7,15,0
ICICIPRULI.NS,Mar-26,-86.05,-79.7,61.24,62.08,-24,2.6,8
ICIL.NS,Jun-26,14.08,25.86,162.5,61.54,12,12,2
IDBI.NS,Jun-26,-3.27,7.43,5.86,5.29,0,0,1
IDEA.NS,Jun-26,3.15,6.05,-107.22,43.19,43,42,4
IDFCFIRSTB.NS,Jun-26,4.72,14.61,246.83,153.42,0,0,4
IEX.NS,Jun-26,-9.2,11.27,3.85,11.57,83,81,9
IFBIND.NS,Jun-26,5.81,18.46,0,65.38,6,4.6,2
IFCI.NS,Jun-26,-30.43,-19.66,76.47,-3.23,0,0,0
IGCL.NS,Jun-26,11.76,-10.99,-79.24,-37.73,5.67,5.24,0
IGIL.NS,Jun-26,0.54,23.26,-7.78,30.71,60,58,7
IGL.NS,Jun-26,10.18,17.19,-29.79,-44.39,6,13,0
IIFL.NS,Jun-26,6.15,32.71,14.45,160.22,0,0,4
IIFLCAPS.NS,Jun-26,-2.02,2.27,60,4.55,36,36,1
IKS.NS,Jun-26,4.2,20.81,-5.83,27.63,32,32,7
IMFA.NS,Jun-26,25.82,49.53,87.38,107.53,29,20,3
INDGN.NS,Jun-26,5.98,39.68,45,0,16,20,0
INDHOTEL.NS,Jun-26,-15.41,14.6,-39.38,18.84,29,28,3
INDIACEM.NS,Jun-26,-17.09,-0.59,-55,120.3,15,8,2
INDIAGLYCO.NS,Jun-26,15.78,8.65,11.49,32.88,15,14,9
INDIAMART.NS,Jun-26,2.48,11.29,244,11.69,32,32,1
INDIANB.NS,Jun-26,3.47,11.11,5.77,47.43,0,0,4
INDIASHLTR.NS,Mar-26,4.62,24.77,11.29,27.78,0,0,9
INDIGO.NS,Jun-26,9.56,19.95,90.62,-110.94,13,26,0
INDIGOPNTS.NS,Jun-26,-12.94,19.74,-28.81,61.54,17,14,4
INDIQUBE.NS,Jun-26,5.49,36.89,-4.35,35.14,61,61,2
INDOMIM.NS,Jun-26,16.32,0,72.66,0,33,0,0
INDUSINDBK.NS,Jun-26,2.77,-7.78,74.58,71.69,0,0,2
INDUSTOWER.NS,Jun-26,4.07,4.63,-2.62,0.52,53,54,2
INFY.NS,Jun-26,3.9,14.03,-8.63,12.29,24,24,2
INNOVISION.NS,Jun-26,-1.38,18.29,-161.92,-159.37,-3.82,7.18,0
INOXGREEN.NS,Jun-26,-37.68,-23.21,46.43,86.36,-2.2,11,5
INOXINDIA.NS,Jun-26,-19.52,9.12,-22.67,-4.92,20,22,0
INOXWIND.NS,Jun-26,-34.57,-1.45,-39.62,-34.02,19,22,0
INTELLECT.NS,Jun-26,-0.24,20.37,-15,8.51,20,20,1
IOB.NS,Jun-26,3.4,18.83,10.28,45.67,0,0,9
IOC.NS,Jun-26,27.9,38.51,-107.52,-116.76,1.5,7,0
IONEXCHANG.NS,Jun-26,-18.86,20.11,-87.4,-93.68,4.53,10.72,0
IPCALAB.NS,Jun-26,16.75,20.74,38.11,81.97,24,18,9
IRB.NS,Jun-26,10.9,1.81,3.38,51.49,54,45,2
IRCON.NS,Jun-26,-38.66,9.52,-51.83,-43.9,10,11,0
IRCTC.NS,Jun-26,-6.16,18.1,1.23,-0.3,28,34,0
IREDA.NS,Jun-26,3.4,15.45,-31.24,37.25,0,0,1
IRFC.NS,Jun-26,12.61,19.46,14.43,10.37,0,0,5
ITC.NS,Jun-26,7.23,-11.08,-17.57,-15.61,27,32,0
ITCHOTELS.NS,Jun-26,-25.36,14.71,-42.59,35.82,31,30,5
ITI.NS,Jun-26,-32.32,-14.66,-107.34,50,0.4,-1.5,9
IVALUE.NS,Jun-26,-34.07,-21.05,-62.79,60,10,4.4,2
IXIGO.NS,Jun-26,15.91,12.97,6.25,78.95,6,7,3
