Symbol,Name,PE Ratio,Sector PE,PB Ratio,Sector PB,PEG Ratio,EV/EBITDA,ROA %,ROE %,ROCE %,ROE 3Y Avg %,ROCE 3Y Avg %,Net Profit (Cr),Net Profit Prev (Cr),Debt/Equity,Interest Coverage,Net Profit Margin %,EPS Current,EPS Last Year,EPS Growth 3Y %,Sales Growth 1Y %,Sales Growth 3Y %,Profit Growth 1Y %,Profit Growth 3Y %,Free Cash Flow (Cr),Dividend Yield %,Dividend Payout %,Promoter Holding %,Pledge %,FII Change %,DII Change %
INDIASHLTR.NS,INDIA SHELTE FIN,13.89,13.45,2.3,1.88,0.29,11.48,5.82,17.11,12.86,15.63,12.56,505.06,377.05,1.95,2.49,33.02,48.67,46.44,9.54,25.69,37.86,28.07,48.25,-1194.03,1.48,21.53,46.05,0,-0.01,0.53
INDIGO.NS,Interglobe Aviat,0,18.84,28.64,5.36,0,17.46,-1.76,-27.1,5.24,0,15.69,-2393.6,7258.4,11.15,0.55,-2.61,-124.31,-61.87,0,8.96,15.99,-147.77,0,21766.9,0.19,0,41.57,0,-1.32,0.71
INDIGOPNTS.NS,Indigo Paints,32.59,36.62,4.56,4.56,7.24,19.14,10.23,13.43,17.94,15.01,20.21,145.39,143.94,0.02,95.44,11.26,33.85,30.5,4.44,8.39,7.41,15.11,4.5,78.52,0.44,16.4,53.88,0,-1.69,2.25
INDIQUBE.NS,Indiqube Spaces,0,19.55,7.79,2.09,0,8.51,-1.9,-42.16,6.38,0,2.23,-106.34,-139.62,10.12,0.75,-7.33,-4.42,-5.02,0,38.88,35.77,30.42,13.58,493.69,0,0,60.11,0,-0.02,-0.34
INDOMIM.NS,Indo-MIM,70.53,32.46,0,4.19,9.22,38.8,13.01,23.43,24.98,21.32,22.45,533.54,423.73,0.49,5.86,14.02,11.02,11.02,-37.23,25.93,15.06,20.16,7.65,662.26,0,61.71,77.65,0,0,0
INDUSINDBK.NS,IndusInd Bank,59.67,14.1,1.19,1.33,-1.18,16.94,0.16,1.36,5.68,6.6,6.7,889.33,2575.55,6.73,1.07,1.92,16.97,11.41,-50.81,-6.38,8.34,31.08,-50.74,359.16,0.15,13.14,15.82,42.78,0.6,1.73
INDUSTOWER.NS,Indus Towers,13.65,14.62,2.45,2.45,0.29,6.35,9.99,18.61,19.48,24.62,23.57,7144.9,9931.7,0.53,7.35,20.66,27.12,27.08,48.38,6.72,4.61,-26.57,47.33,7786.1,3.8,51.69,51.26,0,-1.9,1.74
INFY.NS,Infosys,14.75,21.41,5.03,3.34,1.88,9.31,19.94,31.89,39.95,30.82,39.14,29474,26750,0.1,100,16.86,74.24,72.59,8.66,11.22,6.77,14.33,7.84,31259,4.25,66,13.82,0,-1.36,-0.41
INNOVISION.NS,Innovision,37.14,20.57,2.18,1.48,0.59,14.61,10.47,19.62,20.28,25.37,26.05,36.35,29.02,0.43,2.56,3.71,8.59,15.51,-37.36,9.81,56.56,25.95,63.05,-30.98,0,0,74.17,0,-1.86,0.19
INOXGREEN.NS,Inox Green,57.7,19.55,4.12,2.09,0.84,33.31,4.54,5.62,8.42,3.18,4.88,103.45,21.85,0.05,26.14,37.14,3.12,2.55,59.2,16.34,3.39,204.19,68.67,65.11,0,0,56.12,0,-0.88,0.37
INOXINDIA.NS,Inox India,67.81,24.85,15.62,3.62,3.51,45.34,14.19,26.13,33.48,28.73,38.17,257.89,226.03,0.07,34.69,16.39,28.08,28.41,19.34,19.94,18,12.26,19.34,10.98,0.1,7.04,74.86,0,-0.27,-0.05
INOXWIND.NS,Inox Wind,37.08,33.08,2,5.51,0.98,13.04,4.31,7.09,10.48,7.03,8.73,449.09,437.63,0.25,3.77,10.21,1.99,2.34,35.53,17.08,81.37,-22.34,37.68,-1246.43,0,0,44.18,8.08,-0.07,-0.94
INTELLECT.NS,Intellect Design,25.98,21.41,3.02,3.34,2.31,12.79,8.73,12.36,16.03,13.04,17.7,343.25,334.42,0.05,82.3,12.05,25.28,24.73,10.19,22.59,10.84,4.84,11.25,291.14,0.58,28.31,29.63,0,-2.06,0.24
IOB.NS,I O B,11.09,7.54,1.62,0.98,0.31,18.01,1.2,14.86,6.07,12.18,5.81,5208.03,3334.71,10.74,1.33,16.32,2.99,2.7,34.56,14.86,18.03,50.97,35.39,4862.58,0,0,92.44,0,0.04,0.01
IOC.NS,I O C L,5.69,9.78,0.87,1.92,0.09,4.29,8.32,20.48,18.66,17.17,15.72,43677.32,13788.83,0.6,7,5.5,23.83,29.81,61.92,13.47,-2.32,110.76,61.92,48881.21,6.07,26.99,51.5,0,-0.76,0.42
IONEXCHANG.NS,ION Exchange,49.77,20.07,4.09,2.83,-6.39,22.05,4.87,12.13,14.06,16.84,21.3,143.21,208.26,0.36,6.04,5.32,6.69,9.73,-7.79,10.15,13.57,-47.98,-7.79,-279.61,0.34,12.47,25.43,0,0.23,0.52
IPCALAB.NS,Ipca Labs.,35.09,32.56,5.98,3.99,0.94,20.19,10.15,15.7,16.98,12.94,14.82,1183.78,785.24,0.1,28.42,12.74,51.63,44.98,37.4,10.59,15.66,53.52,37.4,486.02,0.32,0,44.72,0,0.09,-0.09
IRB.NS,IRB Infra.Devl.,23.28,16.03,1.09,1.86,3.04,9.41,1.63,4.31,7.48,4.86,8.09,850.36,6480.68,0.96,1.82,11.5,0.79,0.7,7.67,-2.2,6.11,17.88,7.67,1416.86,0.82,18.46,30.81,0.03,0.03,0.12
IRCON.NS,Ircon Intl.,22.73,16.03,1.79,1.86,-2.86,10.39,2.9,9.19,9.69,12.11,13.14,591.92,727.83,0.86,2.79,6.53,5.57,6.33,-7.94,-9.92,-4.36,-21.6,-7.94,-1148.22,0.95,30.01,65.17,0,-0.17,0
IRCTC.NS,I R C T C,28.15,40.95,9.02,2.76,2.37,18.75,19.21,34.65,46.09,37.1,49.63,1393.37,1314.66,0.02,103.64,26.49,17.41,17.42,11.88,15.01,13.77,5.59,11.88,1227.57,1.75,51.67,62.4,0,-0.95,0
IREDA.NS,Indian Renewable,16.43,16.08,2.34,2.17,0.56,14.55,2.16,15.58,8.69,16.82,9.12,1873.34,1698.6,5.65,1.49,22.55,6.99,6.67,20.78,19.93,33.62,25.78,29.39,-14497.69,0.52,20.24,71.76,0,0.34,-0.05
IRFC.NS,I R F C,15.73,16.08,1.99,2.17,4.6,19.25,1.39,12.81,5.64,13.03,5.73,7009.17,6502,7.69,1.34,25.69,5.5,5.36,3.42,4.87,4.53,7.79,3.42,-27029.59,2.43,39.15,82.9,0,0.01,1.09
ITC.NS,ITC,17.25,43.31,4.69,4.69,5.81,11.94,23.37,29.32,38.91,35.24,37.36,21018.15,35052.48,0.03,246.69,26.91,15.84,16.51,2.69,-3.23,3.6,-1.41,2.97,16331.87,5.34,87.81,0,0,-0.6,-0.02
ITCHOTELS.NS,ITC Hotels,37.53,27.61,2.97,2.13,0,20.07,6.83,7.89,11.23,6.65,10.43,821.26,637.64,0.01,153.67,21.41,4.15,3.92,0,16.09,0,35.3,0,701.37,0.6,0,39.85,0,-2.97,2.52
ITI.NS,ITI,0,48.84,14.54,6.3,0,268.89,-1.59,-9.13,1.43,-18.32,-2.77,292.79,-233.15,0.41,0.27,-7.16,3.36,3.04,16.3,-41.28,16.1,51.01,16.15,774.63,0,0,90.02,0,0.08,0
IVALUE.NS,Ivalue Infosolut,14.28,24.61,2.69,3.01,0.74,9.17,7.85,19.81,25.37,20.42,25.94,98.38,85.3,0.12,13.88,9.68,19.09,17.98,-49.2,5.52,9.83,23.71,19.38,107.77,0,0,32.1,0,0.51,0.19
IXIGO.NS,Le Travenues,85.81,40.95,3.65,2.76,2.14,55.4,4.27,5.54,6.8,7.32,8.65,71.48,60.25,0.02,40.55,5.99,1.94,1.65,32.5,20.87,34.81,37.2,40.04,175.26,0,0,0,0,-2.91,2.9
J&KBANK.NS,J & K Bank,7.08,14.1,0.96,1.33,0.27,17.91,1.32,15.37,5.84,15.68,5.96,2359.51,2081.79,10.46,1.39,17.94,20.92,21.43,23.28,4.78,12.02,7.26,25.99,-1595.04,1.45,0,59.4,0,1.03,1.85
JAIBALAJI.NS,Jai Balaji Inds.,41.17,17.52,2.67,1.65,196.05,16.05,3.32,6.03,9.73,31.56,36.05,129.95,557.88,0.18,4.38,2.29,1.59,1.42,-7.08,2,-1.89,-65.13,0.21,115.1,0,0,64.84,31.09,-0.22,-0.01
JAINREC.NS,Jain Resource,28.4,25.97,6.63,5.72,0.51,18.76,13.28,30.42,25.66,36.6,25.14,347.39,223.29,0.82,6,3.63,10.44,10.11,-23.9,65.35,46.04,66.12,56.07,-693.27,0,0,73.59,0,-1.79,-0.36
JAMNAAUTO.NS,Jamna Auto Inds.,20.07,30.3,4.23,3.42,1.61,11.46,15.09,22.37,27.47,21.96,25.69,230.98,180.32,0.01,21.11,9.17,5.85,5.78,12.36,15.89,3.95,34.55,12.45,260.59,0.82,0,49.84,1.52,-0.24,-0.92
JARO.NS,Jaro Institute,17.34,29.8,2.71,2.71,0.31,10.61,12.45,16.52,22.09,26.86,36.43,52.92,51.67,0.02,41.42,16.04,25.49,23.86,37.26,12.52,30.88,34.84,56.23,56.62,1.14,12.35,61.43,0,-0.03,-2.16
JAYNECOIND.NS,Jayaswal Neco,15.92,22.43,3.2,1.93,0.8,7.66,8.04,18.05,20.67,11.31,15.79,463.11,112.68,0.74,3.02,6.6,5.81,4.77,19.97,22.18,4.24,140.77,19.97,1251.42,0,0,55.15,99.87,0.42,0.48
JBMA.NS,JBM Auto,64.02,30.3,9.58,3.42,2.93,21.02,3.7,15.55,14.78,15.83,14.48,238.07,214.63,1.97,1.98,4.01,9.48,9.25,21.83,12.46,16.43,12.06,21.83,-358.09,0.14,9.19,67.53,0,0.06,0.06
