Symbol,Name,PE Ratio,Sector PE,PB Ratio,Sector PB,PEG Ratio,EV/EBITDA,ROA %,ROE %,ROCE %,ROE 3Y Avg %,ROCE 3Y Avg %,Net Profit (Cr),Net Profit Prev (Cr),Debt/Equity,Interest Coverage,Net Profit Margin %,EPS Current,EPS Last Year,EPS Growth 3Y %,Sales Growth 1Y %,Sales Growth 3Y %,Profit Growth 1Y %,Profit Growth 3Y %,Free Cash Flow (Cr),Dividend Yield %,Dividend Payout %,Promoter Holding %,Pledge %,FII Change %,DII Change %
KIRLOSENG.NS,Kirloskar Oil,54.86,43.84,8.63,6.93,2.48,24.58,5.4,17.51,14.55,16.51,14.39,562.46,475.82,1.48,2.52,7.47,37.58,39.51,21.98,22.68,15.33,27.79,22.16,594.7,0.33,17.72,41.06,0,0.54,-0.69
KIRLPNU.NS,Kirl.Pneumatic,35.21,43.84,7.68,6.93,0.98,23.87,15.92,22.73,30.3,20.32,26.76,258.41,211.07,0,1826,15.16,20.36,19.89,35.7,9.99,12.39,26.98,35.91,162.67,0.81,30.16,38.81,0,0.83,-0.56
KISSHT.NS,Onemi Technology,16.09,25.56,0,2.22,0.14,9.97,8.41,24.02,22.59,23.23,23.43,281.45,160.62,1.44,2.33,12.86,23.7,23.7,-25.28,61.79,29.82,75.34,116.54,-471.06,0,0,24.8,0,0,0
KITEX.NS,Kitex Garments,0,24.78,2.42,2.45,0,55.6,-0.32,0.97,1.53,7.11,6.2,-13.2,135.74,1.16,0.08,-1.36,-1.2,0.3,-44.16,-36.44,6.19,-120.6,-44.16,17.86,0.4,168.78,56.66,0,0.33,-0.01
KNACK.NS,Knack Packaging,25.07,21.38,0,1.88,0.43,16.4,20.14,41.96,34.07,39.77,30.56,89.42,71.1,0.88,8.64,11.14,8.94,8.94,-41.76,11.42,16.45,27.2,58.08,34.63,0,0,70.59,0,0,0
KNRCON.NS,KNR Construct.,10.47,16.03,0.72,1.86,5.54,8.34,5.73,9.19,10.39,19.33,21.57,436.87,1001.87,0.49,2.87,16.19,14.03,15.54,1.89,-38.98,-12.75,-67.02,1.89,-134.74,0.2,1.61,48.81,0,-0.87,-2.02
KOTAKBANK.NS,Kotak Mah. Bank,19.64,14.1,2.18,1.33,2.2,17.69,2.05,11.39,6.98,13.73,7.67,19287.89,22125.99,3.65,1.91,27.64,20.41,19.39,8.89,5.68,18.3,4.59,8.94,40690.49,0.16,3.35,25.87,0,-1.19,1.52
KPIGREEN.NS,KPI Green Energy,13.33,22.91,2,1.84,0.21,10.22,6.91,17.38,13.85,19.52,17.65,509.24,325.28,1.71,3.99,18.82,23.19,24.13,52.59,40.01,61.18,27.27,62.77,-2608.25,0.21,4.35,49.41,44.74,-0.08,0.03
KPIL.NS,Kalpataru Proj.,21.32,16.03,3.05,1.86,0.6,10.39,3.64,13.7,18.28,11.53,16.74,1030.63,567.27,0.46,4.18,3.57,66.55,60.9,33.47,14.56,18.38,57.31,35.72,839.52,0.79,18.06,33.58,24.55,-0.15,-0.28
KPITTECH.NS,KPIT Technologi.,25.95,21.41,4.59,3.34,1.23,12.45,11.18,20.93,26.26,27.13,34.88,637.37,839.6,0.24,11.12,10.46,21.25,23.25,21.08,9.55,24.25,-22.64,21.08,1056.18,1.26,32.04,38.59,0,-0.03,-1.05
KPRMILL.NS,K P R Mill Ltd,43.35,18.76,6.92,1.77,20.07,26.48,13.14,15.71,19.58,17.24,20.01,866.5,815.11,0.1,23.85,12.64,26.69,25.35,2.16,4.2,2.44,10.65,2.16,855.62,0.43,19.72,67.52,0,0.38,-0.22
KRBL.NS,KRBL,11.99,15.99,1.57,2.33,-4.61,8.16,10.11,11.73,15.16,11.2,14.28,648.04,476.05,0.03,134.39,10.63,33.13,28.31,-1.69,0.51,4.36,40.39,-2.6,866.47,1.13,15.89,60.17,0,-0.47,-0.01
KRN.NS,KRN Heat Exchan,102.42,24.85,16.44,3.62,0,65.7,10.02,14.26,16.06,17.21,18.4,76.47,52.88,0.33,15.8,12.74,15.33,12.3,0,64.04,0,81.77,0,-312.12,0,0,65.69,0,2.2,1.94
KRT.NS,Knowledge Realty,82.14,69.97,1.19,1.93,4.52,17.54,1.24,1.67,5.22,0,5.22,375.44,-2.36,0.29,2.33,11.84,1.41,0.85,0,0,1.65,15380.51,18.18,1785.98,1.46,558.02,0,0.03,0,0
KSB.NS,KSB,53.27,43.84,8.23,6.93,3.14,33.14,11.32,18.39,24.7,17.83,24,270.49,247.48,0,101.8,10.79,14.11,15.54,16.97,4.63,13.95,2.04,16.98,-0.16,0.55,28.31,69.8,0,-0.56,0.14
KSCL.NS,Kaveri Seed Co.,15.99,15.99,2.26,2.33,1.44,12.51,10.94,18.17,18.79,19.09,20.21,295.83,282.28,0,799.41,21.21,48.52,57.51,14.25,1.46,9.31,-21.49,11.11,-155.03,0.65,8.7,60.5,0,-1.01,0.62
KSHINTL.NS,KSH Internationa,52.36,26.95,8.48,4.81,0.86,28.15,10.77,20.13,21.36,20.94,20.12,110.13,67.99,0.4,4.17,3.58,19.98,16.25,-67.24,80.67,43.59,64.04,61.23,-227.77,0,0,74.58,0,0.66,-3.02
KTKBANK.NS,Karnataka Bank,8.83,14.1,0.96,1.33,2.49,15.77,1.05,10.36,6.06,11.56,6.21,1310.5,1272.37,8.63,1.32,14.7,38,34.65,-2.85,0.47,7.29,23.41,3.54,1012.28,1.49,14.43,0,0,1.32,-0.41
KUSUMGAR.NS,Kusumgar,47.83,18.76,0,1.77,1.4,32.82,10.23,18.57,18.84,28.37,30.15,88.13,108.91,0.49,5.61,13.05,8.68,8.68,-83.2,-16.14,29.24,-18.94,34.21,-34.3,0,0,75.01,0,0,0
LALPATHLAB.NS,Dr Lal Pathlabs,56.42,35.71,12.62,5.75,1.89,32.89,18.01,22.3,28,22.3,27.23,509.76,492.25,0.08,31.61,19.08,32.33,30.13,29.64,14.29,11.06,9.57,29.86,462.77,0.74,68.05,53.19,0,0.17,0.22
LASERPOWER.NS,Laser Power,41.93,26.95,0,4.81,0.59,16.56,4.45,16.78,20.51,15.68,19.02,151.59,106.75,1.2,2.19,4.69,13.18,13.18,-69.62,-9.5,20.97,5.41,71.55,-161.94,0,0,75.3,0,0,0
LATENTVIEW.NS,Latent View,29.84,21.41,3.32,3.34,3.79,17.49,10.2,11.9,15.85,11.77,15.41,202.12,173.49,0.02,29.94,18.63,9.45,9.57,7.53,22.77,25.31,5,7.88,142.36,0,0,65.1,0,-1.03,-0.53
LAURUSLABS.NS,Laurus Labs,89.93,32.56,18.59,3.99,21.36,48.25,9.03,18.3,17.76,10.1,11.17,890.14,358.34,0.48,9.91,13.15,20.25,16.46,4.13,22.62,4.09,114.88,4.21,560.36,0.11,12.15,27.47,2.69,2.18,-0.23
LAXMIINDIA.NS,Laxmi India Fin.,12.23,20.01,1.49,1.81,0.27,8.6,3.08,13.76,12.72,14.06,13.14,49.76,36,2.87,1.53,15.7,10.81,9.52,0,28.83,34.77,44.41,46.15,-286.49,0,0,60.17,0,-0.18,0.98
LCL.NS,Lohia Corp,22.99,32.46,0,4.19,0.57,17.26,17.48,44.59,43.77,0,43.77,193.45,117.84,0.34,19.57,11.56,18.3,18.3,0,24.7,-3.65,70.76,40.67,294.02,0,0,68.66,0,0,0
LEAPIND.NS,Leap India,138.91,19.55,0,2.09,1.71,23.62,2.36,8.09,8.34,6.32,7.92,62.34,37.56,2.12,1.78,7.21,22.15,22.15,63.86,56.39,42.26,123.51,81.24,-93.63,0,0,55.64,0,0,0
LEMONTREE.NS,Lemon Tree Hotel,33.42,27.61,6.14,2.13,1.14,14.77,7.54,19.42,13.95,18.23,12.76,288.32,243.14,1.44,3.57,21.81,2.96,2.87,29.44,10.46,18.19,18.97,29.44,405.76,0,0,22.32,0,-2.15,-1.32
LENSKART.NS,Lenskart Solut.,173.08,46.36,13.01,3.31,1.57,52.69,3.83,6.33,8.08,3.62,5.13,500.95,297.34,0.35,5.65,5.35,4.43,2.84,32.39,37.11,32.51,77.25,110.17,846.49,0,0,17.53,0,8.5,8.08
LGEINDIA.NS,LG Electronics,60.77,39,14.46,5.17,7.81,36.3,13.38,24.69,32.27,34.23,45.34,1685.09,2203.35,0.06,61.3,6.84,26.88,24.83,0,5.59,7.39,-10.42,7.78,549.12,0,0,85,0,0.4,-0.19
LICHSGFIN.NS,LIC Housing Fin.,4.86,13.45,0.67,1.88,0.2,11.22,1.75,14.41,8.59,15.48,8.77,5604.24,5442.7,6.7,1.37,19.43,104.33,101.87,24.69,0.23,8.28,4.34,24.69,-8555.85,1.97,9.82,45.24,0,0.08,0.13
LICI.NS,Life Insurance,8.82,63.94,0,8.82,0.52,9.92,0.99,37.82,35.14,45.6,53.72,57453.15,48320.33,0,0,5.88,47.49,45.42,16.94,10.13,7.61,23.28,16.94,-27180.77,2.39,11.01,96.5,0,0.13,-0.28
LINDEINDIA.NS,Linde India,104.06,50.59,13.51,4.28,74.33,58.15,10.11,13.74,18.23,12.99,17.49,550.87,447.81,0.02,42.81,21.74,64.35,64.59,1.4,10.43,-6.89,24.35,1.4,24.74,0.06,18.58,75,0,-0.02,-0.09
LLOYDSENGG.NS,Lloyds Engineeri,63.78,32.46,7.72,4.19,0,49.4,10.86,15.1,16.1,0,16.1,197.57,105.04,0.06,17.31,14,1.74,1.36,0,53.85,0,69.76,0,-493.66,0.27,18.95,41.92,10.64,0.05,0.11
LLOYDSENT.NS,Lloyds Enterpris,104.95,34.93,2.83,3.46,-2.64,32.09,0.28,0.33,3.67,1.75,5.51,416.96,123.39,0.19,7.58,0.92,0.75,1.9,-39.35,32.92,66.53,-59.37,-39.79,-293.94,0.19,7.99,62.72,0,0.15,0
LLOYDSME.NS,Lloyds Metals,22.31,15.46,7.67,2.17,0.37,14.67,15.3,36.58,27.29,37.72,47.56,3828.64,1455.24,1.49,9.9,22.61,86.01,65.4,54.63,230.21,72.17,210.66,60.34,-7040.19,0.05,1.53,61.63,3.72,-0.41,0.47
LODHA.NS,Lodha Developers,30.13,26.83,5.32,2.45,0.53,20.8,6.22,15.48,16.41,13.6,14.18,3430.7,2766.6,0.42,8.62,20.18,41.3,34.32,54.59,26.04,20.76,39.2,56.46,709.1,0.34,12.38,70.31,0,2.41,-1.06
LOTUSDEV.NS,Sri Lotus,31.54,26.83,4.25,2.45,0.25,20.76,13.63,16.68,21.15,28.05,30.68,243.31,227.88,0.07,180.76,31.64,5.26,4.85,0,71.31,65.85,20.65,124.41,-326.31,0,10.31,81.87,0.01,0.2,0.14
LT.NS,Larsen & Toubro,31.96,16.03,5.14,1.86,1.84,15.51,4.65,15.86,14.57,15.52,14.03,18953.88,17673.33,1.15,3.9,6.76,120.6,116.92,18.22,9.78,15.96,13.35,17.38,12272.29,0.93,32.5,0,0,0.35,-0.31
LTF.NS,L&T Finance Ltd,24.66,20.01,2.82,1.81,0.1,15.62,2.29,11.22,8.4,10.8,8.44,2982.87,2643.42,3.94,1.61,16.77,12.71,11.9,254.65,15.24,11.93,20.43,255.77,-14426.81,0.87,23.1,65.96,0,0.07,-0.01
LTFOODS.NS,L T Foods,23.35,15.99,3.31,2.33,1.44,12.5,7.59,14.94,17.74,16.76,19.34,625.38,611.8,0.36,7.2,5.71,18.44,18.01,16.16,28.19,16.43,3.17,16.16,554.37,0.7,16.66,51,0,-0.53,0.54
LTM.NS,LTM,24.23,21.41,5.62,3.34,3.45,15.18,15.85,23.13,29.6,23.14,29.78,4982.7,4602,0.1,28.02,12.69,176.4,169.25,6.95,13.87,8.43,18.88,7.03,3889.6,1.65,44.24,68.49,0,-0.32,-0.17
LTTS.NS,L&T Technology,28.27,24.61,5.86,3.01,4.84,16.46,13.46,21.53,26.71,22.81,28.5,1281.1,1263.5,0.09,30.44,12.31,124.51,120.68,5.71,10.13,11.12,9.97,5.84,1280.2,1.62,48.06,73.52,0,0.27,-0.59
LUMAXTECH.NS,Lumax Auto Tech.,42.05,30.3,11.51,3.42,0.97,19.47,9.54,26.43,21.19,22.01,19.29,337.15,229.16,1.02,5.47,7.04,47.55,40.91,43.42,33.28,38.14,76.83,43.42,214.08,0.27,13.44,55.98,0,0.32,-0.28
LUPIN.NS,Lupin,16.94,32.56,4.48,3.99,0.12,10.17,17.01,28.68,29.93,22.07,22.32,5355.47,3306.26,0.29,18.76,20.42,120.98,116.65,139.79,28.19,18.88,60.96,140.17,5527.35,0.82,15.43,46.85,0,0.72,-0.67
LXCHEM.NS,Laxmi Organic,38.61,27.92,2.44,2.82,-2.83,19.89,2.46,4.11,4.72,5.84,7.69,79.36,113.5,0.27,8.71,2.81,4.53,2.86,-14.88,5.47,0.59,25.01,-13.62,-427.45,0.17,10.48,69.34,0,-0.47,0.01
M&M.NS,M & M,22.23,48.12,4.57,5.1,0.98,11.69,6.36,20.33,15.1,19.04,14.2,18621.71,14073.17,1.47,3.9,9.48,148.53,137.5,22.66,26.18,17.85,38.11,22.66,2545.34,0.96,21.57,18.44,0.02,-1.34,1.21
M&MFIN.NS,M & M Fin. Serv.,15.86,20.01,2,1.81,1.34,12.5,1.96,12.26,8.72,11.14,8.76,2861.11,2260.87,4.82,1.5,14.07,23.4,20.54,11.83,13.56,17.93,46.24,11.83,-13120.42,1.96,36.51,52.49,0,0.13,-0.61
MAHABANK.NS,Bank of Maha,8.19,7.54,1.73,0.98,0.21,17.52,1.76,22.65,6.03,22.75,5.7,7016.86,5541.78,10.74,1.52,23.96,9.8,9.12,33.11,15.83,22.58,31.03,39.16,-11741.5,2.74,13.15,73.6,0,0.27,0.35
MAHSCOOTER.NS,Mah. Scooters,53.86,25.28,0.54,0.81,3.22,52.54,0.95,1.06,1.06,0.83,0.84,310.56,214.35,0,0,99.31,243.7,271.74,16.73,41.01,12.95,43.69,16.73,267.19,1.67,80.97,51,0,-0.15,0.16
MAHSEAMLES.NS,Mah. Seamless,11.07,22.43,1.19,1.93,-3.87,7.49,9.52,10.65,14.29,13.6,17.95,701.02,777.35,0,368,15.05,55.03,52.34,-2.86,-12.21,-6.49,-15.9,-2.86,764.88,1.64,19.11,70.28,0,0.14,0.55
MANAPPURAM.NS,Manappuram Fin.,22.61,20.01,2.04,1.81,-1.77,13.06,1.59,6.97,8.25,11.94,11.01,993.16,1203.87,3.6,1.46,10.34,15.97,10.68,-15.73,4.68,12.38,81.21,-12.76,-20427.05,0.57,18.72,41.66,0,-0.93,1.89
MANIPALHOS.NS,Manipal Health,105.18,46.44,0,6.28,4.8,39.36,4.82,12.7,12.1,16.37,15.53,916.52,1081.67,1.53,2.38,9.01,7.56,7.56,-51.22,25.4,29.08,-10.08,21.89,766.56,0,0,72.08,0,0,0
MANKIND.NS,Mankind Pharma,46.25,32.56,6.04,3.99,2.7,25.09,7.36,13.14,13.53,15.8,18.88,1938.1,2011.12,0.39,5.65,14.29,49.48,46.34,15.94,14.16,17.73,12.65,17.11,2387.04,0.04,2.16,72.63,0,-0.79,0.93
MANORAMA.NS,Manorama Indust.,47.04,18.98,16.83,2.88,0.48,30.21,21.34,40.32,35.45,29.74,23.95,233.22,112.05,0.51,10.31,17.18,44.25,39.06,98.58,58.81,57.01,77.23,98.7,205.73,0.04,2.05,54.32,0,0.33,-0.37
MANYAVAR.NS,Vedant Fashions,34.45,46.36,6.77,3.31,-10.13,18.67,13.41,20.03,23.55,22.75,26.75,375.54,388.47,0.23,10.22,26.16,15.88,15.46,-3.43,1.95,2.68,-2.61,-3.4,469.86,1.46,50.15,74.94,0,-0.33,0.57
MAPMYINDIA.NS,C.E. Info System,40.04,30.84,6.09,2.34,22.49,23.83,10.36,11.99,19.13,15.47,23.04,134.02,147.59,0.01,171.61,21.66,25.17,24.5,1.09,1.83,18.98,-12.47,1.78,58.75,0.35,14.28,51.41,0,-1.63,-1.57
MARICO.NS,Marico,59.13,17.67,26.47,1.91,5.37,41.56,19.79,42.82,47.05,40.87,45.1,1813,1658,0.13,38.67,13.25,14.54,13.57,10.86,25.14,11.71,13.12,11.01,1772,0.47,29.51,58.92,2.03,-0.68,0.7
MARKSANS.NS,Marksans Pharma,28.1,32.56,4.81,3.99,1.75,17,11.8,15.17,18.8,16.05,19.81,420.06,382.62,0.11,28.54,14.18,11.4,9.22,16.04,19.59,16.8,47.58,16.04,328.58,0.28,9.76,43.87,0,0.71,-0.38
MARUTI.NS,Maruti Suzuki,30.29,48.12,4.05,5.1,1.04,16.75,10.36,14.26,18.87,15.92,21.42,14679.5,14500.2,0,73.89,7.91,455.91,466.9,27.35,26.61,15.96,-1.37,29.06,8754.3,1.01,29.98,58.65,0,-1.3,1
MASTEK.NS,Mastek,11.98,21.41,1.75,3.34,0.76,7.43,10.41,15.57,18.02,15.86,17.77,404,375.93,0.15,20.07,11.48,134.82,130.33,15.08,5.97,13,11.97,15.67,515.24,1.42,18.42,35.77,0,-0.58,0.84
MAXHEALTH.NS,Max Healthcare,64.9,46.44,9.04,6.28,6.24,40.22,9.16,14.74,14.71,13.67,15.2,1442.41,1075.88,0.32,8,17.72,14.98,14.82,10.32,15.96,22.43,24.82,10.4,164.84,0.2,13.49,23.71,0,-3.61,3.63
MAZDOCK.NS,Mazagon Dock,36.51,51.46,10.63,9.19,1.14,24.78,9.15,29.17,35.98,32.32,41.22,2578.36,2413.51,0.05,52.87,19.8,70.85,64.04,32.15,13.87,18.44,31.72,32.14,-2827.57,0.71,28.29,81.22,0,-0.01,-0.07
MBEL.NS,M & B Engineer.,16.3,16.03,2.42,1.86,0.39,8.75,9.3,19.41,22.96,22.54,23.61,92.64,77.05,0.13,9.91,7.42,16.9,16.21,-0.25,20.92,12.68,10.64,41.55,-61.54,0.36,6.17,70.61,0,-2.02,-0.08
MCX.NS,Multi Comm. Exc.,51.7,47.34,27.99,20.09,0.48,37.85,22.52,56.27,71.37,36.39,40.46,1331.55,560.04,0,4255.46,57.84,60.46,52.22,107.53,110.21,64.89,136.36,107.53,2962.38,0.26,15.32,0,0,3.78,-3.55
MEDANTA.NS,Global Health,66.04,46.44,9.55,6.28,3.39,35.09,10.4,15.17,17.14,16.37,18.82,554.07,481.32,0.3,9.05,12.58,20.69,20.7,19.41,21.27,17.63,0.4,19.5,-263.35,0.04,0,33,0,-0.69,2.13
MEDPLUS.NS,Medplus Health,37.43,42.44,3.99,3.81,0.57,12.89,5.93,11.64,12.56,8.35,9.84,219.61,150.23,0.72,3.09,3.14,17.55,18.3,65.48,16.79,14.78,18.02,65.83,372.97,0,0,40.19,60.74,-1.15,2.13
MEESHO.NS,Meesho,0,51.16,21.8,5.58,0,-96.46,-16.31,-42.32,-35.59,-92.41,-19.79,-1357.74,-3941.71,0.01,-108.15,-9.77,-3.85,-2.97,25.73,34.47,30.09,74.56,8.1,-3975.86,0,0,16.41,0,1.02,3.58
MEIL.NS,Mangal Electrica,15.44,27.7,1.23,3.97,0.78,8.67,7.93,11.31,14.62,17.88,21.91,43.17,47.31,0.08,7.61,7.34,17,15.62,-3.31,17.36,17.83,3.03,19.87,-137.6,0,0,74.79,0,-0.91,-0.13
METROPOLIS.NS,Metropolis Healt,53.82,35.71,7.41,5.75,5.03,25.53,9.78,13.63,17.81,12.44,16.09,191.18,145.52,0.15,12.15,11.85,9.73,9.17,10.26,21.8,12.75,36.87,10.71,299.79,0.37,54.56,48.86,1.18,0.6,-0.68
MFSL.NS,Max Financial,498.72,63.94,10.29,8.82,-12.34,188.2,0.05,1.52,2.87,5.57,6.94,105.58,403.4,0.35,2.22,0.21,3.18,2.43,-40.4,4.91,14.92,-60.13,-40.4,11234.66,0,0,1.25,26.92,0.18,-0.4
MGL.NS,Mahanagar Gas,15.58,15.58,1.75,1.75,-11.46,8.03,8.79,12.32,17.14,17.78,24.79,846.82,1041.26,0.03,45.35,9.2,72.99,85.73,-1.36,12.43,9.37,-32.87,-1.36,87.04,2.64,34.99,32.5,0,-0.92,1.52
MIDHANI.NS,Mishra Dhatu Nig,58.7,70.68,5.15,9.24,-10.33,28.83,4.26,8.88,11.3,8.02,10.45,130.79,110.07,0.27,8.57,10.82,7.17,6.98,-5.68,18.17,11.5,14.04,-5.68,105.33,0.2,17.9,74,0,1.25,-0.44
MIDWESTLTD.NS,Midwest,37.46,36.69,4.34,1.11,1.5,20.6,8.79,13.26,15.4,16.82,20.43,106.48,133.3,0.2,11.96,16.49,31.24,29,-84.11,10.21,8.71,11.71,24.99,47.98,0,0,77.12,1.39,-0.49,0.68
MINDACORP.NS,Minda Corp,44.09,30.3,6.73,3.42,5.72,24.17,6.83,14.71,12.67,13.27,13.51,358.3,255.4,0.56,4.54,5.72,20.95,15.07,7.71,26.59,12.88,57.13,7.71,311.2,0.19,9.29,64.84,0,0.5,-0.95
MINDSPACE.NS,Mindspace Busine,42.33,69.97,2.15,1.93,1.6,16.57,2.46,4.65,7.64,3.94,6.9,694.26,513.75,0.86,2.49,22.41,11.89,10.05,22.75,25.85,11.86,53.92,26.45,1139.71,2.37,237.83,0,47.58,0,0
MMTC.NS,MMTC,49.42,22.62,4.69,2.24,-1.57,32.39,3.19,5.23,8.66,6.85,8.53,387.38,86.63,0,405.03,2933.43,2.98,2.58,-31.45,-19.23,-90.11,184.35,-31.45,-605.27,0,0,89.93,0,0.03,0.01
MOIL.NS,MOIL,16.96,15.46,1.9,2.17,4.93,7.89,8.34,10,12.64,12.28,15.83,267.48,381.64,0,0,18.16,14.92,13.14,3.44,4.92,3.23,8.12,3.44,-139.75,2.11,40.55,64.68,0,-0.43,-0.81
MOTHERSON.NS,Samvardh. Mothe.,39.15,30.3,4.37,3.42,0.97,14.08,4.48,11.24,13.43,11.65,13.61,4085.6,4145.7,0.47,4.96,3.58,4.15,3.66,38.62,14.02,17.02,35.3,40.37,5373.4,0.35,16.41,48.6,2.34,0.42,-0.49
MOTILALOFS.NS,Motil.Oswal.Fin.,29.74,19.23,4.55,2.09,1.15,16.02,4.82,15.53,12.66,23.16,17.35,1872.46,2508.18,1.65,2.78,19.87,32.92,31.06,25.22,14.85,30.95,-28.82,25.93,-6159.71,0.62,19.32,67.2,0,-0.17,0.76
MPHASIS.NS,Mphasis,24,21.41,4.32,3.34,4.7,13.93,11.67,18.53,22.09,18.48,22.74,1862.6,1702.14,0.24,13.42,11.89,100.21,97.61,4.66,13.69,4.79,11.32,5.11,937.01,2.55,63.52,30.54,100,-0.01,-0.34
MRF.NS,MRF,23.07,23.07,2.71,2.25,0.44,10.74,8.03,12.51,15.73,12.11,15.43,2426.1,1873.29,0.15,10.16,7.95,5700.97,5720.43,52.36,11.37,10.62,37.04,52.36,3164.28,0.18,4.11,27.76,0.09,-0.55,-0.14
MRPL.NS,M R P L,10.96,9.78,2.15,1.92,-1.14,5.92,4.99,14.48,18.03,14.95,16.05,1924.58,56.21,1.08,6.8,2.22,17.92,10.98,-9.62,23.4,-6.66,1067.35,-9.62,1119.62,2.3,36.43,88.58,0,-1.24,0.05
MSTCLTD.NS,MSTC,20.71,22.62,5.39,2.24,-6.24,11.31,10.58,26.6,30.27,26,30.6,218.43,407.07,0.16,0,59.09,33.28,31.03,-3.32,21.02,-19.96,8.3,-3.32,-49.97,1.1,26.11,64.75,0,0.98,0.09
MSUMI.NS,Motherson Wiring,41.4,30.3,12.02,3.42,4.76,24.14,14.74,32.36,38.86,36.48,43.12,625.2,605.9,0.11,30.5,5.44,0.95,0.94,8.69,28.68,17.54,4.55,8.69,560.8,1.48,61.53,61.72,0,-0.83,0.44
MTARTECH.NS,MTAR Technologie,159.42,27.7,26.5,3.97,-119.86,86.04,6.83,12.61,15.2,9.63,12.36,95.32,53.85,0.46,5.66,11.2,43.76,30.99,-1.33,53.38,15.18,126.78,-1.33,64.54,0,0,29.35,3.52,7.49,-5.31
MUTHOOTFIN.NS,Muthoot Finance,10.48,20.01,2.94,1.81,0.24,9.67,6.46,30.92,15.8,23.86,14.11,10606.87,5352.36,4.02,2.28,33.99,283.29,263.79,43.11,50.65,37.91,84.79,43.11,-47543.34,1.01,11.37,73.35,0,-0.7,0.32
MVELECTRO.NS,MV Electrosystems,0,32.46,0,4.19,0,-172.84,-11.49,-31.39,-15.09,-15.21,2.12,-12.63,1.4,0.88,-3.06,-25.57,-6.17,-6.17,0,-21.1,-10.14,-1248.18,0,-75.71,0,0,57.68,0,0,0
NAM-INDIA.NS,Nippon Life Ind.,48.44,37.44,16.88,7.09,1.71,36.55,31.01,34.48,43.8,31.94,40.12,1529.38,1286.39,0.02,313.05,52.31,25.66,23.97,27.34,23.01,24.59,21.24,28.35,1389.15,1.74,89.71,71.8,0,-0.31,0.72
NATCOPHARM.NS,Natco Pharma,13.73,32.56,1.7,3.99,0.52,11.04,14.4,16.86,17.14,22.89,26.67,1418.5,1883.4,0.08,24.75,34.78,63.89,79.2,27.3,-20.73,14.64,-32.59,26.49,1378.6,0.57,6.31,49.41,0,-0.38,0.17
NATIONALUM.NS,Natl. Aluminium,10.56,21.75,3.28,2.79,0.18,6.37,23.46,29.42,39.59,25.72,33.39,5797.01,5267.94,0,90.07,32.49,36.76,31.56,59.34,9.02,7.77,17.83,59.34,4413.49,2.98,36.43,51.28,0,-0.28,0.47
NAUKRI.NS,Info Edg.(India),60.31,19.81,2.33,2.33,0.97,38.69,1.77,1.81,3.45,1.48,3.37,1762.84,1309.9,0.01,80.08,24.34,24.67,22.36,62.28,13.86,11.88,42.55,62.4,1002.77,0.62,37.53,37.48,0,-4.25,4.4
NAVA.NS,Nava,20.81,22.91,1.8,1.84,-1.49,8.53,7.86,9.33,12.8,13.74,15.41,1038.52,1434,0.25,111.19,23.49,26.7,27.8,-13.25,8.98,6.74,-27.55,-13.97,529.41,1.53,30.59,50.03,0,-0.39,0.04
NAVINFLUOR.NS,Navin Fluo.Intl.,53.24,27.92,10.65,2.82,2.55,33,11.56,19.64,20.96,14.12,14.21,663.55,288.58,0.32,9.72,19.56,154.05,129.46,19.56,42.43,16.84,124.32,20.89,404.44,0.18,6.64,27.08,0,-0.05,0.85
NAZARA.NS,Nazara Technolo.,0,22.12,3.81,3.36,0,-1002.58,21.66,30.49,27.23,15.23,11.76,81.94,50.96,0.06,-10.88,52.05,-1.42,2.59,162.47,-6.07,18.79,-267.34,193.63,35.99,0,0,33.98,89.61,2.21,0.31
NBCC.NS,NBCC,34.77,16.03,7.9,1.86,1.77,18.08,4.56,24.08,30.95,24.78,32.04,742.45,557.42,0,31417.67,5.29,2.75,2.67,19.67,3.79,13.24,7.53,19.67,402.41,1.13,38.25,61.75,0,-0.22,0.53
NCC.NS,NCC,12.21,16.03,1.12,1.86,2.05,5.34,3.19,9.19,16.8,10.52,20.21,723.96,868.25,0.44,2.32,3.59,11.14,10.76,5.97,-1.81,10.21,-9.95,5.97,-1400.92,1.57,20.45,23.09,3.8,-0.82,1.48
NEOGEN.NS,Neogen Chemicals,173.94,27.92,7.3,2.82,-10.34,46.4,1.24,3.58,6.46,4.9,8.22,28.75,34.83,1.71,1.6,3.34,13.24,10.9,-18.37,18,7.9,-12.07,-16.83,-647.2,0.04,18.35,53,23,-0.35,-3.05
NEPHROPLUS.NS,Nephrocare Health Services,80.22,35.71,6.06,5.75,0.78,25.38,6.09,8.83,15.34,10.17,12.66,76.84,67.1,0.07,2.95,7.5,4.19,7.66,28.61,32.16,31.7,11.62,102.9,113.44,0,0,63.85,0,-1.16,0.41
NESCO.NS,NESCO,17.48,19.55,2.43,2.09,1.61,12.6,12.45,14.84,18.54,15.81,20.71,412.74,375.21,0.09,19.06,44.78,59.12,58.58,10.87,21.24,19.51,3.73,10.87,65.51,0.68,11.95,68.54,0,-0.31,0.28
NESTLEIND.NS,Nestle India,74.63,48.4,52.95,4.82,5.71,48.14,26.86,73.17,84.14,92.3,116.29,3544.6,3314.5,0.08,33.02,14.89,20.02,18.38,13.06,19.3,11.07,24.81,13.07,4221.31,0.82,65.28,62.76,0,0.56,-0.51
