Symbol,Index Membership
ASIANPAINT.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Housing, Nifty India Consumption, Nifty Low Volatility 50, Nifty Non-Cyclical Consumer, Nifty100 Low Volatility 30, Nifty200 Momentum 30, Nifty200 Quality 30"
ASKAUTOLTD.NS,Nifty Microcap 250
ASTERDM.NS,"Nifty 500, Nifty Smallcap 250"
ASTRAL.NS,"Nifty 200, Nifty 500, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Quality 50"
ASTRAMICRO.NS,"Nifty India Defence, Nifty Microcap 250"
ATGL.NS,"Nifty 200, Nifty 500, Nifty Energy, Nifty Housing, Nifty Midcap 150, Nifty Oil & Gas"
ATHERENERG.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty Smallcap 250"
ATLANTAELE.NS,Nifty Microcap 250
ATUL.NS,"Nifty 500, Nifty Chemicals, Nifty Smallcap 250"
AUBANK.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Bank, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty200 Momentum 30"
AURIONPRO.NS,Nifty Microcap 250
AUROPHARMA.NS,"Nifty 200, Nifty 500, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Midcap 150, Nifty Pharma"
AVALON.NS,Nifty Microcap 250
AVANTIFEED.NS,Nifty Microcap 250
AVL.NS,Nifty Microcap 250
AWFIS.NS,Nifty Microcap 250
AWL.NS,"Nifty 500, Nifty Midcap 150"
AXISBANK.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Bank, Nifty Financial Services, Nifty Housing, Nifty Low Volatility 50, Nifty Private Bank"
AXISCADES.NS,"Nifty India Defence, Nifty Microcap 250"
AZAD.NS,Nifty Microcap 250
BAJAJ-AUTO.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Auto, Nifty Dividend Opportunities 50, Nifty Ev & New Age Automotive, Nifty India Consumption, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Transportation & Logistics, Nifty100 Low Volatility 30, Nifty200 Quality 30"
BAJAJELEC.NS,Nifty Microcap 250
BAJAJFINSV.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Financial Services, Nifty Low Volatility 50, Nifty100 Low Volatility 30"
BAJAJHFL.NS,"Nifty 500, Nifty Midcap 150"
BAJAJHLDNG.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Next 50"
BAJFINANCE.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Financial Services, Nifty200 Momentum 30"
BALAMINES.NS,Nifty Microcap 250
