Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1852866.09,Large,1369.2,1416.07,1428.71,43.62,Bearish,Bearish,-11.41,-0.23,5.57,80.12,0.9988,0.205,20.42,2.46,1611.8,1114.85,-15.05,22.81,-15.6,5.57,7.58,Strong Bear,Correcting,63,7,1.13,-0.01,1.15,Stable,Death Cross,14,8.38,1.5,9.26,118.4,104,1.14
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1142567.63,Large,742.25,864.56,924.68,30.02,Bearish,Bearish,-25.15,-21.86,-16.41,103.88,1.0655,0.364,18.15,3.36,1020.5,726.65,-27.27,2.15,-27.78,-16.41,-1.77,Strong Bear,Damaged,175,6,-9.01,-1.2,1.48,Rising,Death Cross,34,-6.35,-12.24,-12.37,93.9,110.4,0.85
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1085439.42,Large,1781.9,1909.62,1928.05,36.55,Bullish,Bearish,-14.4,-7.94,4.54,65.55,0.7708,-0.061,19.31,2.5,2174.5,1669.4,-18.05,6.74,-17.61,4.54,33.28,Strong Bear,Correcting,93,4,-2.86,-0.41,1.25,Rising,Death Cross,6,3.39,-1.48,1.55,93.5,81.6,1.15
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,939492.22,Large,1017.8,1079.82,969.43,38.76,Bearish,Bearish,5.47,18.19,32.97,4.61,0.9808,0.301,21.3,3.38,1234.7,730,-17.57,39.42,-20.23,32.97,24.2,Strong Bull,Correcting,26,10,-17.67,0.85,1.1,Stable,Golden Cross,231,-4.8,18.38,27.68,118,74.4,1.59
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,871307.78,Large,2408.2,2661.61,3007.04,36.5,Bullish,Bearish,-24.59,-16.78,-31.35,-17.53,0.7863,0.199,21.44,2.75,3630.5,2346.2,-33.67,2.64,-33.36,-31.35,-8.08,Strong Bear,Damaged,265,7,-0.85,-0.78,0.75,Falling,Death Cross,285,2,-11.68,-7.29,67.9,109.5,0.62
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,868273.36,Large,1212.7,1322.49,1355.56,32.94,Bearish,Bearish,-9.72,-11.85,-10.02,31.89,0.8902,0.177,17.79,2.42,1500,1200.4,-19.15,1.02,-18.37,-10.02,12.72,Strong Bear,Correcting,180,6,-10.44,-0.67,1.18,Rising,Death Cross,13,-2.63,3.19,-2.37,76.8,84.9,0.9
INFY.NS,Infosys Limited,Technology,Information Technology Services,516225.66,Large,1275.7,1370.35,1492.65,43.38,Bullish,Bearish,-22.44,-12.77,-17.54,-24.35,0.9548,0.184,25.85,3.06,1728,1215.1,-26.17,4.99,-27.75,-17.54,-2.64,Strong Bear,Damaged,53,7,6.44,-0.49,0.86,Stable,Death Cross,30,10.01,-9.52,-3.28,100.9,116.7,0.86
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,508061.92,Large,817.3,923.91,941.01,36.57,Bearish,Bearish,-18.11,-19.3,-9.53,34.57,1.2853,0.134,28.49,4.08,1102.5,787.9,-25.87,3.73,-26.74,-9.53,10.6,Strong Bear,Damaged,114,6,-13.28,-0.68,1.32,Rising,Death Cross,6,-8.27,-5.19,-9.81,126.6,128.8,0.98
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,496259.3,Large,3607.5,3840.27,3814.5,44.64,Bullish,Bearish,-10.68,-1.01,4.58,121.04,1.3374,0.269,24.77,3.69,4440,2965.3,-18.75,21.66,-24.35,4.58,20.13,Bear,Correcting,26,8,-12.28,-0.04,1.48,Rising,Golden Cross,218,-4.79,2.24,8.48,135.4,120.2,1.13
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,485190.59,Large,2064.7,2240.03,2354.9,34.36,Bearish,Bearish,-9.97,-18.02,-6.8,29.83,0.5057,0.28,19.13,2.56,2750,2033.3,-24.92,1.54,-23.18,-6.8,-4.25,Strong Bear,Damaged,155,6,-10.05,-0.94,1,Stable,Death Cross,78,-2.32,2.95,-8.53,47.8,52.4,0.91
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,471844.83,Large,746,815.26,855.03,38.59,Bearish,Bearish,-11.43,-16.01,-5.58,-19.68,1.0202,0.449,24.03,3.14,980,722.65,-23.88,3.23,-24.42,-5.58,7.82,Strong Bear,Damaged,196,5,-10.53,-0.67,1.18,Rising,Death Cross,74,-3.29,1.49,-6.52,92.5,92.2,1
