Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
UBL.NS,United Breweries Limited,Consumer Defensive,Beverages - Brewers,41887.06,Large,1584.2,1599.78,1718.07,47.83,Bearish,Bearish,-2.22,-11.17,-18.85,81.29,0.5099,0.076,21.44,3.29,2294.9,1401.1,-30.97,13.07,-36.09,-18.85,3.21,Strong Bear,Damaged,245,3,0.11,-0.52,1.25,Rising,Death Cross,173,10.42,10.7,-1.68,40.7,62.4,0.65
VOLTAS.NS,Voltas Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",41350.66,Large,1249.7,1408.42,1399.48,34.51,Bearish,Bearish,-9.45,-8.94,-13.28,40.55,1.1344,-0.075,29.79,4.84,1582.5,1190,-21.03,5.02,-19.96,-13.28,11.56,Strong Bear,Damaged,23,6,-15.94,-0.3,1.22,Rising,Golden Cross,39,-8.04,3.46,0.55,110.5,118.2,0.93
BALKRISIND.NS,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts,41130.17,Large,2127.6,2304.7,2407.61,41.43,Bullish,Bearish,-7.63,-10.52,-17.97,-54.36,1.0583,0.321,29.79,4.27,2817.5,2015.4,-24.49,5.57,-26.09,-17.97,1.74,Strong Bear,Damaged,181,6,-11.05,-0.35,1.14,Stable,Death Cross,19,-2.55,5.29,-1.03,79.9,96,0.83
MOTILALOFS.NS,Motilal Oswal Financial Services Limited,Financial Services,Capital Markets,40975.36,Large,680,734.51,812.96,46.55,Bullish,Bearish,-19.96,-25.49,5.61,7.6,1.7864,-0.17,42.56,4.67,1097.1,513,-38.02,32.55,-41.97,5.61,4.67,Strong Bear,Damaged,110,6,-0.34,-0.6,1.19,Rising,Death Cross,48,4.06,-7.04,-16.01,165.1,140.1,1.18
IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited,Consumer Cyclical,Travel Services,40896,Large,511.2,574.86,660.7,36.53,Bullish,Bearish,-26.48,-27.58,-28.68,66.01,1.1189,-0.04,22.2,3.39,820.25,492.65,-37.68,3.77,-38.01,-28.68,-4.94,Strong Bear,Damaged,228,5,-5.25,-1.24,1.1,Stable,Death Cross,376,-3.03,-13.57,-18.09,99.8,135,0.74
MPHASIS.NS,Mphasis Limited,Technology,Information Technology Services,40737.71,Large,2136.6,2350.23,2605.36,42.49,Bullish,Bearish,-24.03,-21.37,-12.23,-13.05,1.193,0.326,29.57,3.78,3037.2,2013,-29.65,6.14,-31.77,-12.23,2.25,Strong Bear,Damaged,139,6,2.49,-0.72,1.07,Stable,Death Cross,31,5.53,-11.11,-11.88,133.6,138.9,0.96
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,Financial Services,Credit Services,40253.19,Large,289.7,342.9,323.97,32.36,Bearish,Bearish,-25.03,3.61,1.3,-26.06,1.3837,0.206,33.67,4.91,412.2,236.24,-29.72,22.63,-29.25,1.3,6.4,Bear,Damaged,65,6,-16.73,0.11,1.11,Stable,Golden Cross,138,-14.03,-12.11,13.1,150.9,135.9,1.11
KALYANKJIL.NS,Kalyan Jewellers India Limited,Consumer Cyclical,Luxury Goods,39994.96,Large,387.1,405.96,467.32,48.22,Bullish,Bearish,-20.4,-16.31,-20.74,-63.05,1.3239,-0.137,39.21,3.89,617.7,347.5,-37.33,11.4,-40.83,-20.74,49.26,Strong Bear,Damaged,179,5,1.89,-0.42,0.78,Falling,Death Cross,153,6.14,-7.49,-6.82,139.9,153.8,0.91
JKCEMENT.NS,J.K. Cement Limited,Basic Materials,Building Materials,39715.88,Large,5140,5409.42,5656.4,45.05,Bullish,Bearish,-10.27,-21.9,8.68,3.98,0.775,0.335,30.47,3.55,7565.5,4660.7,-32.06,10.28,-35.29,8.68,21.86,Strong Bear,Damaged,160,6,-6.88,-0.72,1.09,Stable,Death Cross,65,0.74,2.64,-12.41,89,69,1.29
TATACOMM.NS,Tata Communications Limited,Communication Services,Telecom Services,39620.7,Large,1390.2,1543.58,1661.97,40.31,Bearish,Bearish,-22.77,-16.19,-12.47,25.91,0.8765,0.437,29.6,4.12,2004,1342.1,-30.63,3.58,-31.62,-12.47,6.01,Strong Bear,Damaged,119,8,-8.68,-0.55,1.16,Rising,Death Cross,40,-5.22,-9.85,-6.7,83.6,91.4,0.91
KEI.NS,KEI Industries Limited,Industrials,Electrical Equipment & Parts,39528.93,Large,4134.8,4380.6,4162.25,41.76,Bearish,Bearish,-5.77,-0.44,43.61,83.2,1.2597,0.201,31.3,4.38,5303,2424,-22.03,70.58,-23.35,43.61,34.15,Strong Bear,Damaged,21,8,-15.53,-0.01,1.17,Rising,Golden Cross,183,-6.41,7.14,9.05,150.5,92.5,1.63
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Drug Manufacturers - General,39458.05,Large,2329.2,2453.52,2581.14,40.54,Bearish,Bearish,-5.98,-14.94,-18.15,-29.22,0.8531,-0.025,31.83,3.14,3515.7,2217.6,-33.75,5.03,-34.81,-18.15,23.74,Strong Bear,Damaged,214,4,-9.31,-0.47,0.95,Stable,Death Cross,108,-0.25,6.93,-5.45,86.7,102,0.85
NLCINDIA.NS,NLC India Limited,Utilities,Utilities - Regulated Electric,39269.55,Large,283.2,258.63,249.16,64.35,Bullish,Bullish,12.03,2.75,12.49,65.76,0.9084,0.455,31.96,4.08,292.2,212.85,-3.08,33.05,-17.2,12.49,53.98,Strong Bull,Recovering,0,8,3.92,0.09,1.22,Rising,Golden Cross,145,18.98,24.94,12.24,107.6,82,1.31
APARINDS.NS,APAR Industries Limited,Industrials,Electrical Equipment & Parts,39263.93,Large,9774.5,9529.68,8773.21,49.96,Bearish,Bearish,14.15,11.91,59.99,-8.16,1.4279,-0.348,47.17,5.49,11648,4308.05,-16.08,126.89,-28.05,59.99,62.76,Bull,Correcting,23,7,-14.27,0.25,0.97,Stable,Golden Cross,39,1.5,27.07,21.4,196.2,115.4,1.7
COFORGE.NS,Coforge Limited,Technology,Information Technology Services,38749.22,Large,1153.9,1311.29,1556.25,43.62,Bullish,Bearish,-31.29,-27.15,-25.05,-17.11,1.3203,0.061,35.59,4.56,1994,1008.1,-42.13,14.46,-45.58,-25.05,11.41,Strong Bear,Damaged,83,5,6.56,-0.76,1.02,Stable,Death Cross,35,7.18,-18.37,-17.66,144.5,166.7,0.87
360ONE.NS,360 One Wam Limited,Financial Services,Asset Management,38707.02,Large,953.05,1071.34,1086.31,30.87,Bearish,Bearish,-19.19,-6.68,2.23,10.44,1.324,0.236,35.01,3.59,1273.8,790.5,-25.18,20.56,-23.83,2.23,30.91,Strong Bear,Damaged,191,7,-9.13,-0.19,1.03,Stable,Death Cross,5,-4.48,-6.28,2.81,152.9,140.9,1.09
PETRONET.NS,Petronet LNG Limited,Energy,Oil & Gas Refining & Marketing,38682,Large,257.88,280.7,283.41,41.6,Bearish,Bearish,-7.39,-2.1,-12.17,215.76,1.147,0.282,28.45,4.71,326.5,235.35,-21.02,9.57,-26.39,-12.17,8.79,Strong Bear,Damaged,23,6,-16.19,-0.07,1.5,Rising,Death Cross,3,-7.6,5.53,7.39,104.8,111.6,0.94
IPCALAB.NS,Ipca Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,38402.55,Large,1508.2,1505.45,1441.35,46.23,Bearish,Bullish,4.75,11.85,7.34,19.11,0.3405,0.211,33.68,3.98,1624,1168.2,-7.13,29.1,-17.55,7.34,23.73,Strong Bull,Recovering,1,6,-2.54,0.35,1.09,Stable,Golden Cross,79,10.09,17.66,21.34,34.5,21.2,1.63
THERMAX.NS,Thermax Limited,Industrials,Conglomerates,37685.41,Large,3345.4,3110.32,3210.48,62,Bullish,Bullish,11.05,0.85,-3.92,23.3,0.6957,0.036,31.77,3.64,4091.8,2742.7,-18.24,21.97,-29.68,-3.92,15.09,Strong Bull,Correcting,180,8,1.44,0.03,1.08,Stable,Death Cross,316,16.17,23.97,10.34,60.2,55.3,1.09
ANTHEM.NS,ANTHEM BIOSCIENCES LTD,Healthcare,Biotechnology,37393.29,Large,665.7,658.07,691.55,52.93,Bullish,Bearish,3.75,-17.3,,37.92,0.8763,,32.76,3.59,873.5,579.15,-23.79,14.94,-31.47,,,Strong Bear,Damaged,140,4,-6.62,-0.53,1.14,Stable,Death Cross,100,5.68,16.66,-7.82,121.3,110.6,1.1
AIIL.NS,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,36729,Large,432.5,496.27,514.15,40.73,Bearish,Bullish,-25,-29.32,39.95,321.77,1.5975,-1.19,51.17,7.25,683,282.33,-36.68,53.19,-39.32,39.95,,Strong Bear,Damaged,55,6,-3.39,-0.57,1.53,Rising,Death Cross,19,-0.68,-12.09,-19.83,160.5,97.6,1.64
PAGEIND.NS,Page Industries Limited,Consumer Cyclical,Apparel Manufacturing,36406,Large,32620,32841.75,37622.27,54.43,Bullish,Bullish,-10.23,-22.55,-21.44,6.96,0.9507,-0.174,23.52,2.8,50590,29805,-35.52,9.44,-38.29,-21.44,-3.02,Strong Bear,Damaged,198,4,4.54,-0.96,1.26,Rising,Death Cross,130,12.18,2.68,-13.06,82,108.5,0.76
RADICO.NS,Radico Khaitan Limited,Consumer Defensive,Beverages - Wineries & Distilleries,35962.42,Large,2684,2780.54,2819.65,47.81,Bearish,Bullish,-18.8,-9.61,16.47,55.43,0.5604,0.244,31.97,4.03,3591.9,2200,-25.28,22,-24.73,16.47,31.23,Strong Bear,Damaged,65,9,5.64,-0.3,1.14,Stable,Death Cross,10,10.43,-5.88,-0.12,25.4,-1.6,-15.87
ASTERDM.NS,Aster DM Healthcare Limited,Healthcare,Medical Care Facilities,35568.54,Large,687.9,636,606.74,63.09,Bullish,Bullish,12.59,7.06,58.04,9.48,0.3669,-0.073,31.18,4.03,732.2,450,-6.05,52.87,-25.59,58.04,57.06,Strong Bull,Correcting,115,8,1.73,0.23,1.08,Stable,Golden Cross,1045,16.97,25.5,16.55,50.4,-15.4,-3.27
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,Basic Materials,Specialty Chemicals,35534.28,Large,3234.8,3287.23,3476.67,50.4,Bullish,Bearish,-11.48,-14.48,-18.72,20.21,0.6683,-0.554,29.8,4.56,4050,2916.6,-20.13,10.91,-26.04,-18.72,0.1,Strong Bear,Damaged,224,6,-2.37,-0.49,1.26,Rising,Death Cross,206,4.85,1.43,-4.99,50.2,68.6,0.73
LTTS.NS,L&T Technology Services Limited,Technology,Information Technology Services,35233.78,Large,3324,3509.07,4031.96,49.89,Bullish,Bearish,-26.5,-18.99,-26.45,149.4,1.0068,-0.19,33.09,4.46,4726,3010,-29.67,10.43,-34.51,-26.45,-2.5,Strong Bear,Damaged,70,6,9.03,-0.57,1.19,Rising,Death Cross,56,11.25,-13.59,-9.5,86.8,115,0.75
COCHINSHIP.NS,Cochin Shipyard Limited,Industrials,Aerospace & Defense,35225.77,Large,1338.6,1443.65,1591.67,45.93,Bearish,Bearish,-18.06,-30.21,-9.32,65.21,1.4428,0.171,44.72,5.09,2545,1187,-47.4,12.77,-49.83,-9.32,79.67,Strong Bear,Damaged,213,5,-4.79,-0.68,1.39,Rising,Death Cross,79,0.24,-5.15,-20.72,144,138,1.04
AJANTPHARM.NS,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,35209.03,Large,2816.8,2878.08,2714.79,42.45,Bearish,Bearish,5.04,12.53,4.95,16.79,0.6983,0.185,27.35,3.69,3228,2327.3,-12.74,21.03,-15.4,4.95,35.93,Strong Bull,Correcting,14,8,-7.12,0.46,1.19,Rising,Golden Cross,70,5.61,17.95,22.02,70.8,59.6,1.19
AIAENG.NS,AIA Engineering Limited,Industrials,Specialty Industrial Machinery,34351.23,Large,3681,3726.05,3615.64,50.95,Bullish,Bearish,-5.23,19.89,11.16,89.68,0.8466,0.118,27.72,4.33,4206.1,3001.1,-12.48,22.66,-19.29,11.16,11.57,Bull,Correcting,35,6,-4.38,0.72,1.27,Rising,Golden Cross,95,4.92,7.68,29.38,102.3,81.5,1.26
DALBHARAT.NS,Dalmia Bharat Limited,Basic Materials,Building Materials,33903.82,Large,1806,1964.15,2052.42,41.14,Bullish,Bearish,-16.37,-20.02,3.96,37.2,0.9368,0.058,25.08,3.93,2496.3,1700,-27.65,6.24,-29.35,3.96,0.04,Strong Bear,Damaged,140,6,-6.92,-0.8,1.35,Rising,Death Cross,20,-1.33,-3.45,-10.53,69.4,57.7,1.2
CONCOR.NS,Container Corporation of India Limited,Industrials,Railroads,33857.72,Large,444.55,476.77,528.99,42.8,Bearish,Bearish,-13.93,-15.09,-21.04,77.03,1.1908,0.103,26.05,3.43,652.04,421.45,-31.82,5.48,-33.6,-21.04,-8.37,Strong Bear,Damaged,213,4,-6.42,-0.58,1.41,Rising,Death Cross,379,-0.01,-1.01,-5.6,93.3,114.9,0.81
HUDCO.NS,Housing and Urban Development Corporation Limited,Financial Services,Credit Services,33637.92,Large,168.03,184.93,204.89,43.09,Bullish,Bearish,-24.93,-25.18,-17.41,-29.59,1.5917,0.681,34.77,4.29,253.73,159,-33.78,5.68,-33.77,-17.41,58.98,Strong Bear,Damaged,216,5,-2.69,-0.72,1.25,Rising,Death Cross,50,0.05,-12.01,-15.69,144.5,155,0.93
NH.NS,Narayana Hrudayalaya Limited,Healthcare,Medical Care Facilities,33210.89,Large,1635.2,1749.59,1770.19,40.57,Bearish,Bearish,-12.02,-4.95,-1.97,13.98,0.7823,-0.038,32,3.2,2370.2,1451.05,-31.01,12.69,-28.9,-1.97,27.81,Strong Bear,Damaged,198,5,-7.67,-0.15,1.08,Stable,Death Cross,6,-0.63,0.89,4.54,95.9,88.1,1.09
3MINDIA.NS,3M India Limited,Industrials,Conglomerates,33113.67,Large,29395,33791.7,32873.91,26.09,Bearish,Bearish,-14.98,0.07,4.81,-11,0.6346,0.027,29.2,4.12,38030,26820.1,-22.71,9.6,-21.89,4.81,9.59,Bear,Damaged,35,6,-14.37,0,0.96,Stable,Golden Cross,105,-8.32,-2.07,9.56,67,53.1,1.26
DELHIVERY.NS,Delhivery Limited,Industrials,Integrated Freight & Logistics,32399.23,Large,431.4,420.95,414.29,54.85,Bullish,Bearish,6.47,-5.27,66.04,-36.65,0.7794,0.092,32.98,3.45,490,238.5,-11.96,80.88,-21.93,66.04,8.65,Bull,Correcting,105,8,-4.63,-0.16,1.19,Rising,Golden Cross,200,8.57,19.38,4.22,136.8,60.4,2.26
MRPL.NS,Mangalore Refinery and Petrochemicals Limited,Energy,Oil & Gas Refining & Marketing,32308.44,Large,184.14,179.98,158.82,49.26,Bearish,Bullish,30.38,44.97,31.27,97.54,1.0922,0.384,45.93,6.88,212.31,118.01,-13.27,56.04,-24.15,31.27,52.97,Bull,Correcting,11,6,-14.75,0.98,1.33,Rising,Golden Cross,108,6.43,43.3,54.46,126.9,74.4,1.71
JBCHEPHARM.NS,J. B. Chemicals & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,32253.03,Large,2008.8,2003.28,1835.79,43.06,Bearish,Bullish,12.39,21.13,20.86,9.42,0.5019,-0.022,24.63,2.89,2195,1385.75,-8.48,44.96,-13.06,20.86,28.26,Strong Bull,Recovering,8,8,-7.62,0.86,0.98,Stable,Golden Cross,118,7.56,25.31,30.62,69.4,38.9,1.78
BLUESTARCO.NS,Blue Star Limited,Industrials,Building Products & Equipment,31996.1,Large,1556.3,1815.61,1823.45,31.09,Bearish,Bearish,-10.12,-19.25,-29.27,19.9,0.9594,-0.022,30.91,5.03,2139.45,1520,-27.26,2.39,-30.3,-29.27,28.78,Strong Bear,Damaged,265,6,-17.42,-0.62,1.4,Rising,Death Cross,0,-9.75,2.79,-9.76,79.3,113.5,0.7
IREDA.NS,Indian Renewable Energy Development Agency Limited,Financial Services,Credit Services,31957.82,Large,113.76,122.57,141.61,44.44,Bullish,Bearish,-17.99,-24.3,-33.1,32.34,1.5546,-1.65,32.19,4.04,186.58,108.65,-39.03,4.7,-40.53,-33.1,,Strong Bear,Damaged,211,4,-2.81,-0.75,1.28,Rising,Death Cross,290,2.24,-5.07,-14.81,146.8,184.7,0.79
ENDURANCE.NS,Endurance Technologies Limited,Consumer Cyclical,Auto Parts,31677.27,Large,2252,2442.6,2524.5,39.54,Bearish,Bearish,-12.74,-17.05,13.22,-28.46,0.9619,0.566,34.68,3.97,3079.9,1700,-26.88,32.47,-27.34,13.22,21.59,Strong Bear,Damaged,145,6,-10.62,-0.49,1.11,Stable,Death Cross,40,-3.82,0.17,-7.57,114.4,86.6,1.32
PGHH.NS,Procter & Gamble Hygiene and Health Care Limited,Consumer Defensive,Household & Personal Products,31642.72,Large,9748,10935.74,12370.19,36.4,Bearish,Bearish,-23.48,-27.32,-28.15,216.88,0.3411,0.056,21.52,3.39,14543,8979,-32.97,8.56,-35.4,-28.15,-9.98,Strong Bear,Damaged,126,4,-7.06,-1.27,1.53,Rising,Death Cross,365,-3.84,-10.57,-17.83,-4.4,34.9,-0.13
ESCORTS.NS,Escorts Kubota Limited,Industrials,Farm & Heavy Construction Machinery,31106.27,Large,2827.2,3297.46,3466.87,36.6,Bearish,Bearish,-23.66,-21.13,-12.7,-3.92,1.2209,0.074,31.97,4.48,4180,2730,-32.36,3.56,-30.49,-12.7,12.77,Strong Bear,Damaged,61,8,-13.57,-0.66,1.37,Rising,Death Cross,15,-10.41,-10.74,-11.64,84.9,92.1,0.92
NAVINFLUOR.NS,Navin Fluorine International Limited,Basic Materials,Chemicals,30971.21,Large,6034,6180.07,5532.23,44.78,Bearish,Bearish,4.49,30.47,42.44,-36.8,0.7057,0.225,33.59,3.98,6965,3670.6,-13.37,64.39,-12.28,42.44,13.01,Bull,Correcting,26,7,-8.45,0.91,1.13,Stable,Golden Cross,314,4.1,17.41,39.96,97.5,40.4,2.41
SONACOMS.NS,Sona BLW Precision Forgings Limited,Consumer Cyclical,Auto Parts,30921.34,Large,497.25,502.6,494.67,47.86,Bearish,Bearish,4.5,21.78,-0.28,-12.93,1.3886,0.133,34.07,3.93,559.5,380,-11.13,30.86,-25.39,-0.28,3.39,Bull,Correcting,24,6,-10.32,0.64,1.16,Rising,Golden Cross,34,2.23,17.41,31.27,151.5,138.3,1.1
POONAWALLA.NS,Poonawalla Fincorp Limited,Financial Services,Credit Services,30917.65,Large,382.65,426.9,438.48,39.12,Bearish,Bearish,-19.65,-22.45,10.18,-41.32,1.35,0.098,37.27,4.6,570.4,318,-32.92,20.33,-32.09,10.18,9.13,Strong Bear,Damaged,120,7,-11.02,-0.6,0.96,Stable,Death Cross,9,-6.52,-6.73,-12.97,146.5,119.5,1.23
ITCHOTELS.NS,ITC HOTELS LIMITED,Consumer Cyclical,Resorts & Casinos,30700.99,Large,147.39,168.5,192.68,40.34,Bearish,Bearish,-25.74,-37.84,-19.56,155.18,1.0624,1.4136,32.44,4.62,261.62,137.3,-43.66,7.35,-45.88,-19.56,,Strong Bear,Damaged,183,5,-8.69,-1.17,1.43,Rising,Death Cross,75,-6.23,-12.83,-27.94,76,105.6,0.72
EMCURE.NS,EMCURE PHARMACEUTICALS L,Healthcare,Drug Manufacturers - Specialty & Generic,30146.64,Large,1590.1,1495.54,1409.47,58.18,Bullish,Bullish,11.35,20.01,59.33,212.75,0.8357,0.3429,37.5,4.19,1671.8,889,-4.89,78.86,-15.84,59.33,,Strong Bull,Recovering,3,6,5.54,0.53,1.33,Rising,Golden Cross,200,20.37,24.26,29.9,105.5,39.1,2.7
GODFRYPHLP.NS,Godfrey Phillips India Limited,Consumer Defensive,Tobacco,30062.37,Large,1927.3,2128.87,2485.48,44.13,Bearish,Bearish,-30.83,-42.06,-7.41,-50.95,1.2508,0.044,56.18,5.59,3947,1832.1,-51.17,5.2,-49.79,-7.41,44.77,Strong Bear,Damaged,159,6,2.53,-0.75,0.86,Stable,Death Cross,59,3.3,-17.92,-32.57,118.1,103.3,1.14
CENTRALBK.NS,Central Bank of India,Financial Services,Banks - Regional,29958.05,Large,33.08,36.1,38.11,40.35,Bearish,Bearish,-9.08,-10.38,-27.98,-1.14,1.2477,0.261,31,3.83,41.2,31.3,-19.71,5.69,-28.21,-27.98,7.81,Strong Bear,Correcting,265,7,-15.17,-0.33,1.37,Rising,Death Cross,360,-7.15,3.83,-0.89,95.7,126.9,0.75
UCOBANK.NS,UCO Bank,Financial Services,Banks - Regional,29713.84,Large,23.68,26.96,30.2,37.48,Bearish,Bearish,-16.94,-21.33,-37.17,8.01,1.313,0.591,31.58,4.21,35.08,22.22,-32.5,6.57,-38.03,-37.17,-3.99,Strong Bear,Damaged,264,5,-14.97,-0.68,1.43,Rising,Death Cross,380,-9.57,-4.03,-11.84,89.1,137.4,0.65
GODIGIT.NS,GO DIGIT GENERAL INS LTD,Financial Services,Insurance - Property & Casualty,29567.95,Large,319.9,331.04,337.16,40.87,Bearish,Bullish,-7.5,-10.85,7.62,-27.73,0.4537,0.6748,25.64,3.7,381.4,264.6,-16.12,20.9,-16.25,7.62,,Strong Bear,Correcting,159,5,-4.37,-0.42,1.18,Rising,Death Cross,49,4.18,5.41,-1.37,60.4,44.5,1.36
ATHERENERG.NS,Ather Energy Limited,Consumer Cyclical,Auto Manufacturers,29506.01,Large,771.05,712.84,598.96,59.27,Bullish,Bullish,7.51,38.38,,43.98,1.0441,0.7995,46.86,4.76,805,288.15,-4.22,167.59,-21.48,,,Strong Bull,Recovering,3,10,7.6,0.82,0.83,Falling,Golden Cross,235,21.15,20.42,47.87,184.3,18.6,9.91
TATAINVEST.NS,Tata Investment Corporation Limited,Financial Services,Asset Management,29198.55,Large,577.1,633.69,680.75,40.96,Bearish,Bearish,-17.47,-31.07,-9.95,-68.42,0.9916,-0.1,42.62,4.36,1184.7,538.85,-51.29,7.1,-48.85,-9.95,43.09,Strong Bear,Damaged,130,6,-6.06,-0.73,1.16,Rising,Death Cross,50,-0.83,-4.56,-21.58,57.1,56.7,1.01
JUBLFOOD.NS,Jubilant FoodWorks Limited,Consumer Cyclical,Restaurants,29181.26,Large,443.7,496.41,567.1,36.87,Bearish,Bearish,-21.27,-28.63,-32.46,28.13,0.946,-0.127,25.92,3.89,727.95,430.5,-39.05,3.07,-39.66,-32.46,-0.04,Strong Bear,Damaged,236,4,-6.95,-1.1,1.24,Rising,Death Cross,155,-2.99,-8.36,-19.14,77.3,119.2,0.65
KPRMILL.NS,K.P.R. Mill Limited,Consumer Cyclical,Textile Manufacturing,28682.84,Large,837.4,878.12,956.73,45.7,Bullish,Bearish,-12.11,-22.35,-10.43,-25.9,0.683,0.056,43.63,4.22,1389,796.1,-39.71,5.19,-37.64,-10.43,12.13,Strong Bear,Damaged,233,8,-4.41,-0.51,1.03,Stable,Death Cross,74,2.61,0.81,-12.87,62.4,62,1.01
LICHSGFIN.NS,LIC Housing Finance Limited,Financial Services,Mortgage Finance,28358.5,Large,515.55,512.6,544.11,54.09,Bullish,Bearish,-4.31,-9.77,-9.28,25.37,1.2243,0.183,25.25,3.19,646.5,458.9,-20.26,12.34,-26.55,-9.28,14.65,Strong Bear,Damaged,184,5,-4.04,-0.39,1.28,Rising,Death Cross,165,5.58,8.61,-0.29,123.8,126.9,0.98
KARURVYSYA.NS,The Karur Vysya Bank Limited,Financial Services,Banks - Regional,28210.77,Large,291.85,291.72,254.18,49.48,Bullish,Bullish,14.63,39.06,69.17,6.42,1.0108,-0.197,32.24,4.34,343.45,165.27,-15.02,76.59,-22.47,69.17,51.8,Strong Bull,Correcting,25,8,-18.08,1.21,1.16,Rising,Golden Cross,960,-2.16,27.54,48.54,146.4,67.6,2.17
GLAND.NS,Gland Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,28107.44,Large,1706,1726.55,1765.53,50.44,Bullish,Bearish,3.18,-13.74,8.61,-65.27,0.7186,0.398,25.52,3.44,2131,1277.8,-19.94,33.51,-23.33,8.61,10.71,Strong Bear,Correcting,175,6,-9.4,-0.54,1.1,Stable,Death Cross,18,2.71,16.09,-4.25,92,75.6,1.22
GODREJIND.NS,Godrej Industries Limited,Industrials,Conglomerates,28017.11,Large,831.85,921.63,1026.84,42.98,Bearish,Bearish,-16.44,-31.39,-32.79,243.04,1.1009,0.227,35.96,4.84,1390,744.2,-40.15,11.78,-44.91,-32.79,23.91,Strong Bear,Damaged,213,5,-13.78,-0.87,1.4,Rising,Death Cross,98,-8.21,-3.53,-21.91,74.4,113.3,0.66
CRISIL.NS,CRISIL Limited,Financial Services,Financial Data & Stock Exchanges,27921.61,Large,3814.9,4260.7,4604.37,30.09,Bearish,Bearish,-10.71,-18.78,-7.23,26.08,0.793,-0.069,29.99,3.28,6139,3735,-37.86,2.14,-37.51,-7.23,6.4,Strong Bear,Damaged,196,5,-10.77,-0.63,0.82,Falling,Death Cross,130,-3.29,2.21,-9.29,85.6,85.9,1
STARHEALTH.NS,Star Health and Allied Insurance Company Limited,Financial Services,Insurance - Life,27651.93,Large,469.9,459.35,459.26,58.08,Bullish,Bullish,6.38,3.07,30.89,-37.45,0.5968,0.105,26.91,3.25,534,327.3,-12,43.57,-18.62,30.89,-6.88,Bull,Correcting,98,6,-3,0.11,0.9,Stable,Golden Cross,0,10.17,19.3,12.56,82.3,40.5,2.03
FORCEMOT.NS,Force Motors Limited,Consumer Cyclical,Auto Manufacturers,27318.34,Large,20733,21341.1,18144.46,46.48,Bearish,Bearish,9.4,16.74,133.61,-17.98,1.7416,0.502,54.98,6.1,26450,8050,-21.61,157.55,-29.96,133.61,140.27,Bull,Damaged,30,9,-21.69,0.3,1.19,Rising,Golden Cross,274,-7.51,22.32,26.23,205,70.8,2.9
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited,Consumer Cyclical,Auto Parts,27265.9,Large,14375,14300.49,13941.28,54.18,Bullish,Bearish,-2.62,12.24,19.47,-11.18,0.8215,-0.241,31.02,4.12,16665,12000,-13.74,19.79,-17.42,19.47,10.65,Strong Bull,Correcting,31,8,-6.42,0.39,1.11,Stable,Golden Cross,85,3.76,10.29,21.73,75.5,44.1,1.71
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,Industrials,Aerospace & Defense,27030.68,Large,2359.3,2369.86,2396.22,52.19,Bearish,Bearish,-4.73,-12.73,39.38,41.03,1.5561,0.253,54.96,5.53,3538.4,1405,-33.32,67.92,-43.12,39.38,76.68,Strong Bear,Damaged,201,7,-2.88,-0.23,1.44,Rising,Death Cross,5,6.59,8.18,-3.25,190.7,122.6,1.56
MEDANTA.NS,Global Health Limited,Healthcare,Medical Care Facilities,26579.49,Large,989.2,1088.66,1177.44,37.24,Bearish,Bearish,-14.24,-25.55,-19.59,37.34,0.6017,-0.459,29.66,3.69,1456.5,956,-32.08,3.47,-32.66,-19.59,24.39,Strong Bear,Damaged,150,4,-10.1,-0.86,0.89,Stable,Death Cross,78,-3.8,-1.33,-16.06,31.5,52.2,0.6
