Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,133661.51,Large,1568.2,1.61,1563.82,1590.93,53.67,Bullish,Bullish,8.86,-7.71,-5.13,-1.08,18.49,1.488,0.537,32.14,3.32,1831.5,1299.4,-14.38,20.69,-24.91,-1.08,29.09,Strong Bear,Correcting,77,7.0,11.43,-0.16,1.28,Rising,Death Cross,17,5.48,-1.11,1.46,133.7,130.3,1.03
MOTHERSON.NS,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,132377.57,Large,125.7,-1.19,119.41,112.72,56.84,Bullish,Bullish,12.99,12.25,20.43,46.2,47.96,1.7134,0.976,33.89,3.92,136.15,87.08,-7.68,44.35,-22.1,46.2,45.17,Strong Bull,Recovering,40,7.0,8.91,0.6,1.11,Stable,Golden Cross,157,9.6,18.85,27.02,198.9,144.2,1.38
PNB.NS,Punjab National Bank,Financial Services,Banks - Regional,129973.68,Large,113.09,0.34,114.76,114.74,50.97,Bullish,Bullish,1.4,-11.68,-0.54,16.95,4.85,1.3054,0.61,28.03,2.87,135.15,89.45,-16.32,26.43,-24.03,16.95,38.49,Bear,Correcting,70,8.0,5.29,-0.02,1.11,Stable,Golden Cross,227,-1.99,-5.09,6.06,137.3,113.4,1.21
CGPOWER.NS,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,129649.28,Large,823.15,-1.75,717.95,688.78,70.76,Bullish,Bullish,20.77,39.82,8.88,33.09,19.61,1.2527,0.266,31.39,3.27,846.9,525.5,-2.8,56.64,-33.02,33.09,42.0,Strong Bull,Recovering,0,5.0,7.5,0.28,0.83,Falling,Golden Cross,31,17.38,46.42,15.47,141.1,99.1,1.42
TMPV.NS,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,Auto Manufacturers,129069.36,Large,350.5,-0.41,343.58,364.47,55.79,Bullish,Bullish,11.59,1.89,-11.67,,-3.43,1.4571,0.734,30.95,3.2,419.0,294.3,-16.35,19.1,-28.97,,,Strong Bear,Correcting,122,3.0,10.96,-0.38,1.09,Stable,Death Cross,107,8.2,8.49,-5.07,128.4,132.2,0.97
JINDALSTEL.NS,Jindal Steel Limited,Basic Materials,Steel,127796.51,Large,1256.0,0.12,1185.57,1084.11,59.42,Bullish,Bullish,5.86,18.98,24.65,42.73,30.77,1.2814,0.68,28.87,3.19,1306.2,833.6,-3.84,50.67,-12.66,42.73,33.01,Strong Bull,Recovering,2,8.0,-0.47,0.85,0.71,Falling,Golden Cross,241,2.47,25.58,31.25,149.4,99.1,1.51
CANBK.NS,Canara Bank,Financial Services,Banks - Regional,127760.13,Large,140.85,-0.01,141.06,133.74,51.94,Bullish,Bullish,3.23,-10.21,12.24,51.94,-5.62,1.1467,0.556,28.86,3.21,162.89,90.95,-13.53,54.87,-22.32,51.94,41.46,Strong Bull,Correcting,41,8.0,6.63,0.42,1.16,Rising,Golden Cross,237,-0.16,-3.61,18.84,124.3,65.4,1.9
HDFCLIFE.NS,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,126891.2,Large,588.2,-1.75,643.29,702.87,38.75,Bullish,Bullish,-5.68,-20.17,-21.15,-18.09,62.21,0.8556,0.585,21.1,3.07,820.75,555.1,-28.33,5.96,-30.48,-18.09,6.63,Strong Bear,Damaged,212,4.0,1.04,-1.0,1.17,Rising,Death Cross,52,-9.07,-13.57,-14.55,67.7,92.0,0.74
INDIANB.NS,Indian Bank,Financial Services,Banks - Regional,122560.25,Large,909.9,-0.55,907.21,809.7,48.24,Bearish,Bullish,3.56,5.96,16.3,62.23,13.23,1.2679,0.42,31.07,3.54,1000.9,546.1,-9.09,66.62,-15.47,62.23,51.99,Strong Bull,Recovering,40,9.0,1.57,0.52,1.04,Stable,Golden Cross,281,0.17,12.56,22.9,137.7,69.5,1.98
POLYCAB.NS,Polycab India Limited,Industrials,Electrical Equipment & Parts,120937.22,Large,8033.0,0.87,7620.03,7295.3,59.29,Bullish,Bullish,12.02,8.29,7.98,52.62,-15.32,1.2218,0.548,28.61,3.18,8722.0,5386.0,-7.9,49.15,-21.08,52.62,42.87,Strong Bull,Recovering,40,9.0,9.26,0.28,0.92,Stable,Golden Cross,212,8.63,14.89,14.57,151.1,92.1,1.64
