Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1843257.99,Large,1362.1,0.65,1386.44,1418.09,49.37,Bullish,Bearish,-3.27,-6.63,-0.89,10.28,24.35,0.9469,0.22,20.45,2.24,1611.8,1285.4,-15.49,5.97,-18.07,10.28,10.64,Strong Bear,Correcting,78,7.0,-1.06,-0.04,1.26,Rising,Death Cross,29,-5.79,-1.61,2.16,111.3,103.2,1.08
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1231306.94,Large,799.9,-1.46,836.67,908.82,47.94,Bullish,Bearish,-5.12,-13.57,-18.23,-13.06,86.0,1.1439,0.487,18.73,2.88,1020.5,726.65,-21.62,10.08,-27.78,-13.06,2.13,Strong Bear,Damaged,190,6.0,-0.6,-0.97,1.38,Rising,Death Cross,49,-7.64,-8.55,-15.18,96.7,120.1,0.81
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1114130.25,Large,1829.0,-1.4,1882.83,1917.63,44.89,Bullish,Bearish,-1.42,-9.57,-7.09,2.53,10.65,0.6991,0.017,18.79,2.18,2174.5,1746.9,-15.89,4.7,-17.61,2.53,34.69,Strong Bear,Correcting,108,5.0,1.77,-0.38,1.06,Stable,Death Cross,21,-3.95,-4.55,-4.03,85.4,85.8,1.0
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,1018414.13,Large,1103.3,-0.77,1075.81,981.31,56.92,Bullish,Bullish,3.13,7.29,24.51,47.41,30.51,0.9752,0.459,21.06,2.74,1234.7,755.5,-10.64,46.04,-20.23,47.41,32.16,Strong Bull,Correcting,41,10.0,0.7,1.16,1.03,Stable,Golden Cross,246,0.61,12.3,27.56,120.1,73.2,1.64
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,979900.77,Large,1367.6,-1.5,1322.81,1350.97,60.83,Bullish,Bullish,6.07,-3.58,-2.2,2.07,24.88,0.9349,0.288,18.51,2.44,1500.0,1187.6,-8.83,15.16,-18.37,2.07,18.03,Bull,Correcting,195,6.0,7.26,-0.12,1.19,Rising,Death Cross,28,3.55,1.43,0.85,85.5,86.5,0.99
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,918451.49,Large,2538.5,-2.76,2615.01,2950.54,50.07,Bullish,Bullish,4.0,-19.04,-12.97,-19.15,23.75,0.8056,0.272,21.77,2.54,3630.5,2346.2,-30.08,8.2,-32.68,-19.15,-4.01,Strong Bear,Damaged,246,7.0,10.35,-0.6,0.88,Stable,Death Cross,300,1.48,-14.02,-9.92,73.6,104.4,0.7
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,581072.9,Large,934.75,-0.44,915.59,936.07,57.32,Bullish,Bullish,6.21,-1.18,-11.81,2.89,45.65,1.4136,0.314,29.23,3.24,1102.5,787.9,-15.22,18.64,-26.74,2.89,18.89,Strong Bear,Correcting,129,6.0,6.6,-0.4,1.18,Rising,Death Cross,21,3.68,3.83,-8.76,135.0,135.1,1.0
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,556652.04,Large,2368.8,2.51,2218.26,2333.28,70.12,Bullish,Bullish,10.94,0.65,-5.22,2.16,48.24,0.597,0.359,20.12,2.56,2750.0,2022.5,-13.86,17.12,-23.18,2.16,0.29,Bear,Correcting,170,6.0,10.72,-0.26,1.15,Stable,Death Cross,93,8.41,5.67,-2.17,60.0,58.7,1.02
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,553155.45,Large,4021.1,-1.33,3891.43,3831.33,56.98,Bullish,Bullish,11.45,4.02,5.03,24.59,4.07,1.3272,0.425,24.41,2.97,4440.0,3230.1,-9.43,24.49,-24.35,24.59,24.07,Strong Bull,Recovering,41,8.0,10.11,0.21,1.07,Stable,Golden Cross,233,8.93,9.03,8.08,135.2,111.2,1.22
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,518966.06,Large,820.5,-0.44,811.25,848.57,55.25,Bullish,Bullish,4.41,-0.75,-8.73,6.0,110.34,1.0933,0.545,24.8,2.6,980.0,721.5,-16.28,13.72,-24.42,6.0,14.61,Strong Bear,Correcting,211,5.0,4.66,-0.35,1.24,Rising,Death Cross,89,1.88,4.27,-5.68,93.0,87.6,1.06
