Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1829590.22,Large,1350.5,-0.43,1380.14,1409.85,44.78,Bearish,Bearish,-2.76,-4.85,-12.68,-3.8,-23.32,0.8794,0.244,19.87,2.01,1611.8,1290.0,-16.21,4.69,-18.07,-3.8,6.61,Strong Bear,Correcting,103,6.0,-1.14,-0.64,0.83,Falling,Death Cross,54,-1.99,1.22,-4.44,106.0,106.2,1.0
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1168804.47,Large,758.65,-2.6,795.52,878.73,43.25,Bullish,Bearish,-3.05,-16.8,-23.99,-19.9,-30.12,1.2218,0.481,19.09,2.3,1020.5,726.65,-25.66,4.4,-27.78,-19.9,-1.01,Strong Bear,Damaged,215,5.0,2.55,-1.26,0.79,Falling,Death Cross,74,-2.28,-10.72,-15.75,106.1,129.2,0.82
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1125338.58,Large,1852.2,0.29,1865.72,1903.26,49.0,Bullish,Bullish,0.46,-6.33,-14.36,1.98,-9.85,0.7194,0.043,19.32,2.11,2174.5,1740.5,-14.82,6.42,-18.77,1.98,33.82,Strong Bear,Correcting,133,5.0,2.57,-0.74,1.23,Rising,Death Cross,46,1.23,-0.25,-6.12,91.8,82.6,1.11
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,912296.77,Large,1272.7,-0.5,1286.92,1332.78,50.22,Bullish,Bearish,-1.49,-8.73,-7.07,-11.07,-17.18,0.9032,0.28,17.97,1.94,1500.0,1187.6,-15.15,7.17,-18.37,-11.07,12.05,Strong Bear,Correcting,220,6.0,1.42,-0.39,0.71,Falling,Death Cross,53,-0.72,-2.66,1.17,81.4,91.8,0.89
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,892877.67,Large,967.8,-0.07,1016.82,972.63,40.67,Bullish,Bearish,-9.72,-18.98,1.3,25.47,-6.65,1.0447,0.471,22.12,2.35,1234.7,781.7,-21.62,23.81,-22.11,25.47,21.8,Bear,Damaged,66,9.0,-3.39,0.06,1.08,Stable,Golden Cross,271,-8.95,-12.9,9.54,118.7,81.5,1.46
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,828505.8,Large,2284.2,0.35,2419.04,2784.22,40.41,Bullish,Bearish,-5.3,-13.81,-25.18,-31.11,-20.87,0.7762,0.289,21.82,2.23,3538.0,2206.4,-35.44,3.53,-34.48,-31.11,-7.98,Strong Bear,Damaged,245,6.0,-0.7,-1.15,0.8,Falling,Death Cross,325,-4.53,-7.73,-16.95,63.0,108.2,0.58
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,581371.43,Large,931.15,0.1,924.19,934.76,52.37,Bearish,Bearish,0.81,-9.61,-7.27,2.38,-25.32,1.4879,0.407,28.66,2.48,1102.5,787.9,-15.54,18.18,-26.74,2.38,13.96,Strong Bear,Correcting,154,5.0,4.01,-0.25,0.67,Falling,Death Cross,46,1.58,-3.54,0.97,140.0,127.0,1.1
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,557145.65,Large,4047.5,0.24,3915.91,3829.9,60.73,Bullish,Bullish,1.22,-6.7,1.54,16.16,-32.78,1.4111,0.493,24.26,1.99,4440.0,3288.1,-8.84,23.1,-24.35,16.16,20.93,Strong Bull,Correcting,66,8.0,3.45,0.06,0.51,Falling,Golden Cross,258,1.99,-0.62,9.78,147.5,119.7,1.23
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,525101.33,Large,415.0,-2.91,404.95,419.79,56.94,Bullish,Bullish,1.5,-4.96,-8.02,-0.56,27.08,1.1246,0.567,24.33,2.42,855.0,360.75,-51.46,15.04,-24.42,-0.56,15.05,Strong Bear,Damaged,236,5.0,3.15,-0.33,0.75,Falling,Death Cross,114,2.27,1.12,0.21,92.2,86.9,1.06
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,517356.49,Large,2198.4,-0.5,2241.55,2318.01,43.69,Bearish,Bullish,-3.98,-5.02,-9.67,-3.94,-38.17,0.598,0.402,20.01,2.3,2750.0,2022.5,-20.06,8.7,-23.18,-3.94,-2.43,Strong Bear,Damaged,195,5.0,-2.31,-0.48,0.83,Falling,Death Cross,118,-3.21,1.06,-1.43,60.5,62.7,0.96
