Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1980612.63,Large,1463.6,0.03,1393.29,1417.01,66.39,Bullish,Bullish,8.37,5.22,-2.7,4.98,5.9,0.9258,0.244,20.02,2.12,1611.8,1290.0,-9.19,13.46,-18.07,4.98,11.13,Bull,Correcting,87,7.0,6.63,-0.13,1.0,Stable,Death Cross,38,2.41,10.39,4.75,113.2,100.7,1.12
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1188988.92,Large,772.3,-0.91,819.24,897.68,42.09,Bullish,Bearish,2.85,-17.45,-23.37,-17.99,-33.58,1.1587,0.481,18.61,2.31,1020.5,726.65,-24.32,6.28,-27.78,-17.99,-1.18,Strong Bear,Damaged,199,6.0,8.67,-1.26,0.99,Stable,Death Cross,58,-3.12,-12.28,-15.93,97.7,121.8,0.8
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1100180.72,Large,1806.1,-1.15,1871.78,1911.48,41.54,Bullish,Bearish,0.92,-8.22,-14.02,-0.14,-20.62,0.6638,0.043,18.65,2.22,2174.5,1746.9,-16.94,3.39,-17.61,-0.14,33.45,Strong Bear,Correcting,117,5.0,3.66,-0.75,0.95,Stable,Death Cross,30,-5.05,-3.05,-6.57,82.2,79.6,1.03
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,978353.18,Large,1059.9,-0.8,1078.03,989.28,44.44,Bearish,Bullish,4.14,-0.34,13.94,32.28,0.21,0.9384,0.471,20.67,2.45,1234.7,755.5,-14.16,40.29,-20.23,32.28,28.65,Strong Bull,Correcting,50,9.0,4.25,0.67,0.71,Falling,Golden Cross,255,-1.83,4.83,21.38,114.6,74.6,1.54
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,896740.41,Large,1251.3,-1.53,1311.99,1345.66,38.66,Bearish,Bearish,2.92,-9.56,-8.69,-11.81,-2.18,0.9183,0.28,18.33,2.17,1500.0,1187.6,-16.58,5.36,-18.37,-11.81,13.29,Strong Bear,Correcting,204,5.0,6.11,-0.47,1.19,Rising,Death Cross,37,-3.05,-4.39,-1.25,78.3,92.1,0.85
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,878218.37,Large,2427.3,-0.16,2566.27,2907.84,41.58,Bearish,Bearish,-0.95,-22.81,-19.17,-27.68,4.53,0.8448,0.289,22.2,2.47,3630.5,2346.2,-33.14,3.46,-32.68,-27.68,-6.35,Strong Bear,Damaged,255,6.0,6.65,-0.86,1.03,Stable,Death Cross,310,-6.92,-17.64,-11.73,72.6,110.4,0.66
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,596045.62,Large,958.6,0.88,921.29,935.85,62.88,Bullish,Bullish,15.93,2.51,-9.82,6.07,-23.74,1.4178,0.407,29.2,2.76,1102.5,787.9,-13.05,21.67,-26.74,6.07,18.58,Bear,Correcting,138,6.0,15.09,-0.34,0.86,Stable,Death Cross,30,9.97,7.68,-2.37,141.4,127.5,1.11
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,557750.05,Large,4054.5,-1.13,3939.22,3850.06,55.61,Bearish,Bullish,12.22,3.09,2.44,23.18,-38.29,1.3539,0.493,24.55,2.48,4440.0,3284.1,-8.68,23.46,-24.35,23.18,21.92,Strong Bull,Recovering,50,8.0,11.19,0.1,0.87,Stable,Golden Cross,242,6.25,8.26,9.88,143.3,111.5,1.29
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,546843.87,Large,2327.4,0.78,2244.63,2330.99,60.05,Bullish,Bullish,12.69,-1.07,-5.72,2.1,19.47,0.6398,0.402,20.07,2.79,2750.0,2022.5,-15.37,15.08,-23.18,2.1,-1.18,Strong Bear,Correcting,180,6.0,13.05,-0.29,1.12,Stable,Death Cross,102,6.72,4.1,1.72,64.9,59.1,1.1
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,505525.41,Large,799.25,-0.34,809.99,845.04,47.56,Bearish,Bullish,8.76,-2.65,-12.05,1.18,14.07,1.0811,0.567,24.56,1.96,980.0,721.5,-18.44,10.78,-24.42,1.18,14.27,Strong Bear,Correcting,220,5.0,9.64,-0.49,0.93,Stable,Death Cross,98,2.8,2.52,-4.6,90.2,84.8,1.06
INFY.NS,Infosys Limited,Technology,Information Technology Services,476777.97,Large,1178.1,0.83,1294.39,1445.12,36.58,Bearish,Bearish,-9.43,-29.01,-22.0,-19.0,19.6,0.8913,0.127,26.03,2.82,1728.0,1149.8,-31.82,2.46,-31.82,-19.0,-2.97,Strong Bear,Damaged,77,5.0,0.24,-0.85,1.06,Stable,Death Cross,55,-15.4,-23.84,-14.56,93.7,115.1,0.81
ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,443470.84,Large,229.96,1.17,180.17,150.26,85.3,Bullish,Bullish,43.75,71.77,41.86,109.57,92.07,1.0462,0.497,42.55,3.39,234.4,101.0,-1.89,127.68,-22.15,109.57,80.97,Strong Bull,At High,0,9.0,19.83,0.98,0.78,Falling,Golden Cross,222,37.78,76.93,49.31,157.0,48.6,3.23
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,436870.92,Large,1820.8,-0.15,1730.84,1708.1,64.13,Bullish,Bullish,5.34,13.79,8.63,-0.16,98.38,0.4414,0.097,19.96,2.6,1849.0,1548.0,-1.53,17.62,-14.6,-0.16,22.91,Strong Bull,At High,39,7.0,0.74,0.43,1.31,Rising,Golden Cross,122,-0.63,18.95,16.08,62.9,60.3,1.04
MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,422116.88,Large,13426.0,-1.13,13614.71,14232.56,52.4,Bullish,Bullish,6.29,-7.42,-16.81,14.61,-13.04,1.0622,0.309,23.42,2.68,17370.0,12016.0,-22.71,11.73,-28.83,14.61,16.89,Strong Bear,Damaged,85,9.0,8.76,-0.72,1.1,Stable,Death Cross,32,0.33,-2.25,-9.36,99.5,77.6,1.28
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,397432.93,Large,1725.0,-1.01,1521.0,1447.7,74.63,Bullish,Bullish,25.22,21.67,18.57,42.5,27.44,1.463,0.504,27.99,2.73,1757.4,1290.5,-1.84,33.67,-16.98,42.5,38.9,Strong Bull,At High,0,7.0,18.0,0.66,0.85,Stable,Golden Cross,253,19.25,26.84,26.02,170.5,117.5,1.45
AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,391591.52,Large,1259.7,-1.21,1298.92,1247.16,41.14,Bearish,Bearish,5.58,-4.55,1.08,5.7,-2.74,1.2261,0.45,23.5,2.75,1418.3,1042.5,-11.18,20.83,-17.23,5.7,14.23,Bull,Correcting,49,7.0,7.1,0.05,1.11,Stable,Golden Cross,150,-0.39,0.62,8.52,118.7,107.3,1.11
ITC.NS,ITC Limited,Consumer Defensive,Tobacco,390230.31,Large,311.45,0.11,310.51,351.18,56.07,Bullish,Bullish,6.35,-0.2,-24.58,-23.98,-22.94,0.6231,-0.024,19.23,1.72,444.2,287.0,-29.89,8.52,-32.46,-23.98,-3.02,Strong Bear,Damaged,245,2.0,6.42,-1.28,0.89,Stable,Death Cross,320,0.38,4.97,-17.13,40.5,74.7,0.54
TITAN.NS,Titan Company Limited,Consumer Cyclical,Luxury Goods,387958.13,Large,4373.6,0.24,4284.22,3963.13,51.71,Bearish,Bullish,6.75,11.01,16.68,29.84,17.09,0.8837,0.291,21.31,2.16,4554.0,3245.5,-3.96,34.76,-11.27,29.84,19.61,Strong Bull,Recovering,12,7.0,3.08,0.78,0.96,Stable,Golden Cross,250,0.78,16.18,24.13,84.5,46.5,1.82
NTPC.NS,NTPC Limited,Utilities,Utilities - Regulated Electric,386557.62,Large,398.65,-0.35,382.8,354.65,57.44,Bearish,Bullish,10.84,12.15,16.57,14.63,-26.07,0.6738,0.315,18.32,2.13,414.4,315.55,-3.8,26.33,-8.49,14.63,34.39,Strong Bull,Recovering,5,6.0,6.79,0.9,0.78,Falling,Golden Cross,77,4.88,17.32,24.01,82.5,63.7,1.3
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,385540.74,Large,3210.8,3.36,3209.96,3316.22,54.37,Bullish,Bearish,6.61,-5.13,-9.16,11.24,-26.65,1.4478,0.383,27.25,2.85,3839.9,2896.0,-16.38,10.87,-22.91,11.24,39.96,Strong Bear,Correcting,87,7.0,8.32,-0.34,0.97,Stable,Death Cross,30,0.64,0.04,-1.72,148.6,130.0,1.14
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,369362.0,Large,371.35,-0.08,384.26,402.5,44.67,Bullish,Bearish,3.73,-9.95,-13.66,-15.7,-12.95,0.9872,0.308,21.33,2.52,453.2,345.5,-18.06,7.48,-20.65,-15.7,0.29,Strong Bear,Correcting,214,7.0,7.05,-0.64,1.03,Stable,Death Cross,37,-2.24,-4.78,-6.21,87.2,107.4,0.81
ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,364765.22,Large,289.95,-1.01,278.51,254.19,55.17,Bullish,Bullish,0.66,10.5,21.36,21.96,-36.83,0.3289,0.191,21.75,2.53,307.5,228.45,-5.71,26.92,-9.44,21.96,28.99,Strong Bull,Recovering,4,7.0,-2.84,0.98,0.99,Stable,Golden Cross,135,-5.31,15.67,28.8,58.1,28.8,2.02
ULTRACEMCO.NS,UltraTech Cement Limited,Basic Materials,Building Materials,351915.13,Large,11963.0,1.74,11757.64,11869.15,55.61,Bullish,Bullish,11.66,-6.3,0.27,-0.62,-12.19,1.2258,0.489,22.39,2.68,13110.0,10325.0,-8.75,15.86,-20.61,-0.62,16.49,Strong Bull,Recovering,54,7.0,13.76,0.01,0.84,Falling,Death Cross,30,5.69,-1.13,7.71,109.3,106.3,1.03
ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,337526.47,Large,2462.0,-0.95,2162.54,2258.37,74.57,Bullish,Bullish,33.62,23.43,-1.3,3.94,30.96,1.6775,0.765,33.86,3.31,2695.0,1753.0,-8.65,40.44,-34.28,3.94,11.11,Bull,Correcting,160,5.0,25.81,-0.04,0.85,Stable,Death Cross,387,27.66,28.6,6.15,165.4,152.2,1.09
HCLTECH.NS,HCL Technologies Limited,Technology,Information Technology Services,324732.4,Large,1200.2,-0.02,1347.57,1461.34,30.39,Bearish,Bearish,-12.77,-28.95,-20.89,-20.23,64.05,0.93,0.066,25.4,3.05,1780.1,1184.0,-32.58,1.37,-29.53,-20.23,8.07,Strong Bear,Damaged,69,5.0,-3.12,-0.82,1.25,Rising,Death Cross,48,-18.73,-23.78,-13.44,97.9,121.1,0.81
BEL.NS,Bharat Electronics Limited,Industrials,Aerospace & Defense,316769.28,Large,433.35,-0.05,435.6,408.0,46.14,Bearish,Bullish,2.79,-2.09,6.87,37.56,-40.63,0.7592,0.304,26.16,2.4,473.45,304.8,-8.47,42.18,-15.63,37.56,64.49,Strong Bull,Recovering,42,6.0,3.49,0.26,0.64,Falling,Golden Cross,1509,-3.18,3.08,14.32,105.1,53.2,1.98
