Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1807803.12,Large,1335.9,-0.04,1389.25,1414.07,38.76,Bearish,Bearish,-2.13,-9.04,-11.62,-5.26,-8.86,0.889,0.244,19.82,2.28,1611.8,1290.0,-17.12,3.56,-18.07,-5.26,7.19,Strong Bear,Correcting,97,6.0,0.88,-0.59,0.95,Stable,Death Cross,47,0.13,-0.23,-4.09,103.5,103.9,1.0
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1183369.61,Large,768.65,0.15,804.49,886.79,44.9,Bullish,Bearish,-3.91,-17.09,-22.32,-18.96,-45.04,1.1962,0.481,18.76,2.44,1020.5,726.65,-24.68,5.78,-27.78,-18.96,-1.35,Strong Bear,Damaged,208,5.0,1.79,-1.19,0.76,Falling,Death Cross,67,-1.65,-8.28,-14.79,102.3,123.4,0.83
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1180588.15,Large,1938.1,1.72,1862.19,1905.09,63.12,Bullish,Bullish,4.94,-3.68,-6.54,7.34,-7.62,0.7275,0.043,19.5,2.38,2174.5,1740.5,-10.87,11.35,-18.77,7.34,36.71,Bear,Correcting,127,6.0,6.17,-0.34,1.24,Rising,Death Cross,40,7.2,5.13,0.98,96.7,83.2,1.16
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,896872.43,Large,1251.1,0.53,1294.8,1337.95,42.26,Bearish,Bearish,-7.11,-11.02,-7.93,-11.87,-18.8,0.8877,0.28,17.8,1.99,1500.0,1187.6,-16.59,5.35,-18.37,-11.87,11.96,Strong Bear,Correcting,213,5.0,-3.44,-0.45,0.78,Falling,Death Cross,47,-4.85,-2.21,-0.41,78.3,89.5,0.87
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,867124.22,Large,939.4,-2.47,1035.64,973.68,30.31,Bearish,Bearish,-11.47,-19.15,-0.09,21.68,-2.34,1.0277,0.471,22.06,2.93,1234.7,779.1,-23.92,20.58,-22.11,21.68,21.64,Strong Bear,Damaged,60,9.0,-5.09,-0.0,1.05,Stable,Golden Cross,265,-9.21,-10.34,7.44,115.9,81.2,1.43
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,826081.7,Large,2283.2,0.85,2493.61,2858.16,33.11,Bearish,Bearish,-11.56,-21.53,-25.77,-32.8,-17.64,0.7793,0.289,21.79,2.53,3558.0,2206.4,-35.83,3.48,-35.09,-32.8,-7.88,Strong Bear,Damaged,262,6.0,-4.38,-1.18,1.08,Stable,Death Cross,319,-9.3,-12.72,-18.25,65.2,112.9,0.58
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,572728.59,Large,921.1,1.17,923.84,935.47,49.52,Bearish,Bearish,1.41,-4.94,-9.09,2.36,-39.33,1.4662,0.407,28.57,2.77,1102.5,787.9,-16.45,16.91,-26.74,2.36,15.47,Strong Bear,Correcting,147,5.0,3.06,-0.32,0.65,Falling,Death Cross,40,3.67,3.87,-1.57,137.6,121.3,1.13
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,538959.31,Large,3917.8,0.23,3939.28,3857.97,47.35,Bearish,Bullish,-4.35,-6.06,-0.93,10.86,-44.45,1.3911,0.493,24.18,2.36,4440.0,3288.1,-11.76,19.15,-24.35,10.86,21.49,Bear,Correcting,60,7.0,-2.33,-0.04,0.48,Falling,Golden Cross,252,-2.09,2.75,6.59,144.2,119.9,1.2
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,529644.86,Large,2254.2,-0.79,2253.78,2326.27,49.31,Bearish,Bullish,0.6,-8.47,-7.02,-2.72,-19.95,0.6118,0.402,20.05,2.55,2750.0,2022.5,-18.03,11.46,-23.18,-2.72,-1.48,Strong Bear,Correcting,189,6.0,3.42,-0.35,1.06,Stable,Death Cross,112,2.86,0.34,0.5,61.3,60.0,1.02
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,500560.35,Large,791.4,-0.97,806.24,840.98,45.82,Bearish,Bullish,-6.03,-9.59,-12.08,-2.97,-43.43,1.1142,0.567,23.98,2.05,980.0,721.5,-19.24,9.69,-24.42,-2.97,14.04,Strong Bear,Correcting,230,4.0,-2.83,-0.5,0.53,Falling,Death Cross,107,-3.77,-0.77,-4.56,88.4,81.9,1.08
