Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1840010.13,Large,1359.7,2.8,1385.58,1412.63,46.15,Bearish,Bearish,0.47,-4.22,-10.48,-6.12,-10.03,0.8853,0.244,19.92,2.32,1611.8,1290.0,-15.64,5.4,-18.07,-6.12,7.81,Strong Bear,Correcting,98,6.0,1.88,-0.53,1.01,Stable,Death Cross,49,3.37,4.1,-1.91,106.7,105.0,1.02
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1169343.33,Large,759.5,-0.39,801.14,884.3,41.89,Bullish,Bearish,-6.44,-15.98,-23.25,-20.39,-48.24,1.2048,0.481,18.72,2.29,1020.5,726.65,-25.58,4.52,-27.78,-20.39,-2.08,Strong Bear,Damaged,210,5.0,-1.11,-1.24,0.7,Falling,Death Cross,69,-3.54,-7.65,-14.68,102.9,124.1,0.83
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1160364.48,Large,1904.9,-0.45,1865.8,1905.17,57.56,Bullish,Bullish,2.69,-4.98,-9.32,2.87,-9.17,0.7207,0.043,19.46,2.27,2174.5,1740.5,-12.4,9.45,-18.77,2.87,35.12,Strong Bear,Correcting,128,6.0,4.35,-0.48,1.23,Rising,Death Cross,41,5.59,3.35,-0.75,95.3,82.8,1.15
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,886992.22,Large,1237.3,-0.28,1290.51,1335.99,39.06,Bearish,Bearish,-10.88,-12.53,-9.88,-14.06,-16.7,0.8858,0.28,17.73,1.98,1500.0,1187.6,-17.51,4.18,-18.37,-14.06,11.35,Strong Bear,Correcting,215,5.0,-6.7,-0.56,0.66,Falling,Death Cross,48,-7.99,-4.21,-1.32,78.5,90.5,0.87
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,877739.43,Large,950.9,0.22,1029.05,973.21,34.06,Bearish,Bearish,-12.93,-19.24,0.02,22.25,-10.79,1.0371,0.471,22.07,2.77,1234.7,779.1,-22.99,22.05,-22.11,22.25,21.92,Bear,Damaged,61,9.0,-6.52,0.0,1.07,Stable,Golden Cross,266,-10.04,-10.91,8.59,116.6,81.2,1.44
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,842073.64,Large,2327.4,0.01,2480.82,2847.65,40.11,Bearish,Bearish,-10.84,-13.55,-23.71,-32.74,-7.54,0.7781,0.289,21.83,2.48,3545.0,2206.4,-34.35,5.48,-34.75,-32.74,-7.41,Strong Bear,Damaged,263,6.0,-6.32,-1.09,1.04,Stable,Death Cross,320,-7.95,-5.23,-15.14,64.1,108.4,0.59
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,573972.15,Large,923.1,-0.05,923.8,935.23,50.09,Bearish,Bearish,-1.68,-9.92,-9.37,0.95,-37.84,1.478,0.407,28.55,2.59,1102.5,787.9,-16.27,17.16,-26.74,0.95,14.77,Strong Bear,Correcting,149,5.0,1.63,-0.33,0.61,Falling,Death Cross,41,1.22,-1.6,-0.8,137.3,123.3,1.11
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,537982.56,Large,3910.7,-0.26,3937.47,3859.12,46.81,Bearish,Bullish,-4.04,-6.31,-2.34,9.09,-41.72,1.4016,0.493,24.15,2.25,4440.0,3288.1,-11.92,18.93,-24.35,9.09,20.39,Bear,Correcting,61,7.0,-1.94,-0.1,0.46,Falling,Golden Cross,253,-1.14,2.02,6.23,144.0,121.0,1.19
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,519095.24,Large,2209.3,-1.06,2251.25,2324.19,43.49,Bearish,Bullish,-4.39,-4.16,-9.0,-4.46,-26.48,0.6204,0.402,20.09,2.5,2750.0,2022.5,-19.66,9.24,-23.18,-4.46,-1.85,Strong Bear,Correcting,190,5.0,-3.0,-0.45,0.84,Falling,Death Cross,113,-1.49,4.16,-0.43,60.5,61.0,0.99
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,506347.7,Large,800.55,-0.37,805.91,840.21,49.68,Bearish,Bullish,-2.86,-7.17,-11.97,-3.47,-46.34,1.1105,0.567,23.93,1.99,980.0,721.5,-18.31,10.96,-24.42,-3.47,14.66,Strong Bear,Correcting,231,5.0,-0.47,-0.5,0.57,Falling,Death Cross,109,0.04,1.15,-3.41,88.8,83.0,1.07
