Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,5Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,RS vs Nifty 12M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio,Description,Analyst Recommendation,Analyst Score,Target Mean Price,Target High Price,Target Low Price,No. of Analysts
ENDURANCE.NS,Endurance Technologies Limited,Consumer Cyclical,Auto Parts,40778.16,Large,2899.0,-2.56,2738.42,2591.13,58.18,Bullish,Bullish,6.0,15.21,11.65,15.4,27.85,1.0367,0.9797,31.6,2.87,3079.9,2142.8,-5.87,35.29,-27.62,15.4,20.16,12.88,Strong Bull,Correcting,241,6.0,0.93,0.37,1.06,Stable,Golden Cross,55,4.8,12.35,16.82,16.85,101.7,79.6,1.28,"Endurance Technologies Limited manufactures and sells automotive components for original equipment manufacturers (OEM) in India and internationally. The company offers aluminium die casting products, such as high-pressure, low-pressure, and gravity die castings, as well as swing arms, EV mission cases, integrated face and modular electric drive HV covers, PPE EVO and MHEV transmission housings, and crank cases; transmission products consisting of solid axle and CV joint driveshafts, assist and slip clutches, clutches, crankshaft-mounted and cargo vehicle clutches, clutch assemblies, and continuously variable transmission assemblies; and suspension products, including front fork and inverted front fork assemblies, solar dampers, cargo rear and front assemblies, spring-in-spring and mono shock absorbers, gas-filled and mono shock absorbers, and mono gas-filled shock absorbers. It also provides braking systems, such as drum brakes, single and dual channel ABS modulators, two-wheeler disc brakes, disc and hydraulic drum brake assemblies, anti-lock and combined braking systems, tandem master cylinders, and rocker arms; aftermarket products, including camshafts, brake shoes, horns, brake discs, steering bearing kits, clutch assemblies, lock sets, performance clutch discs, CVT parts, clutch spares, silencers, lubricants, control cables, scooter brake discs, wheel rims, front disc brake assemblies, and brake drums; alloy wheels and battery management systems; and other products for two-wheelers, three-wheelers, and four-wheelers. In addition, the company offers high-pressure die-casting and machining components, including engines, gearboxes, and transmission parts; assembled metallic components; and spare parts. It sells its products to OEM customers through dealers and distributors. The company exports its products to Europe, Latin America, the Middle East, Asia, and Africa. Endurance Technologies Limited was founded in 1985 and is based in Aurangabad, India.",buy,1.75,2919.75,3300.0,2500.0,16.0
EXIDEIND.NS,Exide Industries Limited,Consumer Cyclical,Auto Parts,40468.5,Large,476.1,-1.94,428.5,383.3,63.06,Bullish,Bullish,13.57,39.53,40.25,27.35,70.58,1.1457,0.552,29.69,3.16,496.4,287.0,-4.09,65.89,-32.63,27.35,24.8,21.78,Strong Bull,Recovering,1,6.0,0.39,1.36,0.92,Stable,Golden Cross,47,12.38,36.68,45.41,28.79,128.1,93.5,1.37,"Exide Industries Limited designs, manufactures, markets, and sells lead acid batteries and accumulators in India and internationally. It offers automotive, infrastructural, genset, solar, inverter, institutional uninterrupted power supply (UPS), and submarine batteries, as well as home UPS systems, integrated power back-up systems, and e-rickshaw vehicles. The company also manufactures and supplies recycled lead and lead alloys; offers lithium-ion batteries; produces and distributes industrial battery chargers and rectifiers; and provides energy storage solutions, as well as engages in the non-conventional energy business. It sells batteries under the Exide, Index, Dynex, SF Sonic, Chloride, Dagenite, Jupiter, Black panther, and CEIL brand names through a distribution network of dealers. The company was formerly known as Chloride Industries Ltd. and changed its name to Exide Industries Limited in August 1995. Exide Industries Limited was founded in 1916 and is headquartered in Kolkata, India.",hold,2.625,438.1875,524.0,325.0,16.0
CONCOR.NS,Container Corporation of India Limited,Industrials,Railroads,40137.26,Large,527.0,-1.25,495.4,504.14,62.49,Bullish,Bullish,7.81,4.55,4.29,-1.63,3.55,1.1589,0.228,26.18,2.55,569.8,421.45,-7.51,25.04,-24.0,-1.63,-6.73,-3.57,Strong Bull,Correcting,237,6.0,6.29,0.16,1.06,Stable,Death Cross,475,6.6,1.5,10.1,-0.48,92.6,92.6,1.0,"Container Corporation of India Limited engages in handling, transportation, and warehousing activities in India. The company provides inland transport by rail for containers; manages ports and air cargo complexes; develops multimodal logistics support for containerization and trade; and operates logistics facilities, including dry ports, container freight stations, and private freight terminals. It also engages in the cold-chain business for fruits and vegetables; and handling of air cargos and containers. In addition, the company provides LCL hub, air cargo movement, bonded warehousing, factory stuffing/destuffing services; and road transportation services for door-to-door services. Container Corporation of India Limited was incorporated in 1988 and is based in New Delhi, India.",buy,2.13333,563.26666,667.0,470.0,15.0
3MINDIA.NS,3M India Limited,Industrials,Conglomerates,39810.76,Large,35340.0,-2.28,34529.88,33012.69,51.06,Bearish,Bullish,1.15,12.71,-4.6,12.04,-13.96,0.8342,0.273,30.43,2.67,38030.0,28730.0,-7.07,23.01,-22.25,12.04,9.61,9.74,Bull,Correcting,132,8.0,-3.09,-0.15,0.97,Stable,Golden Cross,32,-0.07,9.65,1.21,13.19,91.1,65.6,1.39,"3M India Limited manufactures and trades in various products in India and internationally. It operates in four segments: Safety & Industrial; Transportation & Electronics; Health Care; and Consumer. The company offers vinyl, polyester, foil, and specialty industrial tapes and adhesives, such as masking tapes, and filament and packaging tapes; functional and decorative graphics; abrasion-resistant films; and other specialty materials. In addition, the company offers medical and surgical supplies; medical devices; skin and wound care, as well as infection prevention products and solutions; drug delivery systems; dental and orthodontic products; and food safety products. Further, it provides home and office tapes, and packaging protection platforms; note pads, dispensers, flagging solution, and labels; and stain protection products. The company sells its products under the Command, Littmann, Nexcare, Post-it, Scotch-Brite, and Scotch brands for the automotive, commercial solutions, consumer markets, design and construction, electronics, energy, health care, manufacturing, safety, and transportation industries. It also exports its products. The company was incorporated in 1987 and is based in Bengaluru, India. 3M India Limited operates as a subsidiary of 3M Company.",none,,36726.0,36726.0,36726.0,1.0
IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited,Consumer Cyclical,Travel Services,39800.0,Large,497.5,-1.38,512.06,575.05,42.59,Bullish,Bullish,0.11,-7.17,-21.36,-30.61,25.13,1.0852,0.171,21.71,1.99,739.0,485.3,-32.68,2.51,-33.18,-30.61,-6.02,2.85,Strong Bear,Damaged,235,4.0,2.5,-0.98,1.15,Stable,Death Cross,472,-1.19,-11.25,-16.38,-29.8,96.5,140.6,0.69,"Indian Railway Catering & Tourism Corporation Limited engages in the provision of catering and hospitality, Internet ticketing, travel and tourism, and packaged drinking water services in India. The company operates through four segments: Catering & Hospitality, Travel & Tourism, Internet Ticketing, and Packaged Drinking Water. It provides mobile catering services for Vande Bharat, Rajdhani, Shatabdi, Duronto, Gatiman, Tejas, and mail/express trains as well as engages in the side vending and e-catering activities; and operates and maintains food plazas, fast food units, food courts, refreshment rooms, mini stores, base kitchens, executive lounges, retiring rooms, Rail Yatri Niwas/BNR hotels, and non-railway catering units. The company also offers tourism products and services comprising domestic tour packages, inbound tourist targeted tours, mass tourism, outbound tour packages, and air ticket and corporate travel; and other tourism activities, such as event management, booking of charter trains and coaches, hill and heritage charters, saloon tours and charters, online reservation and accommodation facilities, and adventure tourism. In addition, it offers packaged drinking water under the Rail Neer name; and train ticket booking and travel insurance services, as well as operates irctctourism.com, a tourism portal. The company was incorporated in 1999 and is based in New Delhi, India.",buy,2.11111,634.25,800.0,468.0,8.0
CUPID.NS,Cupid Limited,Consumer Defensive,Household & Personal Products,39516.89,Large,293.88,-0.33,211.81,132.32,84.12,Bullish,Bullish,35.57,144.17,237.83,774.9,-17.29,0.8537,0.288,56.43,4.03,299.0,32.87,-1.71,794.12,-28.25,774.9,361.25,161.77,Strong Bull,At High,0,11.0,-12.49,4.21,0.99,Stable,Golden Cross,322,34.27,140.1,242.81,775.71,212.4,-93.5,-2.27,"Cupid Limited designs, manufactures, markets, and exports male and female condoms in India. The company offers water based lubricant jellies; in vitro diagnostic kits, including rapid diagnostic, viral transport medium, typhoid antibody, syphilis antibody, HIV 1 and 2 kit antibody, dengue IgG/IgM, malaria Pf-Pv and Pf-PAN antigen, hepatitis B (HbsAg) antigen, hepatitis C (HCV) antibody, pregnancy detection testing kit, LH ovulation testing kit, and dengue NS1 testing kit; and personal care products including deodorants, perfumes, toilet sanitizers, menstrual cups, petroleum jelly, hair and body oils, and hair removal sprays. It also exports its products to countries in Africa, Europe, Asia-Pacific, North America, Middle East, and South America. The company was formerly known as Cupid Condom Limited and changed its name to Cupid Limited in January 2006. The company was incorporated in 1993 and is based in Nashik, India.",none,,,,,
HSCL.NS,Himadri Speciality Chemical Limited,Basic Materials,Specialty Chemicals,39409.77,Large,781.05,0.37,708.48,585.19,61.82,Bearish,Bullish,14.6,41.81,71.78,74.05,-29.74,0.9147,0.264,33.6,3.35,819.5,418.5,-4.69,86.63,-13.51,74.05,78.15,70.07,Strong Bull,Recovering,17,7.0,0.66,2.14,0.92,Stable,Golden Cross,81,13.41,38.96,76.95,75.5,128.0,54.0,2.37,"Himadri Speciality Chemical Limited manufactures and sells carbon materials and chemicals in India and internationally. The company operates through Carbon Materials and Chemicals and Power segments. It offers anode materials, LFP cathodes, and recycling materials. The company also provides SDS, TDS, ASTM, lithium mining and refining, and carbon black; tyre, MRG, plastics, ink, and coatings; refined naphthalene, coal tar pitch, specialty oils, clean energy, and anti-corrosion products. It serves lithium-ion batteries, paints, plastics, tyres, technical rubber goods, aluminium, graphite electrodes, agrochemicals, defence, and construction chemicals industries. Himadri Speciality Chemical Limited was formerly known as Himadri Chemicals & Industries Limited and changed its name to Himadri Speciality Chemical Limited in July 2016. The company was incorporated in 1987 and is based in Kolkata, India.",none,3.0,720.0,720.0,720.0,1.0
COCHINSHIP.NS,Cochin Shipyard Limited,Industrials,Aerospace & Defense,39370.04,Large,1496.5,-0.7,1459.51,1526.86,59.16,Bullish,Bullish,6.37,0.46,-0.26,-9.31,-47.24,1.3826,0.582,37.07,2.3,1979.9,1187.0,-24.42,26.07,-37.79,-9.31,65.28,53.62,Strong Bear,Damaged,230,5.0,6.22,-0.01,0.82,Falling,Death Cross,175,5.15,-2.59,5.54,-8.16,129.1,136.6,0.95,"Cochin Shipyard Limited, together with its subsidiaries, engages in the building and repair of ships and offshore structures in India and internationally. It operates through two segments, Shipbuilding and Ship Repair. The company offers shipbuilding products, including aircraft carriers, missile vessels, anti-submarine warfare shallow water crafts, technology demonstration vessels, floating border outpost vessels, fast patrol vessels, hydrographic survey vessels, offshore patrol vessels, and pollution control vessels for the defence market; oil tankers, bulk carriers, dredgers, pax vessels, tugs, special purpose vessels, deck cargo/jacket launch barges, electric autonomous vessels and passenger ferries, ro-pax vessels, specialised fishing vessels, marine ambulances, zero emission feeder container vessels, and commissioning and hybrid operation vessels for the commercial market; and platform supply vessels and anchor handling/tug supply vessels for the offshore market, as well as product carriers, high bollard pull tugs, air defence ships, and other vessels. It also provides ship repair services, such as maintenance and repair of aircraft carriers and other defense vessels, as well as tankers, bulk carriers, and other commercial and specialized vessels; oil rig upgradation, repair projects, and conversion services; and upgradation of ships for oil exploration, periodical maintenance, and life extension services. In addition, the company offers marine engineering training services. The company exports its products in the United Arab Emirates, Bahamas, Cyprus, Germany, Saudi Arabia, the Netherlands, Norway, the United States, and Liberia. Cochin Shipyard Limited was founded in 1969 and is based in Ernakulam, India.",none,2.75,1455.75,1750.0,830.0,4.0
PATANJALI.NS,Patanjali Foods Limited,Consumer Defensive,Packaged Foods,38293.37,Large,352.0,-0.52,383.1,461.65,37.58,Bullish,Bearish,1.37,-25.28,-32.46,-40.32,-18.68,0.7652,-0.175,25.51,2.87,615.0,328.2,-42.76,7.25,-44.48,-40.32,-6.52,-0.81,Strong Bear,Damaged,205,3.0,9.8,-1.27,0.61,Falling,Death Cross,187,0.15,-28.34,-26.66,-39.17,15.6,81.6,0.19,"Patanjali Foods Limited engages in the processing of oil seeds and refining crude oil for edible use in India and internationally. The company operates through Edible Oils, Food & FMCG, Home & Personal Care, and Wind Power Generation segments. The company offers crude and refined oil; vanaspati, bakery fats, seed extractions, and other related products; mustard, soyabean, sunflower, rice bran, sesame, groundnut, and roasted/virgin coconut oil; palm, castor, and soya derivatives, as well as refined glycerine; and soya value-added products, such as soya flakes, lecithin, textured vegetable protein, grits, flour, TSP, and meal. It also provides crude palm oil; palm kernel oil; palm kernel cake for animal feed and renewable by-products, including shells and fibres; food products comprising dry fruits, ghee, honey, flour, kesar, sugar, salt, juices, fruit beverages/drinks, sharbat, roasted diet, herbal products, rice, pulses, spices, and namkeen products; nutraceuticals, biscuits and confectionery, breakfast cereals, candy, jam, murabba, ketchup, chawanprash, badam and musli pak, noodles, pickles, sauces, sweets, tea products; home, skin, dental, and hair care products; soya chunks and granules, nutrela maxxs millet and nuts. In addition, the company generates electricity from windmills; sports nutrition, nutritional drinks, health supplements, healthy aging, plant-based, and weight gainer products, and trading of various products. It sells its products under the Patanjali, Tulsi, Ruchi No. 1, Dant Kanti, Kesh Kanti, Neem Kanti, Neem Tulsi, Saundarya, Nutrela, Mahakosh, Doodh, Sunrich, Patanjali, Soyumm, Ruchi star, and Ruchi Gold brands. Additionally, it engages in the oil palm plantation activities. The company was formerly known as Ruchi Soya Industries Limited and changed its name to Patanjali Foods Limited in June 2022. Patanjali Foods Limited was incorporated in 1986 and is based in Indore, India.",none,,588.75,695.0,500.0,4.0
MEDANTA.NS,Global Health Limited,Healthcare,Medical Care Facilities,38227.94,Large,1422.6,0.9,1347.14,1242.43,55.86,Bearish,Bullish,6.82,14.73,24.16,0.03,48.2,0.8222,0.14,28.93,3.11,1491.0,956.0,-4.59,48.81,-32.66,0.03,25.78,,Strong Bull,Recovering,2,6.0,1.91,0.84,1.14,Stable,Golden Cross,46,5.61,11.67,29.96,1.18,84.4,70.6,1.2,"Global Health Limited, together with its subsidiaries, provides healthcare services in India. The company offers treatments in the areas of digestive and hepatobiliary sciences, cardiac and cancer care, neurosciences, gastrosciences, orthopaedics, renal care, liver transplant, lung transplant, bone marrow transplant, chest surgery, gynaecology and gynaeoncology, paediatric care, obstetrics, emergency, ENT, head and neck surgery, internal medicine, respiratory and sleep medicine, peripheral vascular and endovascular sciences, endocrinology and diabetes, rheumatology and immunology, radiology and imaging, ophthalmology, critical care, dermatology, dentistry, and dietetics and nutrition, as well as plastic, aesthetic, and reconstructive surgery. It also provides second opinion, lab tests and diagnostics, homecare and elder care services, telemedicine and air ambulance services, and e-ICU services, and health plans checkup. In addition, the company is involved in trading of pharmacy and other medical consumables; and medical and healthcare education activities. The company operates a network of hospitals under the Medanta brand. Global Health Limited was incorporated in 2004 and is based in Gurugram, India.",buy,1.55556,1583.7222,1799.0,1410.0,18.0
NLCINDIA.NS,NLC India Limited,Utilities,Utilities - Regulated Electric,38187.97,Large,275.4,0.38,302.86,286.61,31.45,Bearish,Bearish,-9.6,-25.75,4.97,20.1,-41.24,0.762,0.511,36.82,3.21,387.8,222.0,-28.98,24.05,-26.03,20.1,35.13,39.12,Bear,Damaged,65,7.0,-1.02,0.13,0.95,Stable,Golden Cross,241,-10.24,-29.97,10.44,21.72,96.2,63.7,1.51,"NLC India Limited engages in the mining and power generation business in India. The company mines for lignite and coal; and generates power through lignite and coal, as well as through thermal, solar, and wind power plants. It also operates open cast lignite mines with a mining capacity of 28.0 million tonnes per annum (MTPA) in Tamil Nadu and 30.10 MTPA in Rajasthan; and has total coal mining capacity of 20.00 MTPA. In addition, it provides consultancy services to the mining sector and firms in the solar power generation sector. Further, the company has a total installed thermal power generation capacity of 5,300 MW; and renewable energy generation capacity of 1,483.89 MW. It serves state distribution firms, commercial enterprises, and industrial consumers. The company was formerly known as Neyveli Lignite Corporation Limited and changed its name to NLC India Limited in April 2016. The company was incorporated in 1956 and is based in Cuddalore, India.",strong_buy,1.0,390.0,390.0,390.0,1.0
HUDCO.NS,Housing and Urban Development Corporation Limited,Financial Services,Credit Services,38034.1,Large,189.99,-2.02,200.76,203.28,36.01,Bearish,Bearish,-5.65,-5.4,-4.64,-6.56,-20.67,1.3887,0.837,31.94,2.55,246.85,159.0,-23.03,19.49,-33.45,-6.56,49.19,35.75,Strong Bear,Damaged,192,5.0,-3.85,-0.15,1.1,Stable,Death Cross,15,-6.87,-8.45,1.16,-5.41,137.5,140.6,0.98,"Housing and Urban Development Corporation Limited provides loans and financing for housing and urban development projects in India. The company offers term loans for state government agencies and their parastatals, such as development authorities, housing boards, urban local bodies, water supply, sewerage boards, and roads and bridges development corporations, as well as implementing agencies comprising state government bodies, co-operative societies, corporate borrowers, joint sectors, and retail. It also provides financing for infrastructure projects in the sectors of water supply; sewerage; drainage; solid waste management; roads and transport; power generation, transmission, distribution, and renovation; emerging sector; smart city; and social infrastructure projects, as well as commercial infrastructure projects, including office buildings spaces, business/trade centres, shopping malls, market complexes, theatres/multiplexes/entertainment centres, hotels, guest houses, terminal markets, multilevel parking, tourist centres, etc. In addition, the company offers research and training services, such as training capacity; research facilitation; partnership and networking; and documentation, dissemination, and publication. The company was incorporated in 1970 and is headquartered in New Delhi, India.",none,1.0,255.0,255.0,255.0,1.0
KPRMILL.NS,K.P.R. Mill Limited,Consumer Cyclical,Textile Manufacturing,38020.0,Large,1110.0,2.33,1074.01,1007.57,57.99,Bullish,Bearish,-2.4,21.99,22.93,13.28,-77.71,0.9118,0.283,41.76,3.26,1334.0,796.1,-16.79,39.43,-28.6,13.28,20.88,25.9,Strong Bull,Correcting,36,8.0,-9.73,0.55,0.63,Falling,Golden Cross,46,-3.59,19.14,28.1,14.72,74.5,52.9,1.41,"K.P.R. Mill Limited operates as an integrated apparel manufacturing company in India and internationally. It operates through three segments: Textile, Sugar, and Others. The company offers textile products, such as compact, cotton combed, carded, polyester cotton, viscose, grindel yarn, red label yarn, colour melange, slub yarn, cotton, poly cotton, melange, BCI, organic, and CMIA REEL yarns; knitted cotton fabrics and readymade knitted apparel; and readymade garments comprising casual, sports, active, sleep, and work wear for men, women, and children. It also produces sugar; ethanol; green energy through co-gen power; and wind power; and acts as a dealer for cars. The company offers its products under FASO brand name. K.P.R. Mill Limited was founded in 1984 and is based in Coimbatore, India.",strong_buy,1.45455,1171.5454,1380.0,1021.0,11.0
