Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio,Description,Analyst Recommendation,Analyst Score,Target Mean Price,Target High Price,Target Low Price,No. of Analysts
RTNPOWER.NS,RattanIndia Power Limited,Utilities,Utilities - Independent Power Producers,4924.39,Small,9.17,1.44,9.31,9.77,45.53,Bearish,Bearish,-4.78,10.48,-1.19,-34.96,-22.44,1.3116,0.437,36.12,3.03,16.92,7.52,-45.8,21.94,-53.42,-34.96,31.86,Strong Bear,Damaged,254,2.0,-8.27,-0.03,0.69,Falling,Death Cross,195,-7.44,7.48,7.09,107.8,146.1,0.74,"RattanIndia Power Limited, together with its subsidiary, Poena Power Development Limited, engages in power generation, distribution, trading and transmission, and other ancillary and incidental activities in India. It generates electricity through coal-based thermal power plants with an installed capacity of 2,700 MW located in Amravati and Nasik cities. The company also trades electricity in the open market. The company was formerly known as Indiabulls Power Limited and changed its name to RattanIndia Power Limited in October 2014. RattanIndia Power Limited was incorporated in 2007 and is based in New Delhi, India.",none,,,,,
EMIL.NS,Electronics Mart India Limited,Consumer Cyclical,Specialty Retail,4917.86,Small,127.82,5.0,113.66,115.87,65.95,Bullish,Bullish,12.28,45.09,23.74,-13.21,2.95,1.525,0.529,42.73,4.13,168.5,84.9,-24.14,50.55,-47.62,-13.21,18.28,Bull,Damaged,201,6.0,-2.75,0.56,0.98,Stable,Death Cross,425,9.61,42.08,32.01,162.1,161.8,1.0,"Electronics Mart India Limited engages in the sale of consumer electronics and durable products in India. The company offers large appliances, which include televisions, washing machines, air conditioners, and refrigerators; mobiles, such as smartphones, fitness trackers, and tablets; and small appliances, IT & others, including laptops, printers, geysers, coolers, miscellaneous electronics, personal computer, cables, screen guards, headphones, bluetooth speakers, ceiling fans, personal care devices, kitchen hobs, chimneys, water purifiers, rice cookers, and mixer grinders. The company sells its products through retail stores and online platforms under the Bajaj Electronics, iQ, Kitchen Stories, Audio & Beyond, Electronics Mart, and Easy Kitchens brands. Electronics Mart India Limited was founded in 1980 and is based in Hyderabad, India.",none,,147.7143,172.0,116.0,7.0
RENUKA.NS,Shree Renuka Sugars Limited,Consumer Defensive,Confectioners,4895.53,Small,23.0,3.93,23.88,26.52,48.72,Bullish,Bearish,1.28,-16.36,-11.06,-30.58,-4.8,0.5818,-0.337,33.44,3.38,34.07,21.05,-32.49,9.26,-35.47,-30.58,-19.26,Strong Bear,Damaged,256,4.0,6.73,-0.33,1.18,Rising,Death Cross,438,-1.39,-19.36,-2.78,65.1,95.1,0.68,"Shree Renuka Sugars Limited manufactures and refines sugar in India and internationally. The company operates through Sugar-Milling, Sugar-Refinery, Trading, Co-Generation, Distillery, Engineering, and Other segments. The company offers white/refined sugar under the Madhur Pure & Hygienic Sugar brand for the beverages, biscuit and snack, and confectionary companies; ethyl alcohol and ethanol for the oil marketing, potable alcohol, and chemical industries; and engineering, procurement, and construction plant solutions for the fermentation and distillation industries. The company also generates and sells power from bagasse, a sugarcane by product for state grids. In addition, the company exports its products. The company was incorporated in 1995 and is headquartered in Mumbai, India. Shree Renuka Sugars Limited is a subsidiary of Wilmar Sugar and Energy Pte. Ltd.",none,,,,,
INDIGOPNTS.NS,Indigo Paints Limited,Basic Materials,Specialty Chemicals,4876.74,Small,1022.9,0.75,971.22,1011.51,58.62,Bearish,Bullish,4.7,36.47,-9.23,-11.99,-63.75,1.2243,0.521,34.71,3.21,1345.9,708.05,-24.0,44.47,-46.4,-11.99,-10.06,Bear,Damaged,160,5.0,-7.46,-0.27,0.9,Stable,Death Cross,109,2.03,33.47,-0.95,106.5,110.6,0.96,"Indigo Paints Limited manufactures and sells decorative paints in India and internationally. The company offers interior and exterior emulsions, enamels, putties and primers, and sleek wood coatings, as well as other products, including leakproof emulsions; aluminium paints, stone and tiles paints, roof paints, stainers, interior lustre finish under the Indigo brand. The company was incorporated in 2000 and is headquartered in Pune, India.",none,,1188.75,1440.0,900.0,8.0
MASTEK.NS,Mastek Limited,Technology,Information Technology Services,4860.92,Small,1568.0,-1.77,1625.78,1861.49,43.06,Bearish,Bullish,-9.25,7.16,-25.38,-35.45,-50.04,1.2674,0.179,35.96,3.18,2818.0,1334.2,-44.36,17.52,-49.2,-35.45,-6.52,Strong Bear,Damaged,246,4.0,-11.64,-0.71,0.71,Falling,Death Cross,359,-11.92,4.15,-17.1,95.2,139.2,0.68,"Mastek Limited, together with its subsidiaries, engages in the provision of enterprise technology solutions in India, the United Kingdom, Europe, North America, Middle East region, South-east Asia, India, Singapore, Australia, and internationally. The company offers digital and application engineering, including cloud engineering and migration, enterprise integration, low code, quality engineering, and DevSecOps. It also provides oracle cloud and enterprise apps, such as E-business suite, consulting services, analytics cloud and infrastructure, autonomous data warehouse, Cloud Applications, Cloud Applications, Value Based Analytics, PeopleSoft to Cloud Migration. In addition, the company offers digital commerce and experience solutions comprising commerce, experience platform, search and intelligent recommendation, and modern UI/UX solutions. Further, the company provides data, automation, and artificial intelligence solutions, such as data management and governance, data warehousing, reporting, datalakes, cloud data warehouse, data virtualization, analytics/machine learning, and hyper automation, as well as extract, transform and load (ETL) solutions. Additionally, it offers cloud enhancement, software application development and maintenance, business intelligence, testing and assurance, digital commerce, agile consulting, and legacy modernization services. It serves government, public sector, healthcare, life science, retail, consumer, manufacturing and technology, financial services, higher education, construction and engineering, hospitality, transportation and logistics, high tech, and media and entertainment industries. Mastek Limited was incorporated in 1982 and is based in Mumbai, India.",none,,2002.0,2250.0,1600.0,5.0
SUNTECK.NS,Sunteck Realty Limited,Real Estate,Real Estate - Development,4797.33,Small,326.7,5.13,313.74,361.34,59.84,Bullish,Bullish,13.38,10.71,-18.98,-25.84,-22.49,1.8113,0.591,40.55,3.76,473.0,270.75,-30.93,20.66,-40.99,-25.84,4.96,Strong Bear,Damaged,171,7.0,9.81,-0.47,0.93,Stable,Death Cross,384,10.71,7.71,-10.71,164.8,183.7,0.9,"Sunteck Realty Limited, together with its subsidiaries, engages in real estate construction and development business in India. The company develops luxury residential, homes, office spaces, retail hubs, and mixed-use properties under the Signature Island, Signia Isles, Signia Pearl, Sunteck Crescent Park, Sunteck Sky Park, Sunteck City, Sunteck World, and Sunteck Beach Residence names. It also leases real estate properties; and provides incidental services. Sunteck Realty Limited was incorporated in 1981 and is based in Mumbai, India.",strong_buy,1.08333,516.8333,610.0,425.0,12.0
DATAMATICS.NS,Datamatics Global Services Limited,Technology,Information Technology Services,4764.86,Small,806.15,-0.24,776.52,765.46,55.19,Bearish,Bullish,0.69,26.5,-2.36,30.45,-44.43,1.3103,-0.007,46.96,3.5,1120.0,616.15,-28.02,30.84,-40.88,30.45,14.72,Bear,Damaged,234,6.0,-8.14,-0.05,0.82,Falling,Golden Cross,11,-1.98,23.5,5.92,146.8,88.1,1.67,"Datamatics Global Services Limited engages in the provision of intelligent solutions across digital technology solutions, business process management, and engineering services in India, the United States, the United Kingdom, Europe, and internationally. The company operates through three segments: Digital Operations, Digital Technologies, and Digital Experiences. It offers TruBot, a robotic processing automation solution; TruCap+, an AI-enabled data capture solution; TruBI, a business intelligence and data visualization solution; TrueAI, an artificial intelligence and cognitive sciences platform; TruFare, an automated fare collection solution; Datamatics Digital Workplace Solution offers cloud-based, paperless digital e-office solutions; TruDiscovery, the enterprise search solution; and Datamatics FINATO, a digital platform for end-to-end CFO back-office automation. It serves banking and finance, credit rating, healthcare, transportation, insurance, manufacturing and logistics, travel and hospitality, retail, market research, education technology, and international organizations. The company was formerly known as Datamatics Technologies Limited and changed its name to Datamatics Global Services Limited in January 2009. The company was founded in 1975 and is based in Mumbai, India.",none,,920.0,920.0,920.0,1.0
OSWALPUMPS.NS,OSWAL PUMPS LIMITED,Industrials,Electrical Equipment & Parts,4760.84,Small,417.6,-1.36,398.47,464.7,54.79,Bullish,Bullish,17.17,43.85,-23.09,-36.51,54.1,1.7635,1.9466,45.77,4.16,888.4,283.1,-52.99,47.51,-66.83,-36.51,,Strong Bear,Damaged,223,4.0,2.55,-0.5,1.08,Stable,Death Cross,154,14.51,40.85,-14.82,151.6,183.1,0.83,"Oswal Pumps Limited manufactures and sells solar pumps in India. The company offers solar-powered and grid-connected submersible and monoblock pumps, electric motors, and solar modules under the Oswal brand. It serves agricultural, residential, commercial, and industrial sectors. It also exports its products to Australia, Egypt, Iraq, Italy, Lebanon, Libya, Nepal, Saudi Arabia, the United Arab Emirates, and Yemen. The company was incorporated in 2003 and is headquartered in Karnal, India.",none,,457.66666,530.0,393.0,3.0
AURIONPRO.NS,Aurionpro Solutions Limited,Technology,Software - Application,4729.31,Small,856.55,-0.08,839.96,980.42,53.53,Bullish,Bullish,10.33,18.19,-22.23,-35.51,17.22,1.4951,-0.339,45.48,4.06,1665.9,719.6,-48.58,19.03,-55.64,-35.51,27.99,Strong Bear,Damaged,251,3.0,4.27,-0.49,0.91,Stable,Death Cross,240,7.66,15.19,-13.95,116.2,151.2,0.77,"Aurionpro Solutions Limited provides technology solutions in India, Asia-Pacific, and internationally. It operates through Sale of Software Services, and Sale of Equipment and Product License segments. The company offers Arya.ai, an enterprise solutions specializing in banking and financial services; and AryaXAI to deliver accurate, true-to-model explainability, monitoring, risk management, and alignment techniques, as well as operates AryaXAI AI alignment labs. It also provides Murex Services, a managed services provide specialized capital markets solutions; Fenixys for delivering complex front-to-back transformations; FX Connect; iCashpro a next-generation transaction banking platform; Fintra for disruptive trade finance solutions; AuroDigi, a digital banking platform for wholesale banking services; and Aurobees, an integrated supply chain and financing platforms. In addition, the company offers data center solutions and services, such as engineering, construction, products and solutions, and various support services; hybrid cloud services, including devops automation, cloud and hosting, managed cloud, monitoring, network security, server management, and helpdesk services; and integro corporate lending solutions, comprising loan origination system, financial analysis, limits management system, collateral management system, trade limit, early warning system, and document management system; and phygital customer experience. Further, it offers G to G Solutions, E-governance public, and smart city services. Aurionpro Solutions Limited was incorporated in 1997 and is headquartered in Navi Mumbai, India.",none,,1095.0,1250.0,940.0,2.0
RAYMONDLSL.NS,Raymond Lifestyle Limited,Consumer Cyclical,Apparel Manufacturing,4706.49,Small,772.75,-1.62,787.39,949.0,46.89,Bearish,Bullish,2.36,2.26,-23.23,-29.01,-36.04,1.5102,1.3891,46.03,3.58,1366.0,696.25,-43.43,10.99,-46.88,-29.01,,Strong Bear,Damaged,205,5.0,1.61,-0.5,1.01,Stable,Death Cross,473,-0.3,-0.74,-14.95,154.5,175.2,0.88,"Raymond Lifestyle Limited manufactures and sells branded apparel in India. The company offers branded apparel under the Raymond, Park Avenue, ColorPlus, Parx, and Ethnix by Raymond brands; suiting fabric under Raymond Fine Fabrics brand; cotton and linen shirting, and bottom-weight textiles; and garments, including suits, formal blazers, jackets, formal trousers, pieces of denim, and shirts under Raymond Ready-to-Wear brand. It also provides bedsheets, towels, and comforters under the Raymond Home brand name; and tailoring services. In addition, the company retails fashion, casual, and ethnic apparel, as well as manufactures jeans. It exports its products to the United States, the United Kingdom, Europe, and internationally. Raymond Lifestyle Limited was founded in 1925 and is headquartered in Mumbai, India.",none,,1098.5,1137.0,1060.0,2.0
