Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1979936.09,Large,1463.1,2.26,1388.72,1416.39,66.03,Bullish,Bullish,8.87,5.98,-1.41,12.96,10.46,0.9551,0.244,20.81,2.31,1611.8,1290.0,-9.23,13.42,-18.07,12.96,11.03,Bull,Correcting,87,7.0,6.88,-0.07,1.13,Stable,Death Cross,37,0.86,10.18,5.08,118.2,101.2,1.17
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1199919.7,Large,779.4,1.0,823.16,900.22,44.05,Bullish,Bearish,6.54,-15.87,-22.29,-17.34,-23.15,1.1518,0.481,18.6,2.48,1020.5,726.65,-23.63,7.26,-27.78,-17.34,-0.94,Strong Bear,Damaged,198,6.0,11.83,-1.2,1.02,Stable,Death Cross,57,-1.47,-11.67,-15.79,96.8,121.1,0.8
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1112972.83,Large,1827.1,-3.16,1874.05,1912.8,45.76,Bullish,Bearish,2.51,-7.41,-12.16,1.39,-17.37,0.6581,0.043,18.62,2.31,2174.5,1746.9,-15.98,4.59,-17.61,1.39,34.44,Strong Bear,Correcting,117,5.0,4.98,-0.65,0.92,Stable,Death Cross,30,-5.5,-3.22,-5.67,81.2,78.4,1.04
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,986199.25,Large,1068.4,-0.0,1078.77,988.57,46.63,Bullish,Bullish,9.09,1.45,15.78,36.46,2.01,0.9447,0.471,20.76,2.48,1234.7,755.5,-13.47,41.42,-20.23,36.46,28.88,Strong Bull,Correcting,50,9.0,8.61,0.76,0.67,Falling,Golden Cross,255,1.08,5.64,22.28,115.8,73.9,1.57
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,910714.99,Large,1270.8,0.59,1316.54,1347.44,42.09,Bearish,Bearish,5.38,-6.65,-7.75,-8.84,4.31,0.9203,0.28,18.35,2.31,1500.0,1187.6,-15.28,7.01,-18.37,-8.84,14.17,Strong Bear,Correcting,203,6.0,7.6,-0.42,1.16,Rising,Death Cross,37,-2.62,-2.46,-1.26,79.3,90.6,0.88
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,879665.61,Large,2431.3,-1.72,2576.02,2917.08,42.23,Bearish,Bearish,3.07,-23.01,-19.75,-27.05,13.45,0.8384,0.289,22.22,2.67,3630.5,2346.2,-33.03,3.63,-32.68,-27.05,-6.37,Strong Bear,Damaged,255,6.0,10.74,-0.89,1.03,Stable,Death Cross,309,-4.94,-18.82,-13.26,71.3,110.7,0.64
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,590822.61,Large,950.2,1.41,919.04,935.6,60.74,Bullish,Bullish,18.55,3.88,-12.38,4.92,-12.58,1.4072,0.407,29.19,2.97,1102.5,787.9,-13.81,20.6,-26.74,4.92,17.61,Bear,Correcting,137,6.0,17.26,-0.42,0.82,Falling,Death Cross,30,10.54,8.08,-5.88,139.0,129.2,1.08
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,564119.21,Large,4100.8,2.16,3931.13,3846.33,58.53,Bullish,Bullish,17.03,8.26,4.51,26.5,-31.93,1.3521,0.493,24.57,2.67,4440.0,3284.1,-7.64,24.87,-24.35,26.5,22.87,Strong Bull,Recovering,50,8.0,14.28,0.18,0.88,Stable,Golden Cross,242,9.02,12.46,11.01,143.2,110.5,1.3
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,542591.1,Large,2309.3,2.59,2240.77,2331.83,57.95,Bullish,Bullish,12.36,-3.82,-7.34,0.85,20.47,0.6325,0.402,20.07,3.07,2750.0,2022.5,-16.03,14.18,-23.18,0.85,-1.66,Strong Bear,Correcting,179,6.0,13.63,-0.37,1.12,Stable,Death Cross,102,4.36,0.38,-0.84,63.1,60.4,1.04
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,507264.79,Large,802.0,0.51,810.94,845.98,48.52,Bearish,Bullish,10.52,-0.72,-10.66,2.71,27.29,1.0829,0.567,24.61,2.2,980.0,721.5,-18.16,11.16,-24.42,2.71,14.39,Strong Bear,Correcting,220,5.0,10.76,-0.43,0.91,Stable,Death Cross,97,2.52,3.48,-4.16,90.8,84.8,1.07
