Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1848265.15,Large,1365.8,2.86,1381.87,1415.95,50.93,Bullish,Bearish,-2.98,-2.02,-6.89,5.85,13.0,0.9466,0.22,20.47,2.3,1611.8,1290.0,-15.26,5.88,-18.07,5.85,10.22,Strong Bear,Correcting,82,7.0,-2.31,-0.34,1.27,Rising,Death Cross,32,-10.0,2.49,-0.6,113.0,103.8,1.09
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1215900.63,Large,789.8,0.63,830.99,905.2,45.96,Bullish,Bearish,6.13,-15.18,-21.25,-16.92,6.0,1.1426,0.487,18.72,2.63,1020.5,726.65,-22.61,8.69,-27.78,-16.92,1.11,Strong Bear,Damaged,193,6.0,11.19,-1.14,1.2,Rising,Death Cross,52,-0.88,-10.67,-14.96,96.4,119.5,0.81
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1108708.79,Large,1820.1,0.31,1876.28,1914.9,43.89,Bullish,Bearish,1.35,-8.81,-11.28,-2.55,3.43,0.6763,0.017,18.45,2.09,2174.5,1746.9,-16.3,4.19,-17.61,-2.55,35.6,Strong Bear,Correcting,112,5.0,4.29,-0.61,0.95,Stable,Death Cross,25,-5.67,-4.3,-4.99,82.6,84.6,0.98
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,1026306.24,Large,1111.85,0.98,1078.84,984.89,58.38,Bullish,Bullish,7.75,7.28,22.52,38.87,25.17,0.9419,0.459,20.72,2.48,1234.7,755.5,-9.95,47.17,-20.23,38.87,31.54,Strong Bull,Recovering,45,10.0,5.32,1.09,1.0,Stable,Golden Cross,250,0.73,11.8,28.81,116.5,71.5,1.63
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,941569.76,Large,1314.1,-0.91,1323.51,1350.33,49.33,Bullish,Bullish,7.48,-4.48,-5.48,-6.07,19.52,0.9184,0.288,18.28,2.4,1500.0,1187.6,-12.39,10.65,-18.37,-6.07,16.53,Strong Bear,Correcting,198,6.0,8.97,-0.3,1.18,Rising,Death Cross,32,0.46,0.03,0.81,81.4,88.3,0.92
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,885563.12,Large,2447.6,2.12,2596.86,2935.9,43.23,Bearish,Bearish,2.68,-21.1,-17.35,-23.77,26.49,0.8435,0.272,22.38,2.76,3630.5,2346.2,-32.58,4.32,-32.68,-23.77,-5.35,Strong Bear,Damaged,250,7.0,9.71,-0.78,1.05,Stable,Death Cross,304,-4.34,-16.59,-11.06,75.9,109.1,0.7
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,573022.72,Large,921.8,0.03,916.16,935.62,54.19,Bullish,Bullish,13.44,-1.22,-14.73,0.01,15.78,1.4186,0.314,29.22,3.07,1102.5,787.9,-16.39,16.99,-26.74,0.01,18.5,Strong Bear,Correcting,132,6.0,13.85,-0.5,1.12,Stable,Death Cross,25,6.42,3.3,-8.44,137.7,133.4,1.03
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,557626.27,Large,4053.6,0.98,3908.3,3837.52,57.84,Bullish,Bullish,21.28,6.38,4.67,24.72,-15.73,1.3407,0.425,24.41,2.8,4440.0,3254.8,-8.7,24.54,-24.35,24.72,24.76,Strong Bull,Recovering,45,8.0,19.15,0.19,0.96,Stable,Golden Cross,237,14.26,10.9,10.96,140.1,108.5,1.29
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,547055.36,Large,2328.3,0.04,2232.05,2333.49,63.85,Bullish,Bullish,13.45,-2.14,-9.55,0.86,27.16,0.6179,0.359,20.16,2.63,2750.0,2022.5,-15.33,15.12,-23.18,0.86,-0.94,Strong Bear,Correcting,174,6.0,14.16,-0.47,1.15,Stable,Death Cross,97,6.44,2.38,-3.26,62.7,59.5,1.05
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,518333.56,Large,819.5,1.04,811.58,847.55,54.78,Bullish,Bullish,10.74,1.28,-8.11,1.57,94.43,1.0933,0.545,24.72,2.36,980.0,721.5,-16.38,13.58,-24.42,1.57,16.55,Strong Bear,Correcting,215,5.0,10.31,-0.33,1.13,Stable,Death Cross,92,3.72,5.8,-1.82,92.0,86.8,1.06
INFY.NS,Infosys Limited,Technology,Information Technology Services,473578.18,Large,1170.3,1.36,1327.59,1462.03,30.95,Bearish,Bearish,-6.88,-29.45,-18.67,-16.96,14.25,0.8977,0.198,26.25,3.38,1728.0,1152.2,-32.27,1.57,-31.67,-16.96,-2.66,Strong Bear,Damaged,72,6.0,2.94,-0.71,1.1,Stable,Death Cross,49,-13.9,-24.94,-12.38,94.9,115.8,0.82
ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,420502.78,Large,218.05,2.42,168.25,145.7,87.06,Bullish,Bullish,47.48,58.6,28.04,91.59,130.94,1.0842,0.154,42.69,3.62,222.16,101.0,-1.85,115.89,-22.15,91.59,81.45,Strong Bull,At High,0,9.0,27.95,0.66,0.79,Falling,Golden Cross,217,40.46,63.12,34.33,157.7,61.9,2.55
