Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1709557.31,Large,1263.3,-2.15,1354.48,1395.77,28.15,Bearish,Bearish,-11.57,-8.66,-17.52,-9.34,-17.27,0.8867,0.182,20.03,2.03,1611.8,1259.2,-21.62,0.33,-20.3,-9.34,4.46,Strong Bear,Damaged,112,5.0,-8.68,-0.87,0.72,Falling,Death Cross,62,-6.62,-1.65,-5.77,103.5,107.0,0.97
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1137339.43,Large,738.65,-1.12,782.57,868.71,37.99,Bearish,Bearish,-5.4,-15.85,-26.17,-22.2,0.53,1.2265,0.432,19.18,2.14,1020.5,726.65,-27.62,1.65,-27.78,-22.2,-2.52,Strong Bear,Damaged,223,4.0,-0.12,-1.36,0.67,Falling,Death Cross,82,-0.46,-8.84,-14.42,107.6,130.5,0.82
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1104566.6,Large,1813.3,0.84,1852.96,1896.84,44.12,Bearish,Bullish,-1.16,-4.91,-13.07,-0.7,29.88,0.7167,0.016,19.4,2.07,2174.5,1740.5,-16.61,4.18,-18.77,-0.7,32.6,Strong Bear,Correcting,142,4.0,0.48,-0.67,1.02,Stable,Death Cross,55,3.79,2.09,-1.32,91.7,84.2,1.09
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,906400.52,Large,981.95,0.43,1003.91,972.37,49.03,Bullish,Bearish,-1.93,-14.52,5.11,23.44,3.7,1.0365,0.37,22.13,2.25,1234.7,781.7,-20.47,25.62,-22.11,23.44,21.71,Bull,Damaged,75,9.0,2.91,0.23,0.5,Falling,Golden Cross,280,3.02,-7.51,16.86,121.0,81.8,1.48
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,896499.45,Large,1250.2,-0.94,1276.81,1326.43,46.33,Bullish,Bearish,-1.15,-7.91,-10.15,-12.38,-11.45,0.897,0.249,18.1,1.91,1500.0,1187.6,-16.65,5.27,-18.37,-12.38,10.9,Strong Bear,Correcting,228,5.0,1.49,-0.56,0.72,Falling,Death Cross,62,3.79,-0.9,1.6,80.6,90.0,0.9
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,778395.29,Large,2151.4,-2.16,2375.73,2744.23,35.98,Bearish,Bearish,-8.93,-15.44,-30.18,-33.75,40.19,0.7982,0.227,24.39,3.21,3538.0,2143.3,-39.19,0.38,-36.39,-33.75,-9.59,Strong Bear,Damaged,254,5.0,-3.78,-1.24,1.32,Rising,Death Cross,334,-3.98,-8.43,-18.43,70.9,116.6,0.61
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,541639.21,Large,871.1,-2.06,914.52,931.32,37.85,Bearish,Bearish,-8.82,-9.49,-14.72,-2.98,19.08,1.5003,0.364,28.87,2.72,1102.5,787.9,-20.99,10.56,-26.74,-2.98,9.68,Strong Bear,Damaged,162,4.0,-5.66,-0.51,0.67,Falling,Death Cross,55,-3.87,-2.48,-2.96,140.3,130.9,1.07
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,533140.24,Large,3875.5,-1.97,3932.72,3841.53,42.08,Bearish,Bearish,-1.54,-3.1,-1.87,7.37,-39.69,1.3997,0.461,24.37,2.0,4440.0,3288.1,-12.71,17.86,-24.35,7.37,21.96,Bear,Correcting,75,7.0,-0.51,-0.08,0.51,Falling,Golden Cross,267,3.41,3.9,9.88,145.6,121.3,1.2
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,500307.33,Large,395.5,-1.1,404.44,418.54,43.0,Bearish,Bullish,-1.39,-5.04,-8.88,-15.96,94.58,1.1292,0.555,22.91,2.25,490.0,360.75,-19.29,9.63,-24.42,-15.96,12.56,Strong Bear,Correcting,245,4.0,0.29,-0.39,0.78,Falling,Death Cross,122,3.56,1.97,2.88,86.8,99.2,0.88
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,495787.28,Large,2110.1,-0.54,2206.76,2302.47,38.23,Bearish,Bearish,-7.76,-6.43,-13.8,-8.64,-2.71,0.6053,0.361,20.32,2.26,2750.0,2022.5,-23.27,4.33,-23.18,-8.64,-5.74,Strong Bear,Damaged,204,5.0,-5.62,-0.68,0.77,Falling,Death Cross,127,-2.82,0.58,-2.05,57.5,61.9,0.93
