Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1835409.19,Large,1356.3,-0.78,1381.35,1410.44,46.08,Bearish,Bearish,-0.7,-3.77,-12.45,-4.72,-12.91,0.8826,0.244,19.91,2.09,1611.8,1290.0,-15.85,5.14,-18.07,-4.72,6.67,Strong Bear,Correcting,102,6.0,0.56,-0.63,0.9,Stable,Death Cross,53,-0.76,3.61,-4.74,105.7,105.7,1.0
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1199212.02,Large,778.9,-1.01,797.02,879.94,50.52,Bullish,Bearish,-1.38,-14.93,-22.79,-18.06,-34.48,1.2179,0.481,18.92,2.19,1020.5,726.65,-23.67,7.19,-27.78,-18.06,-2.15,Strong Bear,Damaged,214,6.0,3.6,-1.2,0.74,Falling,Death Cross,73,-1.45,-7.55,-15.09,106.2,125.9,0.84
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1125033.97,Large,1846.9,-1.49,1866.27,1903.77,48.11,Bullish,Bullish,1.47,-7.13,-14.43,2.19,-7.69,0.7142,0.043,19.32,2.16,2174.5,1740.5,-15.07,6.11,-18.77,2.19,33.59,Strong Bear,Correcting,132,5.0,3.85,-0.75,1.27,Rising,Death Cross,45,1.41,0.26,-6.72,92.2,83.0,1.11
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,917028.58,Large,1279.1,-0.98,1287.5,1333.39,52.04,Bullish,Bearish,-2.66,-7.9,-7.51,-10.78,-18.26,0.9002,0.28,17.97,1.92,1500.0,1187.6,-14.73,7.7,-18.37,-10.78,12.45,Strong Bear,Correcting,219,6.0,-0.03,-0.42,0.72,Falling,Death Cross,52,-2.73,-0.52,0.19,81.5,91.2,0.89
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,893985.28,Large,968.5,-0.11,1018.82,972.68,40.85,Bearish,Bearish,-11.32,-18.23,0.45,25.26,-10.52,1.0421,0.471,22.13,2.46,1234.7,781.7,-21.56,23.9,-22.11,25.26,21.59,Bear,Damaged,65,9.0,-5.24,0.02,1.08,Stable,Golden Cross,270,-11.39,-10.84,8.15,118.1,81.4,1.45
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,823549.02,Large,2276.2,-1.39,2424.55,2789.25,38.94,Bullish,Bearish,-5.74,-13.85,-25.31,-32.3,-18.1,0.7793,0.289,21.85,2.29,3540.0,2206.4,-35.7,3.16,-34.48,-32.3,-7.99,Strong Bear,Damaged,245,6.0,-1.12,-1.16,0.81,Falling,Death Cross,325,-5.81,-6.47,-17.6,63.6,108.7,0.59
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,578386.87,Large,930.2,-1.24,923.91,934.8,52.1,Bearish,Bearish,0.91,-8.54,-9.57,1.62,-28.47,1.4852,0.407,28.67,2.57,1102.5,787.9,-15.63,18.06,-26.74,1.62,13.92,Strong Bear,Correcting,153,5.0,3.76,-0.33,0.67,Falling,Death Cross,45,0.85,-1.16,-1.86,140.8,127.2,1.11
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,555467.3,Large,4037.8,0.11,3910.54,3827.71,60.04,Bullish,Bullish,0.58,-4.75,0.99,14.66,-36.22,1.4109,0.493,24.28,2.05,4440.0,3288.1,-9.06,22.8,-24.35,14.66,21.19,Strong Bull,Correcting,65,8.0,2.16,0.04,0.52,Falling,Golden Cross,257,0.52,2.63,8.69,147.2,120.1,1.23
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,540724.06,Large,854.9,2.1,809.07,839.68,67.64,Bullish,Bullish,4.32,-1.08,-5.88,1.46,19.48,1.1245,1.295,24.17,2.21,980.0,721.5,-12.77,18.49,-24.42,1.46,16.72,Bear,Correcting,235,5.0,4.68,-0.24,0.69,Falling,Death Cross,113,4.25,6.3,1.83,92.1,83.1,1.11
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,519118.68,Large,2209.4,0.59,2243.31,2319.21,45.22,Bearish,Bullish,-5.11,-3.07,-9.02,-4.81,-36.26,0.6025,0.402,20.05,2.37,2750.0,2022.5,-19.66,9.24,-23.18,-4.81,-2.35,Strong Bear,Correcting,195,5.0,-4.09,-0.45,0.85,Stable,Death Cross,117,-5.17,4.31,-1.31,61.4,62.0,0.99
