Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1845829.3,Large,1364.0,-1.74,1396.45,1416.76,43.61,Bearish,Bearish,1.02,-5.5,-8.83,-2.6,-1.11,0.9193,0.244,20.36,2.38,1611.8,1290.0,-15.37,5.74,-18.07,-2.6,8.3,Strong Bear,Correcting,92,6.0,2.85,-0.43,0.97,Stable,Death Cross,43,2.69,3.8,0.42,104.5,102.2,1.02
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1155349.98,Large,750.45,-1.73,811.5,891.81,37.4,Bearish,Bearish,-7.39,-20.98,-23.79,-21.81,-40.79,1.1724,0.481,19.1,2.4,1020.5,726.65,-26.46,3.28,-27.78,-21.81,-2.17,Strong Bear,Damaged,204,5.0,-0.4,-1.25,0.75,Falling,Death Cross,63,-5.72,-11.68,-14.53,100.9,124.4,0.81
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1070149.82,Large,1756.8,-0.17,1858.86,1906.13,35.92,Bearish,Bearish,-6.05,-11.82,-16.14,-6.61,-14.39,0.6833,0.043,18.89,2.24,2174.5,1746.9,-19.21,0.57,-18.77,-6.61,32.77,Strong Bear,Correcting,122,5.0,-2.11,-0.85,1.05,Stable,Death Cross,35,-4.39,-2.53,-6.89,83.2,86.4,0.96
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,899615.92,Large,974.6,0.1,1068.68,992.03,31.44,Bearish,Bearish,-8.63,-9.21,1.44,28.1,-0.3,0.9836,1.0607,22.12,3.07,1234.7,779.1,-21.07,25.09,-20.7,28.1,24.01,Bear,Damaged,55,9.0,-5.56,0.07,1.08,Stable,Golden Cross,260,-6.97,0.08,10.69,118.5,79.2,1.5
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,888999.72,Large,1240.3,-2.06,1303.52,1341.77,38.11,Bearish,Bearish,-6.17,-11.19,-6.07,-12.93,-4.88,0.9206,0.28,18.61,2.14,1500.0,1187.6,-17.31,4.44,-18.37,-12.93,12.53,Strong Bear,Correcting,209,5.0,-2.44,-0.33,0.76,Falling,Death Cross,42,-4.51,-1.89,3.19,80.3,91.8,0.87
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,832268.66,Large,2300.3,-3.87,2532.98,2882.31,30.33,Bearish,Bearish,-8.87,-23.11,-22.21,-30.92,-15.01,0.8515,0.289,22.52,2.6,3623.0,2283.0,-36.51,0.76,-34.27,-30.92,-6.8,Strong Bear,Damaged,260,6.0,-1.17,-0.99,1.08,Stable,Death Cross,315,-7.21,-13.81,-12.96,71.3,112.0,0.64
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,562220.39,Large,904.2,-3.4,926.18,936.51,44.04,Bearish,Bearish,-2.2,-6.28,-13.22,1.24,-37.61,1.4284,0.407,28.94,2.9,1102.5,787.9,-17.99,14.76,-26.74,1.24,15.58,Strong Bear,Correcting,143,5.0,-0.11,-0.46,0.63,Falling,Death Cross,35,-0.54,3.02,-3.96,138.7,123.6,1.12
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,531477.56,Large,2262.0,-1.96,2252.61,2328.95,50.45,Bearish,Bullish,4.95,-3.92,-6.41,-2.83,-1.17,0.6221,0.402,20.16,2.7,2750.0,2022.5,-17.75,11.84,-23.18,-2.83,-1.9,Strong Bear,Correcting,185,6.0,6.26,-0.32,1.18,Rising,Death Cross,107,6.61,5.37,2.84,63.2,62.2,1.02
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,530526.45,Large,3856.5,-2.12,3942.52,3855.41,42.75,Bearish,Bullish,-2.61,-5.09,-0.65,17.19,-37.49,1.3278,0.493,24.72,2.55,4440.0,3288.1,-13.14,17.29,-24.35,17.19,21.36,Bear,Correcting,55,7.0,-0.91,-0.03,0.55,Falling,Golden Cross,247,-0.95,4.21,8.61,141.1,112.1,1.26
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,493824.19,Large,780.75,-2.2,808.07,842.83,40.3,Bearish,Bullish,-2.2,-7.03,-12.87,0.66,-13.99,1.0599,0.567,24.16,1.92,980.0,721.5,-20.33,8.21,-24.42,0.66,13.65,Strong Bear,Damaged,225,4.0,0.14,-0.53,0.74,Falling,Death Cross,103,-0.54,2.27,-3.62,87.6,79.3,1.1
INFY.NS,Infosys Limited,Technology,Information Technology Services,461480.29,Large,1140.3,-3.12,1270.93,1431.47,32.74,Bearish,Bearish,-11.78,-24.99,-22.25,-22.16,1.52,0.8768,0.127,26.26,2.78,1728.0,1123.0,-34.01,1.54,-32.52,-22.16,0.3,Strong Bear,Damaged,82,5.0,-3.45,-0.85,1.11,Stable,Death Cross,60,-10.11,-15.69,-13.0,89.6,113.2,0.79
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,442845.21,Large,1845.7,-1.44,1755.04,1715.98,62.51,Bullish,Bullish,11.53,8.4,10.19,4.63,71.79,0.4354,0.097,19.85,2.36,1885.8,1548.0,-2.13,19.23,-13.23,4.63,24.01,Strong Bull,Recovering,0,7.0,8.73,0.51,1.28,Rising,Golden Cross,127,13.19,17.7,19.44,66.7,58.5,1.14
MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,414131.05,Large,13172.0,-2.31,13605.4,14200.33,45.61,Bullish,Bullish,-3.92,-12.53,-14.76,5.4,-15.94,1.0753,0.309,23.4,2.63,17370.0,12016.0,-24.17,9.62,-28.83,5.4,16.05,Strong Bear,Damaged,90,8.0,0.26,-0.63,0.75,Falling,Death Cross,37,-2.25,-3.23,-5.5,99.4,84.8,1.17
ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,404265.08,Large,209.63,-5.58,187.92,153.81,54.78,Bearish,Bullish,19.24,36.61,36.86,97.04,27.43,1.0628,0.497,42.37,3.92,234.4,105.42,-10.57,98.85,-22.15,97.04,77.54,Strong Bull,Correcting,3,8.0,7.04,0.87,1.06,Stable,Golden Cross,227,20.9,45.91,46.11,150.0,48.9,3.07
AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,391760.63,Large,1260.1,-0.96,1293.93,1248.83,42.42,Bearish,Bearish,-6.71,-5.3,2.57,8.6,-19.68,1.2116,0.45,23.71,2.49,1418.3,1042.5,-11.15,20.87,-17.23,8.6,13.1,Bull,Correcting,54,7.0,-4.94,0.11,0.71,Falling,Golden Cross,155,-5.05,4.0,11.82,123.1,104.2,1.18
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,388954.35,Large,1688.2,-4.48,1560.46,1461.92,59.85,Bullish,Bullish,14.43,7.51,17.5,26.77,25.19,1.4302,0.504,27.34,3.02,1792.0,1290.5,-5.79,30.82,-16.98,26.77,37.6,Strong Bull,Recovering,0,7.0,11.93,0.64,0.87,Stable,Golden Cross,258,16.09,16.81,26.75,156.4,113.9,1.37
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,381362.08,Large,3176.0,-2.15,3222.97,3314.65,49.14,Bullish,Bullish,-2.57,-11.09,-12.23,2.62,-22.14,1.4496,0.383,27.38,2.88,3839.9,2896.0,-17.29,9.67,-22.91,2.62,38.92,Strong Bear,Correcting,92,7.0,1.13,-0.45,0.79,Falling,Death Cross,35,-0.91,-1.79,-2.98,147.7,131.6,1.12
